Date,Open,High,Low,Close,Adj Close,Volume
2010-03-08,0.1686,0.18466,0.1686,0.17663,0.17663,193058.0
2010-03-09,0.18466,0.19269,0.18466,0.19269,0.19269,80275.0
2010-03-10,0.19269,0.20072,0.18065,0.20072,0.20072,401449.0
2010-03-11,0.20072,0.20072,0.18466,0.18466,0.18466,308699.0
2010-03-14,,,,,,
2010-03-15,,,,,,
2010-03-16,0.1967,0.20072,0.1967,0.1967,0.1967,262376.0
2010-03-17,,,,,,
2010-03-18,,,,,,
2010-03-21,,,,,,
2010-03-22,,,,,,
2010-03-23,,,,,,
2010-03-24,,,,,,
2010-03-25,,,,,,
2010-03-28,,,,,,
2010-03-29,,,,,,
2010-03-30,0.1686,0.1686,0.1686,0.1686,0.1686,17597.0
2010-03-31,,,,,,
2010-04-06,,,,,,
2010-04-07,0.17262,0.17262,0.17262,0.17262,0.17262,34241.0
2010-04-08,,,,,,
2010-04-09,0.18466,0.19269,0.18466,0.19269,0.19269,239766.0
2010-04-12,,,,,,
2010-04-13,0.19269,0.19269,0.19269,0.19269,0.19269,97775.0
2010-04-14,0.19269,0.19269,0.19269,0.19269,0.19269,168147.0
2010-04-15,,,,,,
2010-04-16,,,,,,
2010-04-19,0.19269,0.19269,0.17663,0.17663,0.17663,0.0
2010-04-20,,,,,,
2010-04-21,,,,,,
2010-04-22,,,,,,
2010-04-23,,,,,,
2010-04-27,,,,,,
2010-04-28,0.17663,0.17663,0.1686,0.1686,0.1686,0.0
2010-04-29,,,,,,
2010-04-30,,,,,,
2010-05-03,,,,,,
2010-05-04,,,,,,
2010-05-05,,,,,,
2010-05-06,,,,,,
2010-05-07,,,,,,
2010-05-10,,,,,,
2010-05-11,0.15254,0.15254,0.12043,0.12043,0.12043,0.0
2010-05-12,0.15254,0.15254,0.15254,0.15254,0.15254,31543.0
2010-05-13,,,,,,
2010-05-14,0.1686,0.1686,0.15254,0.15254,0.15254,0.0
2010-05-17,,,,,,
2010-05-18,0.1686,0.1686,0.15254,0.15254,0.15254,0.0
2010-05-19,,,,,,
2010-05-20,0.16057000000000002,0.16057000000000002,0.15254,0.15254,0.15254,0.0
2010-05-21,,,,,,
2010-05-24,,,,,,
2010-05-25,,,,,,
2010-05-26,,,,,,
2010-05-27,,,,,,
2010-05-28,0.14452,0.14452,0.09634,0.09634,0.09634,0.0
2010-05-31,,,,,,
2010-06-01,,,,,,
2010-06-02,,,,,,
2010-06-03,0.1405,0.1405,0.09634,0.09634,0.09634,0.0
2010-06-04,,,,,,
2010-06-07,0.1405,0.14452,0.1405,0.14452,0.14452,17438.0
2010-06-08,0.16057000000000002,0.16057000000000002,0.09634,0.09634,0.09634,0.0
2010-06-09,,,,,,
2010-06-10,0.16057000000000002,0.16057000000000002,0.09634,0.09634,0.09634,0.0
2010-06-11,0.16057000000000002,0.16057000000000002,0.09634,0.09634,0.09634,0.0
2010-06-15,,,,,,
2010-06-16,0.16057000000000002,0.16057000000000002,0.10437,0.10437,0.10437,0.0
2010-06-17,,,,,,
2010-06-18,,,,,,
2010-06-21,0.16057000000000002,0.16057000000000002,0.10437,0.10437,0.10437,0.0
2010-06-22,0.16057000000000002,0.16057000000000002,0.10437,0.10437,0.10437,0.0
2010-06-23,0.16057000000000002,0.16057000000000002,0.10437,0.10437,0.10437,0.0
2010-06-24,,,,,,
2010-06-25,0.16057000000000002,0.16057000000000002,0.14452,0.14452,0.14452,0.0
2010-06-28,,,,,,
2010-06-29,,,,,,
2010-06-30,0.13649,0.13649,0.13649,0.13649,0.13649,24911.0
2010-07-01,,,,,,
2010-07-02,,,,,,
2010-07-05,,,,,,
2010-07-06,,,,,,
2010-07-07,,,,,,
2010-07-08,,,,,,
2010-07-09,,,,,,
2010-07-12,,,,,,
2010-07-13,,,,,,
2010-07-14,,,,,,
2010-07-15,,,,,,
2010-07-16,,,,,,
2010-07-19,,,,,,
2010-07-20,,,,,,
2010-07-21,,,,,,
2010-07-22,,,,,,
2010-07-23,,,,,,
2010-07-26,,,,,,
2010-07-27,0.14452,0.14452,0.14452,0.14452,0.14452,124554.0
2010-07-28,,,,,,
2010-07-29,0.12846,0.12846,0.12846,0.12846,0.12846,24911.0
2010-07-30,,,,,,
2010-08-02,,,,,,
2010-08-03,0.12846,0.12846,0.12846,0.12846,0.12846,12455.0
2010-08-04,,,,,,
2010-08-05,,,,,,
2010-08-06,0.15254,0.15254,0.15254,0.15254,0.15254,31138.0
2010-08-09,0.15254,0.15254,0.15254,0.15254,0.15254,18683.0
2010-08-10,,,,,,
2010-08-11,,,,,,
2010-08-12,,,,,,
2010-08-13,,,,,,
2010-08-16,,,,,,
2010-08-17,0.14452,0.14452,0.14452,0.14452,0.14452,12455.0
2010-08-18,,,,,,
2010-08-19,,,,,,
2010-08-20,,,,,,
2010-08-23,,,,,,
2010-08-24,,,,,,
2010-08-25,,,,,,
2010-08-26,,,,,,
2010-08-27,,,,,,
2010-08-30,,,,,,
2010-08-31,,,,,,
2010-09-01,,,,,,
2010-09-02,,,,,,
2010-09-03,,,,,,
2010-09-06,,,,,,
2010-09-07,0.13247,0.13247,0.13247,0.13247,0.13247,24911.0
2010-09-08,,,,,,
2010-09-09,,,,,,
2010-09-10,,,,,,
2010-09-13,,,,,,
2010-09-14,0.12846,0.13649,0.12846,0.13649,0.13649,37366.0
2010-09-15,,,,,,
2010-09-16,,,,,,
2010-09-17,0.16057000000000002,0.17663,0.16057000000000002,0.17663,0.17663,205513.0
