Date,Open,High,Low,Close,Adj Close,Volume
2007-09-05,2.31,2.43,2.3,2.41,1.312371,50101982.0
2007-09-06,2.39,2.45,2.36,2.4,1.306926,3021974.0
2007-09-07,2.41,2.5,2.4,2.5,1.361381,1919039.0
2007-09-10,2.44,2.57,2.43,2.53,1.377718,1902109.0
2007-09-11,2.57,2.66,2.53,2.53,1.377718,1457839.0
2007-09-12,2.53,2.55,2.49,2.5,1.361381,1377182.0
2007-09-13,2.5,2.58,2.48,2.58,1.404945,1054618.0
2007-09-14,2.58,2.61,2.55,2.55,1.388609,517322.0
2007-09-17,2.55,2.57,2.5,2.51,1.366826,951858.0
2007-09-18,2.5,2.51,2.48,2.5,1.361381,1055515.0
2007-09-19,2.53,2.57,2.51,2.53,1.377718,316939.0
2007-09-20,2.56,2.63,2.54,2.61,1.421282,5468682.0
2007-09-21,2.62,2.75,2.59,2.66,1.448509,1182998.0
2007-09-24,2.69,2.79,2.63,2.7,1.470292,576242.0
2007-09-25,2.74,2.8,2.69,2.7,1.470292,922947.0
2007-09-26,2.69,2.69,2.6,2.62,1.426727,1762441.0
2007-09-27,2.67,2.77,2.64,2.71,1.475737,412415.0
2007-09-28,2.71,2.71,2.64,2.64,1.437618,263080.0
2007-10-01,2.65,2.8,2.65,2.8,1.524747,88135.0
2007-10-02,2.79,2.8,2.72,2.74,1.492074,815792.0
2007-10-03,2.76,2.92,2.76,2.82,1.535637,718161.0
2007-10-04,2.82,2.84,2.73,2.75,1.497519,516208.0
2007-10-05,2.8,2.85,2.73,2.74,1.492074,389335.0
2007-10-08,2.75,2.78,2.65,2.7,1.470292,699003.0
2007-10-09,2.71,2.73,2.67,2.68,1.4594,315530.0
2007-10-10,2.67,2.7,2.62,2.62,1.426727,1165269.0
2007-10-11,2.62,2.69,2.61,2.62,1.426727,1027175.0
2007-10-12,2.64,2.8,2.64,2.8,1.524747,738312.0
2007-10-15,2.82,2.92,2.76,2.92,1.590093,1462998.0
2007-10-16,2.92,3.05,2.92,2.98,1.622766,2105561.0
2007-10-17,2.96,3.0,2.95,2.98,1.622766,359089.0
2007-10-18,3.01,3.12,3.01,3.09,1.682667,706029.0
2007-10-19,3.2,3.34,3.14,3.25,1.769795,624516.0
2007-10-22,3.14,3.24,3.09,3.16,1.7207849999999998,740382.0
2007-10-23,3.25,3.35,3.17,3.29,1.791577,1032968.0
2007-10-24,3.39,3.45,3.31,3.32,1.807914,774191.0
2007-10-25,3.4,3.4,3.36,3.39,1.8460330000000005,643069.0
2007-10-26,3.4,3.4,3.32,3.34,1.818805,403265.0
2007-10-28,3.35,3.37,3.21,3.23,1.758904,1142667.0
2007-10-29,3.25,3.31,3.22,3.24,1.76435,287696.0
2007-10-30,3.24,3.3,3.21,3.23,1.758904,498696.0
2007-10-31,3.25,3.25,3.21,3.24,1.76435,1236081.0
2007-11-01,3.19,3.24,3.17,3.2,1.742568,1976066.0
2007-11-04,3.22,3.24,3.06,3.13,1.704449,324149.0
2007-11-05,3.19,3.21,3.14,3.2,1.742568,358907.0
2007-11-06,3.2,3.23,3.16,3.22,1.7534580000000002,363548.0
2007-11-07,3.17,3.29,3.16,3.25,1.769795,293422.0
2007-11-08,3.25,3.31,3.22,3.3,1.797023,648628.0
2007-11-11,3.35,3.55,3.35,3.46,1.884151,707175.0
2007-11-12,3.49,3.5,3.35,3.44,1.87326,465710.0
2007-11-13,3.48,3.52,3.45,3.45,1.878706,558301.0
2007-11-14,3.46,3.48,3.34,3.34,1.818805,293190.0
2007-11-15,3.39,3.47,3.32,3.36,1.829696,430859.0
2007-11-18,3.4,3.45,3.39,3.4,1.851478,736845.0
2007-11-19,3.4,3.42,3.36,3.38,1.840587,191677.0
2007-11-20,3.4,3.4,3.31,3.31,1.802468,139971.0
2007-11-21,3.29,3.29,3.13,3.17,1.726231,423573.0
2007-11-22,3.16,3.17,3.05,3.08,1.677221,273359.0
2007-11-25,3.14,3.14,3.1,3.12,1.6990029999999998,193860.0
2007-11-26,3.08,3.1,3.02,3.02,1.644548,193366.0
2007-11-27,3.02,3.05,2.9,3.0,1.633657,285202.0
2007-11-28,3.1,3.1,2.99,3.07,1.671776,459287.0
2007-11-29,3.07,3.13,3.03,3.06,1.66633,479995.0
2007-12-02,3.06,3.1,2.93,2.98,1.622766,268270.0
2007-12-03,2.98,3.05,2.97,3.0,1.633657,652183.0
2007-12-04,3.0,3.0,2.96,3.0,1.633657,524339.0
2007-12-05,3.05,3.17,3.01,3.07,1.671776,1311683.0
2007-12-06,3.08,3.14,3.06,3.14,1.7098950000000002,475555.0
2007-12-09,3.11,3.25,3.11,3.19,1.737122,508496.0
2007-12-10,3.29,3.29,3.16,3.19,1.737122,107009.0
2007-12-11,3.18,3.18,3.03,3.03,1.649994,1163187.0
2007-12-12,3.07,3.18,3.06,3.13,1.704449,252839.0
2007-12-13,3.11,3.15,2.81,2.92,1.590093,1594981.0
2007-12-16,2.88,2.9,2.64,2.76,1.502964,448102.0
2007-12-17,2.6,2.82,2.42,2.77,1.50841,2246403.0
2007-12-18,2.8,2.87,2.76,2.82,1.535637,628212.0
2007-12-19,2.82,2.91,2.82,2.82,1.535637,39060.0
2007-12-20,2.82,2.85,2.7,2.82,1.535637,563220.0
2007-12-23,2.8,2.85,2.75,2.75,1.497519,47516.0
2007-12-26,2.85,3.04,2.8,3.04,1.655439,580099.0
2007-12-27,3.04,3.08,3.03,3.05,1.660885,22280.0
2007-12-30,2.86,3.02,2.86,3.02,1.644548,16766.0
2008-01-01,2.95,2.95,2.92,2.92,1.590093,36078.0
2008-01-02,2.9,2.9,2.86,2.87,1.562865,54195.0
2008-01-03,2.86,2.86,2.8,2.8,1.524747,349259.0
2008-01-06,2.75,2.77,2.68,2.69,1.464846,333182.0
2008-01-07,2.69,2.7,2.62,2.62,1.426727,654730.0
2008-01-08,2.62,2.62,2.5,2.55,1.388609,657346.0
2008-01-09,2.55,2.62,2.55,2.6,1.415836,533515.0
2008-01-10,2.55,2.6,2.55,2.59,1.41039,1110051.0
2008-01-13,2.52,2.56,2.46,2.5,1.361381,914493.0
2008-01-14,2.49,2.5,2.4,2.5,1.361381,354802.0
2008-01-15,2.48,2.48,2.33,2.4,1.306926,1038828.0
2008-01-16,2.45,2.63,2.45,2.45,1.334153,232360.0
2008-01-17,2.47,2.47,2.35,2.43,1.3232620000000002,419308.0
2008-01-20,2.4,2.44,2.32,2.38,1.296035,425775.0
2008-01-21,2.0,2.05,1.7,1.975,1.075491,1609492.0
2008-01-22,2.2,2.3,1.995,2.05,1.116333,1070492.0
2008-01-23,2.05,2.1,2.04,2.05,1.116333,1474924.0
2008-01-24,2.29,2.32,2.25,2.31,1.257916,157278.0
2008-01-28,2.32,2.32,2.18,2.2,1.198015,109888.0
