Date,Open,High,Low,Close,Adj Close,Volume
2007-02-22,0.27,0.34,0.265,0.28,0.28,1996000.0
2007-02-25,0.285,0.285,0.25,0.25,0.25,882272.0
2007-02-26,0.26,0.26,0.22,0.23,0.23,772077.0
2007-02-27,0.2,0.215,0.195,0.195,0.195,809500.0
2007-02-28,0.235,0.24,0.22,0.22,0.22,218253.0
2007-03-01,0.22,0.22,0.215,0.215,0.215,59400.0
2007-03-04,0.21,0.21,0.195,0.195,0.195,137922.0
2007-03-05,0.195,0.195,0.175,0.175,0.175,40000.0
2007-03-06,0.195,0.21,0.19,0.19,0.19,147250.0
2007-03-07,0.21,0.21,0.2,0.2,0.2,53000.0
2007-03-08,0.21,0.215,0.2,0.215,0.215,334928.0
2007-03-11,0.215,0.215,0.21,0.21,0.21,102400.0
2007-03-12,0.205,0.205,0.205,0.205,0.205,50000.0
2007-03-13,0.205,0.205,0.205,0.205,0.205,0.0
2007-03-14,0.2,0.205,0.195,0.195,0.195,115000.0
2007-03-15,0.195,0.195,0.195,0.195,0.195,0.0
2007-03-18,0.19,0.19,0.18,0.18,0.18,65000.0
2007-03-19,0.195,0.205,0.195,0.2,0.2,359528.0
2007-03-20,0.205,0.21,0.19,0.195,0.195,384000.0
2007-03-21,0.195,0.2,0.195,0.2,0.2,175000.0
2007-03-22,0.21,0.21,0.2,0.2,0.2,27500.0
2007-03-26,0.205,0.205,0.2,0.2,0.2,276750.0
2007-03-27,0.205,0.23,0.2,0.225,0.225,331750.0
2007-03-28,0.23,0.24,0.22,0.22,0.22,342780.0
2007-03-29,0.22,0.22,0.205,0.205,0.205,256501.0
2007-03-30,0.215,0.215,0.215,0.215,0.215,4034.0
2007-04-02,0.2,0.2,0.19,0.19,0.19,331000.0
2007-04-03,0.19,0.19,0.19,0.19,0.19,82500.0
2007-04-04,0.205,0.205,0.2,0.2,0.2,290000.0
2007-04-05,0.2,0.2,0.185,0.185,0.185,90000.0
2007-04-10,0.185,0.185,0.185,0.185,0.185,7500.0
2007-04-11,0.2,0.2,0.2,0.2,0.2,210000.0
2007-04-12,0.2,0.2,0.2,0.2,0.2,50000.0
2007-04-13,0.2,0.2,0.2,0.2,0.2,2515.0
2007-04-16,0.195,0.2,0.195,0.2,0.2,37666.0
2007-04-17,0.2,0.2,0.185,0.2,0.2,110000.0
2007-04-18,0.195,0.2,0.19,0.19,0.19,52640.0
2007-04-19,0.185,0.185,0.18,0.18,0.18,227358.0
2007-04-20,0.18,0.19,0.18,0.19,0.19,195808.0
2007-04-23,0.19,0.19,0.175,0.175,0.175,60394.0
2007-04-24,0.165,0.19,0.165,0.18,0.18,36766.0
2007-04-26,0.19,0.195,0.19,0.19,0.19,127840.0
2007-04-27,0.19,0.2,0.185,0.2,0.2,429160.0
2007-04-30,0.22,0.22,0.21,0.21,0.21,483256.0
2007-05-01,0.2,0.2,0.19,0.195,0.195,508411.0
2007-05-02,0.2,0.2,0.2,0.2,0.2,50000.0
2007-05-03,0.2,0.2,0.2,0.2,0.2,40500.0
2007-05-04,0.19,0.195,0.18,0.19,0.19,317500.0
2007-05-07,0.195,0.195,0.19,0.19,0.19,68766.0
2007-05-08,0.2,0.2,0.2,0.2,0.2,57050.0
2007-05-09,0.19,0.2,0.19,0.195,0.195,483000.0
2007-05-10,0.2,0.2,0.19,0.19,0.19,280734.0
2007-05-11,0.19,0.19,0.19,0.19,0.19,0.0
2007-05-14,0.19,0.19,0.19,0.19,0.19,110352.0
2007-05-15,0.195,0.195,0.19,0.19,0.19,99279.0
2007-05-16,0.195,0.195,0.195,0.195,0.195,96000.0
2007-05-17,0.185,0.185,0.185,0.185,0.185,130000.0
2007-05-18,0.185,0.19,0.185,0.19,0.19,200000.0
2007-05-21,0.19,0.19,0.19,0.19,0.19,25000.0
2007-05-22,0.185,0.185,0.185,0.185,0.185,55000.0
2007-05-23,0.18,0.185,0.18,0.185,0.185,30400.0
2007-05-24,0.185,0.185,0.18,0.18,0.18,352600.0
2007-05-25,0.18,0.185,0.18,0.18,0.18,147500.0
2007-05-28,0.185,0.19,0.18,0.18,0.18,104350.0
2007-05-29,0.18,0.185,0.18,0.185,0.185,63499.0
2007-05-30,0.18,0.19,0.18,0.18,0.18,331501.0
2007-05-31,0.19,0.205,0.19,0.2,0.2,504001.0
2007-06-01,0.2,0.2,0.2,0.2,0.2,8135.0
2007-06-04,0.2,0.2,0.18,0.2,0.2,172000.0
2007-06-05,0.2,0.225,0.2,0.225,0.225,375000.0
2007-06-06,0.205,0.205,0.205,0.205,0.205,100000.0
2007-06-07,0.2,0.2,0.195,0.195,0.195,100000.0
2007-06-08,0.195,0.2,0.18,0.2,0.2,276865.0
2007-06-12,0.2,0.2,0.185,0.185,0.185,95000.0
2007-06-13,0.185,0.185,0.185,0.185,0.185,0.0
2007-06-14,0.185,0.205,0.185,0.205,0.205,187500.0
2007-06-15,0.195,0.195,0.19,0.19,0.19,60000.0
2007-06-18,0.195,0.195,0.18,0.18,0.18,200000.0
2007-06-19,0.18,0.18,0.175,0.175,0.175,115000.0
2007-06-20,0.19,0.19,0.19,0.19,0.19,137777.0
2007-06-21,0.2,0.205,0.2,0.205,0.205,350000.0
2007-06-22,0.205,0.21,0.205,0.205,0.205,80000.0
2007-06-25,0.21,0.22,0.21,0.215,0.215,367500.0
2007-06-26,0.225,0.25,0.225,0.245,0.245,806000.0
2007-06-27,0.265,0.295,0.25,0.26,0.26,859459.0
2007-06-28,0.26,0.27,0.25,0.25,0.25,280879.0
2007-06-29,0.235,0.255,0.235,0.255,0.255,210000.0
2007-07-02,0.24,0.28,0.24,0.27,0.27,529150.0
2007-07-03,0.27,0.27,0.25,0.25,0.25,559800.0
2007-07-04,0.23,0.23,0.225,0.225,0.225,90387.0
2007-07-05,0.255,0.255,0.255,0.255,0.255,15000.0
2007-07-06,0.255,0.255,0.23,0.23,0.23,75686.0
2007-07-09,0.225,0.225,0.225,0.225,0.225,70000.0
2007-07-10,0.225,0.225,0.225,0.225,0.225,0.0
2007-07-11,0.225,0.225,0.225,0.225,0.225,20000.0
2007-07-12,0.225,0.225,0.22,0.22,0.22,73900.0
2007-07-13,0.22,0.22,0.22,0.22,0.22,6100.0
2007-07-16,0.22,0.22,0.22,0.22,0.22,722.0
2007-07-17,0.22,0.22,0.22,0.22,0.22,0.0
2007-07-18,0.225,0.225,0.225,0.225,0.225,60000.0
2007-07-19,0.22,0.225,0.22,0.225,0.225,128700.0
2007-07-20,0.225,0.225,0.225,0.225,0.225,0.0
2007-07-23,0.22,0.22,0.22,0.22,0.22,47651.0
2007-07-24,0.22,0.22,0.22,0.22,0.22,10000.0
2007-07-25,0.22,0.22,0.215,0.22,0.22,112000.0
2007-07-26,0.22,0.22,0.22,0.22,0.22,60150.0
2007-07-27,0.22,0.22,0.22,0.22,0.22,65500.0
2007-07-30,0.225,0.225,0.225,0.225,0.225,25850.0
2007-07-31,0.23,0.235,0.23,0.235,0.235,51387.0
2007-08-01,0.24,0.24,0.225,0.225,0.225,80749.0
2007-08-02,0.225,0.225,0.225,0.225,0.225,49800.0
2007-08-03,0.225,0.225,0.225,0.225,0.225,0.0
2007-08-06,0.24,0.24,0.215,0.215,0.215,115200.0
2007-08-07,0.21,0.21,0.21,0.21,0.21,100000.0
2007-08-08,0.21,0.21,0.21,0.21,0.21,0.0
2007-08-09,0.21,0.21,0.205,0.205,0.205,60000.0
2007-08-10,0.2,0.2,0.2,0.2,0.2,110350.0
2007-08-13,0.195,0.195,0.19,0.19,0.19,150000.0
2007-08-14,0.185,0.185,0.17,0.17,0.17,105000.0
2007-08-15,0.175,0.175,0.17,0.17,0.17,55000.0
2007-08-16,0.17,0.17,0.16,0.16,0.16,65000.0
2007-08-17,0.16,0.16,0.16,0.16,0.16,15686.0
2007-08-20,0.16,0.16,0.16,0.16,0.16,0.0
2007-08-21,0.18,0.18,0.18,0.18,0.18,19588.0
2007-08-22,0.18,0.18,0.17,0.18,0.18,16412.0
2007-08-23,0.19,0.19,0.19,0.19,0.19,244588.0
2007-08-24,0.19,0.19,0.19,0.19,0.19,5412.0
2007-08-27,0.19,0.19,0.19,0.19,0.19,0.0
2007-08-28,0.19,0.19,0.19,0.19,0.19,0.0
2007-08-29,0.19,0.19,0.19,0.19,0.19,0.0
2007-08-30,0.19,0.19,0.19,0.19,0.19,5263.0
2007-08-31,0.19,0.19,0.19,0.19,0.19,0.0
2007-09-03,0.19,0.19,0.19,0.19,0.19,0.0
2007-09-04,0.19,0.19,0.19,0.19,0.19,0.0
2007-09-05,0.165,0.165,0.165,0.165,0.165,50000.0
2007-09-06,0.175,0.175,0.175,0.175,0.175,10000.0
2007-09-07,0.175,0.175,0.175,0.175,0.175,0.0
2007-09-10,0.175,0.18,0.17,0.18,0.18,76159.0
2007-09-11,0.17,0.17,0.17,0.17,0.17,65000.0
2007-09-12,0.17,0.17,0.17,0.17,0.17,4463.0
2007-09-13,0.185,0.185,0.17,0.17,0.17,0.0
2007-09-14,0.17,0.17,0.17,0.17,0.17,0.0
2007-09-17,0.17,0.17,0.17,0.17,0.17,0.0
2007-09-18,0.17,0.17,0.17,0.17,0.17,0.0
2007-09-19,0.17,0.17,0.17,0.17,0.17,23000.0
2007-09-20,0.17,0.17,0.17,0.17,0.17,0.0
2007-09-21,0.17,0.17,0.17,0.17,0.17,0.0
2007-09-24,0.17,0.19,0.17,0.19,0.19,49440.0
2007-09-25,0.19,0.19,0.19,0.19,0.19,0.0
2007-09-26,0.18,0.18,0.18,0.18,0.18,20000.0
2007-09-27,0.18,0.18,0.18,0.18,0.18,30000.0
2007-09-28,0.17,0.17,0.17,0.17,0.17,10000.0
2007-10-01,0.18,0.18,0.18,0.18,0.18,20000.0
2007-10-02,0.18,0.18,0.18,0.18,0.18,0.0
2007-10-03,0.19,0.21,0.19,0.195,0.195,229761.0
2007-10-04,0.2,0.2,0.2,0.2,0.2,80043.0
2007-10-05,0.2,0.2,0.2,0.2,0.2,134696.0
2007-10-08,0.19,0.19,0.19,0.19,0.19,185000.0
2007-10-09,0.18,0.18,0.18,0.18,0.18,304.0
2007-10-10,0.19,0.19,0.19,0.19,0.19,200000.0
2007-10-11,0.19,0.19,0.19,0.19,0.19,0.0
2007-10-12,0.19,0.19,0.18,0.18,0.18,55000.0
2007-10-15,0.18,0.18,0.18,0.18,0.18,0.0
2007-10-16,0.17,0.17,0.17,0.17,0.17,20841.0
2007-10-17,0.17,0.17,0.17,0.17,0.17,4159.0
2007-10-18,0.17,0.17,0.165,0.165,0.165,50000.0
2007-10-19,0.17,0.17,0.17,0.17,0.17,50000.0
2007-10-22,0.17,0.17,0.165,0.165,0.165,0.0
2007-10-23,0.17,0.17,0.17,0.17,0.17,0.0
2007-10-24,0.17,0.17,0.17,0.17,0.17,14892.0
2007-10-25,0.17,0.17,0.17,0.17,0.17,7050.0
2007-10-26,0.17,0.17,0.17,0.17,0.17,0.0
2007-10-28,0.17,0.17,0.17,0.17,0.17,5000.0
2007-10-29,0.185,0.185,0.185,0.185,0.185,50000.0
2007-10-30,0.185,0.185,0.185,0.185,0.185,0.0
2007-10-31,0.2,0.21,0.18,0.205,0.205,106942.0
2007-11-01,0.21,0.21,0.21,0.21,0.21,75000.0
2007-11-04,0.22,0.22,0.2,0.2,0.2,76246.0
2007-11-05,0.2,0.2,0.2,0.2,0.2,6831.0
