Date,Open,High,Low,Close,Adj Close,Volume
2017-06-20,,,,,,
2017-06-21,0.2,0.24,0.19,0.24,0.24,3298105.0
2017-06-22,0.25,0.36,0.245,0.275,0.275,1913595.0
2017-06-23,0.3,0.33,0.275,0.3,0.3,1721050.0
2017-06-26,0.3,0.305,0.265,0.27,0.27,492433.0
2017-06-27,0.265,0.27,0.25,0.26,0.26,339572.0
2017-06-28,0.26,0.27,0.255,0.255,0.255,305921.0
2017-06-29,0.265,0.265,0.25,0.265,0.265,230696.0
2017-06-30,0.26,0.3,0.26,0.3,0.3,313202.0
2017-07-03,0.29,0.29,0.28,0.29,0.29,382408.0
2017-07-04,0.29,0.295,0.28,0.28,0.28,223079.0
2017-07-05,0.295,0.295,0.29,0.29,0.29,39253.0
2017-07-06,0.29,0.295,0.285,0.295,0.295,196932.0
2017-07-07,0.295,0.3,0.295,0.3,0.3,367920.0
2017-07-10,0.3,0.325,0.3,0.31,0.31,590489.0
2017-07-11,0.325,0.34,0.325,0.33,0.33,384682.0
2017-07-12,0.33,0.34,0.33,0.335,0.335,369384.0
2017-07-13,0.335,0.44,0.335,0.385,0.385,2047236.0
2017-07-14,0.385,0.385,0.36,0.38,0.38,688486.0
2017-07-17,0.375,0.375,0.355,0.36,0.36,357153.0
2017-07-18,0.37,0.37,0.355,0.36,0.36,411680.0
2017-07-19,0.36,0.365,0.345,0.345,0.345,234655.0
2017-07-20,0.36,0.36,0.345,0.355,0.355,154008.0
2017-07-21,0.355,0.36,0.35,0.355,0.355,149284.0
2017-07-24,0.355,0.365,0.355,0.36,0.36,1146807.0
2017-07-25,0.36,0.36,0.33,0.345,0.345,559178.0
2017-07-26,0.345,0.355,0.345,0.355,0.355,62819.0
2017-07-27,0.355,0.355,0.335,0.345,0.345,194137.0
2017-07-28,0.35,0.35,0.33,0.33,0.33,286317.0
2017-07-31,0.315,0.315,0.275,0.28,0.28,1229777.0
2017-08-01,0.275,0.28,0.225,0.23,0.23,2345631.0
2017-08-02,0.225,0.225,0.2,0.2,0.2,1777531.0
2017-08-03,0.207,0.215,0.205,0.205,0.205,1008205.0
2017-08-04,0.215,0.215,0.205,0.205,0.205,770034.0
2017-08-07,0.205,0.21,0.205,0.205,0.205,706569.0
2017-08-08,0.21,0.21,0.205,0.205,0.205,280094.0
2017-08-09,0.205,0.205,0.19,0.19,0.19,866846.0
2017-08-10,0.19,0.19,0.175,0.19,0.19,2909164.0
2017-08-11,0.195,0.2,0.17,0.17,0.17,665255.0
2017-08-14,0.185,0.185,0.18,0.18,0.18,245024.0
2017-08-15,0.185,0.19,0.18,0.185,0.185,280329.0
2017-08-16,0.2,0.2,0.185,0.195,0.195,4321505.0
2017-08-17,0.19,0.22,0.19,0.205,0.205,1317462.0
2017-08-18,0.215,0.225,0.21,0.225,0.225,2154856.0
2017-08-21,0.23,0.24,0.23,0.23,0.23,642576.0
2017-08-22,0.235,0.26,0.23,0.255,0.255,965782.0
2017-08-23,0.26,0.265,0.24,0.24,0.24,526449.0
2017-08-24,0.24,0.25,0.23,0.25,0.25,244061.0
2017-08-25,0.25,0.25,0.245,0.25,0.25,111876.0
2017-08-28,0.25,0.255,0.225,0.25,0.25,1041092.0
2017-08-29,0.245,0.245,0.23,0.245,0.245,163606.0
2017-08-30,0.245,0.245,0.23,0.235,0.235,415423.0
2017-08-31,0.232,0.2325,0.22,0.225,0.225,1547999.0
2017-09-01,0.22,0.23,0.22,0.22,0.22,155562.0
2017-09-04,0.23,0.23,0.215,0.22,0.22,235735.0
2017-09-05,0.22,0.22,0.2,0.2,0.2,1179314.0
2017-09-06,0.2,0.2,0.19,0.2,0.2,395289.0
2017-09-07,0.2,0.2,0.19,0.19,0.19,347903.0
2017-09-08,0.19,0.195,0.185,0.195,0.195,154246.0
2017-09-11,0.2,0.2,0.195,0.195,0.195,332610.0
2017-09-12,0.2,0.205,0.195,0.2,0.2,1875638.0
2017-09-13,0.2,0.215,0.2,0.215,0.215,1303129.0
2017-09-14,0.215,0.215,0.205,0.21,0.21,276407.0
2017-09-15,0.205,0.205,0.2,0.2,0.2,627129.0
2017-09-18,0.205,0.21,0.205,0.21,0.21,269227.0
2017-09-19,0.215,0.215,0.21,0.215,0.215,1413574.0
2017-09-20,0.215,0.23,0.215,0.225,0.225,870523.0
2017-09-21,0.195,0.21,0.195,0.205,0.205,2573270.0
2017-09-22,0.205,0.212,0.205,0.21,0.21,2527425.0
2017-09-25,0.22,0.225,0.21,0.21,0.21,894336.0
2017-09-26,0.215,0.22,0.21,0.22,0.22,295360.0
2017-09-27,0.22,0.235,0.22,0.225,0.225,530417.0
2017-09-28,0.23,0.23,0.225,0.23,0.23,247268.0
2017-09-29,0.235,0.235,0.22,0.225,0.225,376109.0
2017-10-01,0.225,0.225,0.22,0.22,0.22,77337.0
2017-10-02,0.225,0.225,0.215,0.22,0.22,671519.0
2017-10-03,0.215,0.22,0.215,0.22,0.22,233168.0
2017-10-04,0.22,0.225,0.215,0.22,0.22,111836.0
2017-10-05,0.215,0.225,0.215,0.22,0.22,340002.0
2017-10-08,0.215,0.215,0.2,0.2,0.2,1537892.0
2017-10-09,0.205,0.205,0.195,0.195,0.195,521401.0
2017-10-10,0.195,0.195,0.19,0.19,0.19,635234.0
2017-10-11,0.195,0.195,0.18,0.185,0.185,909733.0
2017-10-12,0.185,0.19,0.185,0.185,0.185,860762.0
2017-10-15,0.19,0.19,0.185,0.185,0.185,399588.0
2017-10-16,0.19,0.195,0.19,0.195,0.195,311977.0
2017-10-17,0.195,0.2,0.19,0.19,0.19,328454.0
2017-10-18,0.195,0.195,0.195,0.195,0.195,65500.0
2017-10-19,0.19,0.195,0.19,0.19,0.19,76446.0
2017-10-22,0.195,0.2,0.195,0.2,0.2,278247.0
2017-10-23,0.2,0.205,0.2,0.205,0.205,205189.0
2017-10-24,0.205,0.205,0.195,0.195,0.195,329046.0
2017-10-25,0.2,0.2,0.195,0.195,0.195,142500.0
2017-10-26,0.195,0.195,0.195,0.195,0.195,170967.0
2017-10-29,0.2,0.2,0.195,0.195,0.195,314568.0
2017-10-30,0.195,0.2,0.19,0.19,0.19,719396.0
2017-10-31,0.185,0.185,0.15,0.18,0.18,997762.0
2017-11-01,0.18,0.18,0.165,0.175,0.175,1317278.0
2017-11-02,0.185,0.185,0.165,0.165,0.165,1169910.0
2017-11-05,0.165,0.185,0.165,0.18,0.18,750742.0
2017-11-06,0.18,0.18,0.175,0.175,0.175,266307.0
2017-11-07,0.17,0.175,0.17,0.175,0.175,324630.0
2017-11-08,0.175,0.175,0.17,0.17,0.17,185593.0
2017-11-09,0.17,0.17,0.165,0.165,0.165,776974.0
2017-11-12,0.165,0.165,0.16,0.16,0.16,397712.0
2017-11-13,0.16,0.16,0.145,0.15,0.15,862061.0
2017-11-14,0.15,0.155,0.15,0.15,0.15,533144.0
2017-11-15,0.155,0.16,0.15,0.16,0.16,234034.0
2017-11-16,0.16,0.165,0.155,0.165,0.165,177396.0
2017-11-19,0.165,0.17,0.165,0.165,0.165,464075.0
2017-11-20,0.17,0.17,0.165,0.165,0.165,307484.0
2017-11-21,0.16,0.175,0.16,0.175,0.175,293823.0
2017-11-22,0.175,0.18,0.17,0.18,0.18,1128348.0
2017-11-23,0.18,0.18,0.18,0.18,0.18,1190795.0
2017-11-26,0.18,0.185,0.18,0.185,0.185,125528.0
2017-11-27,0.185,0.185,0.18,0.18,0.18,306035.0
2017-11-28,0.18,0.18,0.18,0.18,0.18,438850.0
