Date,Open,High,Low,Close,Adj Close,Volume
2001-10-04,8.118730000000001,8.118730000000001,8.118730000000001,8.118730000000001,8.118730000000001,0.0
2001-10-05,8.38935,8.56977,6.31457,8.118730000000001,8.118730000000001,17155.0
2001-10-08,8.118730000000001,8.118730000000001,7.21665,7.21665,7.21665,4943.0
2001-10-09,7.667689999999999,7.93831,7.21665,7.93831,7.93831,2412.0
2001-10-10,7.21665,7.21665,7.21665,7.21665,7.21665,455.0
2001-10-11,7.21665,7.21665,7.21665,7.21665,7.21665,0.0
2001-10-12,7.21665,7.21665,7.21665,7.21665,7.21665,0.0
2001-10-15,5.95374,5.95374,5.95374,5.95374,5.95374,55.0
2001-10-16,6.13415,6.31457,6.13415,6.31457,6.31457,554.0
2001-10-17,6.31457,6.31457,6.31457,6.31457,6.31457,0.0
2001-10-18,7.21665,7.21665,7.21665,7.21665,7.21665,327.0
2001-10-19,7.93831,7.93831,7.93831,7.93831,7.93831,2965.0
2001-10-22,7.667689999999999,7.667689999999999,7.21665,7.21665,7.21665,1219.0
2001-10-23,7.21665,7.21665,7.21665,7.21665,7.21665,0.0
2001-10-24,6.585189999999999,6.6754,6.585189999999999,6.6754,6.6754,1330.0
2001-10-25,6.6754,6.6754,6.6754,6.6754,6.6754,100.0
2001-10-26,6.49498,6.49498,5.41249,5.41249,5.41249,4323.0
2001-10-28,5.5929,5.5929,5.5929,5.5929,5.5929,443.0
2001-10-29,5.50269,5.5929,5.50269,5.5929,5.5929,610.0
2001-10-30,5.5929,5.5929,5.5929,5.5929,5.5929,0.0
2001-10-31,5.50269,5.50269,5.41249,5.41249,5.41249,1264.0
2001-11-01,5.2320699999999984,5.86353,5.2320699999999984,5.86353,5.86353,1325.0
2001-11-04,5.86353,5.86353,5.86353,5.86353,5.86353,0.0
2001-11-05,5.86353,5.86353,5.86353,5.86353,5.86353,0.0
2001-11-06,5.86353,5.86353,5.86353,5.86353,5.86353,213.0
2001-11-07,5.86353,5.86353,5.86353,5.86353,5.86353,0.0
2001-11-08,5.86353,5.86353,5.41249,5.41249,5.41249,563.0
2001-11-11,5.41249,5.41249,5.41249,5.41249,5.41249,665.0
2001-11-12,5.50269,5.50269,5.41249,5.41249,5.41249,842.0
2001-11-13,5.41249,5.41249,5.41249,5.41249,5.41249,111.0
2001-11-14,5.41249,5.41249,5.41249,5.41249,5.41249,0.0
2001-11-15,5.41249,5.41249,5.41249,5.41249,5.41249,0.0
2001-11-18,5.41249,5.41249,5.41249,5.41249,5.41249,0.0
2001-11-19,5.86353,5.86353,5.86353,5.86353,5.86353,17.0
2001-11-20,5.41249,5.41249,4.51041,4.51041,4.51041,1727.0
2001-11-21,4.51041,4.51041,4.51041,4.51041,4.51041,499.0
2001-11-22,4.51041,5.5929,4.51041,5.5929,5.5929,2051.0
2001-11-25,5.5929,5.5929,5.5929,5.5929,5.5929,0.0
2001-11-26,5.32228,5.41249,5.32228,5.41249,5.41249,2217.0
2001-11-27,5.41249,5.41249,5.41249,5.41249,5.41249,0.0
2001-11-28,5.41249,5.41249,5.41249,5.41249,5.41249,0.0
2001-11-29,5.41249,5.41249,5.41249,5.41249,5.41249,0.0
2001-12-02,5.41249,5.41249,5.41249,5.41249,5.41249,0.0
2001-12-03,5.41249,5.41249,5.41249,5.41249,5.41249,0.0
2001-12-04,5.41249,5.41249,5.41249,5.41249,5.41249,610.0
2001-12-05,4.2397800000000005,4.51041,3.69853,4.51041,4.51041,989.0
2001-12-06,4.51041,4.51041,4.51041,4.51041,4.51041,222.0
2001-12-09,4.4202,4.51041,4.4202,4.51041,4.51041,1109.0
2001-12-10,4.51041,4.51041,4.51041,4.51041,4.51041,0.0
2001-12-11,4.51041,4.51041,4.51041,4.51041,4.51041,0.0
2001-12-12,4.51041,4.51041,4.51041,4.51041,4.51041,0.0
2001-12-13,4.51041,4.51041,4.51041,4.51041,4.51041,0.0
2001-12-16,4.51041,4.51041,4.51041,4.51041,4.51041,0.0
2001-12-17,4.51041,4.51041,4.51041,4.51041,4.51041,0.0
2001-12-18,4.51041,4.51041,4.51041,4.51041,4.51041,0.0
2001-12-19,3.87895,5.41249,3.87895,5.41249,5.41249,1607.0
2001-12-20,5.7778,5.7778,5.29631,5.29631,5.29631,0.0
2001-12-23,5.7778,5.7778,5.29631,5.29631,5.29631,0.0
2001-12-24,,,,,,
2001-12-25,,,,,,
2001-12-26,5.7778,5.7778,5.29631,5.29631,5.29631,0.0
2001-12-27,5.6815,5.6815,5.29631,5.29631,5.29631,0.0
2001-12-30,5.6815,5.6815,5.29631,5.29631,5.29631,0.0
2001-12-31,,,,,,
2002-01-01,5.6815,5.6815,5.29631,5.29631,5.29631,0.0
2002-01-02,5.41249,5.41249,5.41249,5.41249,5.41249,0.0
2002-01-03,5.6815,5.6815,5.29631,5.29631,5.29631,0.0
2002-01-06,5.6815,5.6815,5.29631,5.29631,5.29631,0.0
2002-01-07,5.6815,5.6815,5.29631,5.29631,5.29631,0.0
2002-01-08,5.6815,5.6815,5.29631,5.29631,5.29631,0.0
2002-01-09,4.96145,4.96145,4.51041,4.51041,4.51041,1109.0
2002-01-10,4.51041,4.51041,4.51041,4.51041,4.51041,21.0
2002-01-13,4.51041,4.51041,4.51041,4.51041,4.51041,0.0
2002-01-14,4.78103,4.78103,4.78103,4.78103,4.78103,811.0
2002-01-15,4.96145,4.96145,4.96145,4.96145,4.96145,1109.0
2002-01-16,4.96145,4.96145,4.96145,4.96145,4.96145,0.0
2002-01-17,5.1418599999999985,5.1418599999999985,4.05936,4.05936,4.05936,1064.0
2002-01-20,4.05936,4.05936,4.05936,4.05936,4.05936,0.0
