Date,Open,High,Low,Close,Adj Close,Volume
2013-12-29,0.96,0.96,0.955,0.955,0.955,541610.0
2013-12-30,0.96,0.96,0.955,0.96,0.96,196400.0
2014-01-01,0.96,0.97,0.96,0.97,0.97,243447.0
2014-01-02,0.97,0.975,0.965,0.975,0.975,73141.0
2014-01-05,0.97,0.975,0.965,0.97,0.97,215800.0
2014-01-06,0.97,0.975,0.967,0.975,0.975,419000.0
2014-01-07,0.975,0.985,0.97,0.985,0.985,674374.0
2014-01-08,0.98,0.99,0.98,0.99,0.99,448190.0
2014-01-09,0.985,0.985,0.98,0.98,0.98,440971.0
2014-01-12,0.975,0.98,0.97,0.975,0.975,261403.0
2014-01-13,0.98,0.98,0.965,0.965,0.965,625265.0
2014-01-14,0.965,0.97,0.965,0.97,0.97,734144.0
2014-01-15,0.97,0.975,0.965,0.965,0.965,326210.0
2014-01-16,0.97,0.985,0.97,0.985,0.985,770960.0
2014-01-19,0.985,0.99,0.98,0.985,0.985,623466.0
2014-01-20,0.985,0.99,0.985,0.985,0.985,483101.0
2014-01-21,0.99,1.0,0.985,0.99,0.99,1278459.0
2014-01-22,1.0,1.0,0.99,1.0,1.0,289907.0
2014-01-23,1.0,1.005,0.99,1.0,1.0,930867.0
2014-01-27,1.0,1.0,0.985,0.99,0.99,487861.0
2014-01-28,0.995,0.995,0.99,0.995,0.995,333535.0
2014-01-29,0.99,0.995,0.985,0.985,0.985,543359.0
2014-01-30,0.99,0.995,0.985,0.99,0.99,378645.0
2014-02-02,0.99,0.99,0.985,0.985,0.985,252100.0
2014-02-03,0.985,0.995,0.98,0.985,0.985,482775.0
2014-02-04,0.985,0.995,0.98,0.99,0.99,396012.0
2014-02-05,0.99,0.99,0.985,0.99,0.99,290005.0
2014-02-06,0.99,0.99,0.985,0.99,0.99,287950.0
2014-02-09,0.99,1.0,0.99,1.0,1.0,505316.0
2014-02-10,0.995,1.0,0.985,0.985,0.985,266092.0
2014-02-11,0.99,1.0,0.985,0.985,0.985,575936.0
2014-02-12,0.99,0.995,0.99,0.995,0.995,293045.0
2014-02-13,0.99,1.0,0.99,1.0,1.0,333450.0
2014-02-16,1.0,1.005,0.995,1.0,1.0,318031.0
2014-02-17,1.0,1.0,0.99,1.0,1.0,309001.0
2014-02-18,1.0,1.0,0.99,0.995,0.995,403649.0
2014-02-19,0.995,1.0,0.995,1.0,1.0,258751.0
2014-02-20,1.0,1.005,1.0,1.005,1.005,90799.0
2014-02-23,1.005,1.005,1.0,1.0,1.0,295520.0
2014-02-24,1.005,1.005,1.0,1.005,1.005,383701.0
2014-02-25,1.0,1.0,0.995,1.0,1.0,319931.0
2014-02-26,1.0,1.0,0.995,0.995,0.995,179750.0
2014-02-27,1.0,1.0,0.995,1.0,1.0,316112.0
2014-03-02,1.0,1.0,1.0,1.0,1.0,71890.0
2014-03-03,0.995,1.0,0.99,0.995,0.995,304844.0
2014-03-04,1.0,1.0,1.0,1.0,1.0,449183.0
2014-03-05,1.0,1.005,0.995,1.005,1.005,788315.0
2014-03-06,1.0,1.005,0.995,1.005,1.005,573025.0
2014-03-09,1.005,1.005,1.0,1.0,1.0,223875.0
2014-03-10,1.0,1.005,1.0,1.0,1.0,172570.0
2014-03-11,1.0,1.005,0.995,1.0,1.0,319522.0
2014-03-12,1.0,1.0,0.99,1.0,1.0,269525.0
2014-03-13,1.0,1.0,0.99,0.99,0.99,365725.0
2014-03-16,1.0,1.005,1.0,1.005,1.005,162414.0
2014-03-17,1.005,1.005,0.995,1.005,1.005,322313.0
2014-03-18,1.0,1.005,1.0,1.005,1.005,188000.0
2014-03-19,1.0,1.0,1.0,1.0,1.0,261910.0
2014-03-20,0.995,1.005,0.99,1.0,1.0,286329.0
2014-03-23,1.0,1.005,0.99,1.005,1.005,332000.0
2014-03-24,1.0,1.005,0.99,1.005,1.005,424580.0
2014-03-25,1.0,1.0,0.99,0.995,0.995,381355.0
2014-03-26,0.995,1.0,0.99,1.0,1.0,420750.0
