Date,Open,High,Low,Close,Adj Close,Volume
2014-12-17,0.975,0.975,0.965,0.975,0.975,1249622.0
2014-12-18,0.975,0.98,0.97,0.98,0.98,688428.0
2014-12-21,0.98,0.98,0.975,0.975,0.975,580790.0
2014-12-22,0.975,0.98,0.97,0.98,0.98,647219.0
2014-12-23,0.985,0.985,0.98,0.98,0.98,132526.0
2014-12-28,0.975,0.98,0.97,0.97,0.97,165000.0
2014-12-29,0.975,0.98,0.97,0.975,0.975,172263.0
2014-12-30,0.973,0.973,0.973,0.973,0.973,0.0
2015-01-01,0.975,0.98,0.975,0.98,0.98,174339.0
2015-01-04,0.98,0.98,0.975,0.98,0.98,110250.0
2015-01-05,0.975,0.98,0.975,0.975,0.975,275207.0
2015-01-06,0.98,0.98,0.975,0.98,0.98,344116.0
2015-01-07,0.98,0.985,0.975,0.98,0.98,360810.0
2015-01-08,0.98,0.985,0.98,0.98,0.98,66500.0
2015-01-11,0.98,0.98,0.975,0.975,0.975,148084.0
2015-01-12,0.98,0.98,0.975,0.975,0.975,27500.0
2015-01-13,0.975,0.98,0.97,0.98,0.98,384100.0
2015-01-14,0.98,0.98,0.97,0.98,0.98,255492.0
2015-01-15,0.98,0.98,0.97,0.98,0.98,102123.0
2015-01-18,0.98,0.98,0.97,0.975,0.975,151500.0
2015-01-19,0.975,0.975,0.97,0.975,0.975,172255.0
2015-01-20,0.975,0.975,0.965,0.965,0.965,94443.0
2015-01-21,0.965,0.975,0.965,0.975,0.975,133482.0
2015-01-22,0.975,0.975,0.97,0.975,0.975,133343.0
2015-01-26,0.97,0.975,0.965,0.965,0.965,414846.0
2015-01-27,0.965,0.98,0.965,0.98,0.98,205645.0
2015-01-28,0.97,0.975,0.965,0.965,0.965,259082.0
2015-01-29,0.97,0.975,0.965,0.965,0.965,253299.0
2015-02-01,0.977,0.977,0.965,0.975,0.975,241163.0
2015-02-02,0.97,0.975,0.965,0.975,0.975,283257.0
2015-02-03,0.975,0.98,0.97,0.98,0.98,306483.0
2015-02-04,0.98,0.98,0.97,0.98,0.98,148499.0
2015-02-05,0.98,0.98,0.975,0.975,0.975,241439.0
2015-02-08,0.975,0.985,0.975,0.985,0.985,88763.0
2015-02-09,0.975,0.985,0.975,0.985,0.985,183898.0
2015-02-10,0.98,0.985,0.975,0.985,0.985,170324.0
2015-02-11,0.98,0.985,0.98,0.985,0.985,152849.0
2015-02-12,0.985,0.985,0.98,0.98,0.98,420420.0
2015-02-15,0.985,0.985,0.98,0.985,0.985,155908.0
2015-02-16,0.985,0.99,0.985,0.99,0.99,63463.0
2015-02-17,0.99,0.99,0.98,0.98,0.98,220127.0
2015-02-18,0.985,0.985,0.98,0.985,0.985,117572.0
2015-02-19,0.985,0.99,0.98,0.99,0.99,141193.0
2015-02-22,0.99,0.99,0.98,0.99,0.99,326293.0
2015-02-23,0.99,0.99,0.98,0.98,0.98,146090.0
2015-02-24,0.98,0.985,0.975,0.985,0.985,233721.0
2015-02-25,0.98,0.985,0.98,0.985,0.985,150550.0
2015-02-26,0.985,0.99,0.975,0.99,0.99,677370.0
2015-03-01,0.988,0.988,0.98,0.985,0.985,148928.0
2015-03-02,0.985,0.99,0.98,0.985,0.985,489568.0
2015-03-03,0.98,0.98,0.975,0.98,0.98,145103.0
2015-03-04,0.98,0.98,0.975,0.98,0.98,192865.0
2015-03-05,0.98,0.985,0.975,0.975,0.975,167118.0
2015-03-08,0.975,0.98,0.975,0.98,0.98,620500.0
2015-03-09,0.98,0.98,0.975,0.98,0.98,73530.0
2015-03-10,0.98,0.98,0.965,0.97,0.97,426056.0
2015-03-11,0.98,0.985,0.97,0.985,0.985,373224.0
2015-03-12,0.98,0.985,0.98,0.98,0.98,301712.0
2015-03-15,0.98,0.985,0.965,0.98,0.98,193531.0
2015-03-16,0.97,0.98,0.965,0.965,0.965,197998.0
2015-03-17,0.98,0.98,0.97,0.97,0.97,67530.0
2015-03-18,0.97,0.975,0.97,0.975,0.975,465000.0
2015-03-19,0.975,0.98,0.97,0.975,0.975,85964.0
2015-03-22,0.975,0.985,0.97,0.985,0.985,452922.0
2015-03-23,0.985,0.99,0.97,0.98,0.98,396337.0
2015-03-24,0.993,0.993,0.97,0.98,0.98,134860.0
2015-03-25,0.993,0.993,0.993,0.993,0.993,0.0
2015-03-26,0.993,0.993,0.993,0.993,0.993,0.0
2015-03-29,0.993,0.993,0.993,0.993,0.993,0.0
2015-03-30,0.994,0.994,0.994,0.994,0.994,0.0
2015-03-31,0.993,0.993,0.993,0.993,0.993,0.0
2015-04-01,0.965,0.98,0.965,0.98,0.98,320392.0
2015-04-07,0.98,0.98,0.965,0.975,0.975,303480.0
2015-04-08,0.965,0.97,0.955,0.96,0.96,482775.0
2015-04-09,0.993,0.993,0.993,0.993,0.993,0.0
2015-04-10,0.96,0.975,0.96,0.965,0.965,361491.0
2015-04-13,0.993,0.993,0.993,0.993,0.993,0.0
2015-04-14,0.993,0.993,0.993,0.993,0.993,0.0
2015-04-15,0.993,0.993,0.993,0.993,0.993,0.0
2015-04-16,0.993,0.993,0.993,0.993,0.993,0.0
2015-04-17,0.993,0.993,0.993,0.993,0.993,0.0
2015-04-20,0.993,0.993,0.993,0.993,0.993,0.0
2015-04-21,0.975,0.975,0.97,0.97,0.97,326937.0
2015-04-22,0.993,0.993,0.993,0.993,0.993,0.0
2015-04-23,0.993,0.993,0.993,0.993,0.993,0.0
2015-04-24,0.993,0.993,0.993,0.993,0.993,0.0
2015-04-27,0.993,0.993,0.993,0.993,0.993,0.0
2015-04-28,0.993,0.993,0.993,0.993,0.993,0.0
2015-04-29,0.993,0.993,0.993,0.993,0.993,0.0
2015-04-30,1.0,1.0,1.0,1.0,1.0,0.0
2015-05-01,0.993,0.993,0.993,0.993,0.993,0.0
2015-05-04,0.993,0.993,0.993,0.993,0.993,0.0
2015-05-05,0.993,0.993,0.993,0.993,0.993,0.0
2015-05-06,0.993,0.993,0.993,0.993,0.993,0.0
2015-05-07,0.993,0.993,0.993,0.993,0.993,0.0
2015-05-08,0.993,0.993,0.993,0.993,0.993,0.0
2015-05-11,0.993,0.993,0.993,0.993,0.993,0.0
2015-05-12,0.993,0.993,0.993,0.993,0.993,0.0
2015-05-13,0.993,0.993,0.993,0.993,0.993,0.0
2015-05-14,0.993,0.993,0.993,0.993,0.993,0.0
2015-05-15,0.993,0.993,0.993,0.993,0.993,0.0
2015-05-18,0.993,0.993,0.993,0.993,0.993,0.0
2015-05-19,0.993,0.993,0.993,0.993,0.993,0.0
2015-05-20,0.993,0.993,0.993,0.993,0.993,0.0
2015-05-21,0.993,0.993,0.993,0.993,0.993,0.0
2015-05-22,0.993,0.993,0.993,0.993,0.993,0.0
2015-05-25,0.993,0.993,0.993,0.993,0.993,0.0
2015-05-26,0.993,0.993,0.993,0.993,0.993,0.0
2015-05-27,0.993,0.993,0.993,0.993,0.993,0.0
2015-05-28,0.993,0.993,0.993,0.993,0.993,0.0
2015-05-29,1.006,1.006,1.006,1.006,1.006,0.0
2015-06-01,1.006,1.006,0.993,0.993,0.993,0.0
2015-06-02,0.993,0.993,0.993,0.993,0.993,0.0
2015-06-03,0.993,0.993,0.993,0.993,0.993,0.0
2015-06-04,1.005,1.005,1.005,1.005,1.005,0.0
2015-06-05,0.965,0.975,0.965,0.97,0.97,243795.0
2015-06-09,0.993,0.993,0.993,0.993,0.993,0.0
2015-06-10,0.993,0.993,0.993,0.993,0.993,0.0
2015-06-11,0.993,0.993,0.993,0.993,0.993,0.0
2015-06-12,0.993,0.993,0.993,0.993,0.993,0.0
2015-06-15,0.993,0.993,0.993,0.993,0.993,0.0
2015-06-16,0.993,0.993,0.993,0.993,0.993,0.0
2015-06-17,0.993,0.993,0.993,0.993,0.993,0.0
2015-06-18,0.993,0.993,0.993,0.993,0.993,0.0
2015-06-19,0.993,0.993,0.993,0.993,0.993,0.0
2015-06-22,0.993,0.993,0.993,0.993,0.993,0.0
2015-06-23,0.993,0.993,0.993,0.993,0.993,0.0
2015-06-24,0.993,0.993,0.993,0.993,0.993,0.0
2015-06-25,0.993,0.993,0.993,0.993,0.993,0.0
2015-06-26,0.993,0.993,0.993,0.993,0.993,0.0
2015-06-29,0.993,0.993,0.993,0.993,0.993,0.0
2015-06-30,0.992,0.992,0.992,0.992,0.992,0.0
2015-07-01,0.993,0.993,0.993,0.993,0.993,0.0
2015-07-02,0.993,0.993,0.993,0.993,0.993,0.0
2015-07-03,0.993,0.993,0.993,0.993,0.993,0.0
2015-07-06,0.993,0.993,0.993,0.993,0.993,0.0
2015-07-07,0.993,0.993,0.993,0.993,0.993,0.0
2015-07-08,0.993,0.993,0.993,0.993,0.993,0.0
2015-07-09,0.993,0.993,0.993,0.993,0.993,0.0
2015-07-10,0.993,0.993,0.993,0.993,0.993,0.0
2015-07-13,0.993,0.993,0.993,0.993,0.993,0.0
2015-07-14,0.993,0.993,0.993,0.993,0.993,0.0
2015-07-15,0.993,0.993,0.993,0.993,0.993,0.0
2015-07-16,0.993,0.993,0.993,0.993,0.993,0.0
2015-07-17,0.993,0.993,0.993,0.993,0.993,0.0
2015-07-20,0.993,0.993,0.993,0.993,0.993,0.0
2015-07-21,0.993,0.993,0.993,0.993,0.993,0.0
2015-07-22,0.993,0.993,0.993,0.993,0.993,0.0
2015-07-23,0.993,0.993,0.993,0.993,0.993,0.0
2015-07-24,0.993,0.993,0.993,0.993,0.993,0.0
2015-07-27,0.993,0.993,0.993,0.993,0.993,0.0
2015-07-28,0.993,0.993,0.993,0.993,0.993,0.0
