Date,Open,High,Low,Close,Adj Close,Volume
2007-09-19,0.825,0.9,0.6,0.85,0.85,660911.0
2007-09-20,0.825,0.825,0.65,0.675,0.675,267655.0
2007-09-21,0.675,0.75,0.675,0.75,0.75,339805.0
2007-09-24,0.75,0.75,0.65,0.65,0.65,191810.0
2007-09-25,0.675,0.7,0.625,0.625,0.625,198817.0
2007-09-26,0.625,0.7,0.6,0.7,0.7,124283.0
2007-09-27,0.7,0.7,0.625,0.675,0.675,102000.0
2007-09-28,0.7,0.7,0.625,0.625,0.625,103650.0
2007-10-01,0.625,0.625,0.625,0.625,0.625,0.0
2007-10-02,,,,,,
2007-10-03,,,,,,
2007-10-04,0.625,0.65,0.55,0.55,0.55,63298.0
2007-10-05,0.55,0.6,0.55,0.575,0.575,21900.0
2007-10-08,0.6,0.6,0.6,0.6,0.6,2000.0
2007-10-09,0.575,0.575,0.55,0.55,0.55,6440.0
2007-10-10,0.525,0.55,0.525,0.55,0.55,15940.0
2007-10-11,0.55,0.55,0.525,0.525,0.525,44600.0
2007-10-12,0.525,0.525,0.5,0.5,0.5,113714.0
2007-10-15,0.5,0.55,0.5,0.55,0.55,146546.0
2007-10-16,0.55,0.55,0.525,0.525,0.525,16100.0
2007-10-17,0.5,0.5,0.5,0.5,0.5,22117.0
2007-10-18,0.475,0.525,0.455,0.455,0.455,36646.0
2007-10-19,0.45,0.48,0.45,0.48,0.48,88251.0
2007-10-22,0.48,0.48,0.435,0.45,0.45,68639.0
2007-10-23,0.45,0.5,0.45,0.5,0.5,10576.0
2007-10-24,0.55,0.55,0.525,0.525,0.525,40000.0
2007-10-25,0.5,0.5,0.495,0.495,0.495,8000.0
2007-10-26,0.485,0.55,0.485,0.55,0.55,13358.0
2007-10-28,0.55,0.55,0.55,0.55,0.55,202200.0
2007-10-29,0.55,0.55,0.55,0.55,0.55,1000.0
2007-10-30,0.525,0.525,0.525,0.525,0.525,16500.0
2007-10-31,0.5,0.5,0.5,0.5,0.5,304000.0
2007-11-01,0.5,0.5,0.5,0.5,0.5,0.0
2007-11-04,0.485,0.485,0.485,0.485,0.485,4332.0
2007-11-05,0.47,0.47,0.47,0.47,0.47,2600.0
2007-11-06,0.475,0.475,0.475,0.475,0.475,27000.0
2007-11-07,0.475,0.475,0.475,0.475,0.475,51240.0
2007-11-08,0.47,0.47,0.45,0.45,0.45,671.0
2007-11-11,0.45,0.45,0.45,0.45,0.45,0.0
2007-11-12,0.45,0.45,0.45,0.45,0.45,0.0
2007-11-13,0.45,0.475,0.45,0.475,0.475,52200.0
2007-11-14,0.45,0.45,0.45,0.45,0.45,3268.0
2007-11-15,0.45,0.45,0.45,0.45,0.45,2000.0
2007-11-18,0.45,0.45,0.4,0.425,0.425,34840.0
2007-11-19,0.4,0.4,0.35,0.35,0.35,4224.0
2007-11-20,0.35,0.35,0.35,0.35,0.35,0.0
2007-11-21,0.35,0.35,0.35,0.35,0.35,0.0
2007-11-22,,,,,,
2007-11-25,0.35,0.35,0.35,0.35,0.35,0.0
2007-11-26,0.35,0.39,0.275,0.36,0.36,828948.0
2007-11-27,0.375,0.375,0.36,0.36,0.36,5776.0
2007-11-28,0.36,0.36,0.36,0.36,0.36,0.0
2007-11-29,0.36,0.36,0.36,0.36,0.36,0.0
2007-12-02,0.36,0.36,0.36,0.36,0.36,0.0
2007-12-03,0.35,0.35,0.255,0.275,0.275,64938.0
2007-12-04,0.275,0.275,0.275,0.275,0.275,0.0
2007-12-05,0.28,0.28,0.28,0.28,0.28,27000.0
2007-12-06,0.28,0.3,0.28,0.3,0.3,44224.0
2007-12-09,0.3,0.3,0.3,0.3,0.3,2840.0
2007-12-10,0.3,0.3,0.3,0.3,0.3,0.0
2007-12-11,0.3,0.3,0.3,0.3,0.3,11724.0
2007-12-12,0.325,0.34,0.325,0.325,0.325,89567.0
2007-12-13,0.325,0.35,0.325,0.35,0.35,12000.0
2007-12-16,0.35,0.35,0.35,0.35,0.35,0.0
2007-12-17,0.335,0.35,0.335,0.335,0.335,94758.0
2007-12-18,0.335,0.335,0.335,0.335,0.335,35242.0
2007-12-19,0.33,0.33,0.325,0.325,0.325,58758.0
2007-12-20,0.35,0.36,0.35,0.36,0.36,104000.0
2007-12-23,0.3,0.3,0.3,0.3,0.3,4000.0
2007-12-26,0.3,0.3,0.3,0.3,0.3,0.0
2007-12-27,0.3,0.3,0.3,0.3,0.3,0.0
2007-12-30,0.3,0.3,0.3,0.3,0.3,0.0
2008-01-01,0.3,0.3,0.3,0.3,0.3,0.0
2008-01-02,0.325,0.325,0.325,0.325,0.325,100000.0
2008-01-03,0.36,0.4,0.36,0.375,0.375,135000.0
2008-01-06,0.375,0.375,0.325,0.325,0.325,28194.0
2008-01-07,0.325,0.325,0.325,0.325,0.325,1000.0
2008-01-08,0.325,0.325,0.325,0.325,0.325,0.0
2008-01-09,0.325,0.325,0.325,0.325,0.325,0.0
2008-01-10,0.325,0.325,0.325,0.325,0.325,0.0
2008-01-13,0.3,0.3,0.3,0.3,0.3,11059.0
2008-01-14,0.3,0.3,0.3,0.3,0.3,0.0
2008-01-15,0.3,0.3,0.28,0.28,0.28,20747.0
2008-01-16,0.28,0.28,0.28,0.28,0.28,0.0
2008-01-17,0.28,0.28,0.28,0.28,0.28,0.0
2008-01-20,0.255,0.255,0.255,0.255,0.255,680.0
2008-01-21,0.2,0.2,0.2,0.2,0.2,7320.0
2008-01-22,0.22,0.275,0.22,0.275,0.275,20000.0
2008-01-23,0.275,0.3,0.275,0.3,0.3,14000.0
2008-01-24,0.3,0.3,0.3,0.3,0.3,0.0
2008-01-28,0.3,0.3,0.3,0.3,0.3,0.0
2008-01-29,0.3,0.3,0.3,0.3,0.3,0.0
2008-01-30,0.23,0.23,0.23,0.23,0.23,15000.0
2008-01-31,0.23,0.23,0.23,0.23,0.23,0.0
2008-02-03,0.23,0.23,0.225,0.225,0.225,25715.0
2008-02-04,0.225,0.225,0.225,0.225,0.225,0.0
2008-02-05,0.205,0.205,0.205,0.205,0.205,22485.0
2008-02-06,0.205,0.205,0.205,0.205,0.205,5000.0
2008-02-07,0.205,0.205,0.2,0.2,0.2,19000.0
2008-02-10,0.2,0.2,0.2,0.2,0.2,0.0
2008-02-11,0.2,0.2,0.2,0.2,0.2,99195.0
2008-02-12,0.2,0.2,0.2,0.2,0.2,0.0
2008-02-13,0.2,0.2,0.2,0.2,0.2,0.0
2008-02-14,0.2,0.2,0.2,0.2,0.2,2040.0
2008-02-17,0.2,0.22,0.2,0.22,0.22,6600.0
2008-02-18,0.22,0.22,0.22,0.22,0.22,0.0
2008-02-19,0.22,0.22,0.22,0.22,0.22,14000.0
2008-02-20,0.22,0.22,0.22,0.22,0.22,0.0
2008-02-21,0.22,0.22,0.22,0.22,0.22,0.0
2008-02-24,0.2,0.2,0.2,0.2,0.2,20000.0
2008-02-25,0.175,0.175,0.175,0.175,0.175,10000.0
2008-02-26,0.175,0.175,0.175,0.175,0.175,9680.0
2008-02-27,0.185,0.185,0.185,0.185,0.185,2297.0
2008-02-28,0.155,0.16,0.155,0.155,0.155,14320.0
2008-03-02,0.155,0.155,0.155,0.155,0.155,0.0
2008-03-03,0.155,0.155,0.155,0.155,0.155,0.0
2008-03-04,0.155,0.155,0.155,0.155,0.155,0.0
