Date,Open,High,Low,Close,Adj Close,Volume
2007-06-19,3.05,3.41,3.05,3.41,2.6608,1379881.0
2007-06-20,3.46,3.52,3.46,3.5,2.731026,254234.0
2007-06-21,3.5,3.5,3.5,3.5,2.731026,51799.0
2007-06-22,3.5,3.5,3.48,3.48,2.71542,56800.0
2007-06-25,3.48,3.48,3.35,3.36,2.621785,95667.0
2007-06-26,3.35,3.35,3.3,3.32,2.590573,63919.0
2007-06-27,3.32,3.32,3.24,3.24,2.52815,31820.0
2007-06-28,3.25,3.25,3.25,3.25,2.535953,48600.0
2007-06-29,3.2,3.25,3.2,3.2,2.496938,128050.0
2007-07-02,3.2,3.2,3.15,3.18,2.481333,212310.0
2007-07-03,3.16,3.18,3.15,3.18,2.481333,164050.0
2007-07-04,3.16,3.18,3.16,3.18,2.481333,120565.0
2007-07-05,3.2,3.22,3.2,3.22,2.512544,167281.0
2007-07-06,3.23,3.25,3.23,3.25,2.535953,65100.0
2007-07-09,3.26,3.26,3.26,3.26,2.543756,170.0
2007-07-10,3.26,3.4,3.26,3.4,2.652997,19497.0
2007-07-11,3.35,3.35,3.3,3.3,2.574967,6095.0
2007-07-12,3.31,3.35,3.31,3.31,2.58277,28335.0
2007-07-13,3.35,3.35,3.35,3.35,2.613982,71120.0
2007-07-16,3.35,3.36,3.35,3.36,2.621785,15445.0
2007-07-17,3.4,3.48,3.4,3.41,2.6608,65700.0
2007-07-18,3.41,3.55,3.4,3.55,2.770041,21130.0
2007-07-19,3.6,4.0,3.6,4.0,3.121173,46532.0
2007-07-20,4.0,4.15,4.0,4.07,3.175793,52334.0
2007-07-23,4.0,4.1,4.0,4.1,3.199202,42600.0
2007-07-24,4.11,4.16,4.11,4.16,3.246019,21518.0
2007-07-25,4.21,4.5,4.2,4.5,3.5113190000000003,39508.0
2007-07-26,4.52,4.6,4.52,4.6,3.589348,40410.0
2007-07-27,4.55,4.55,4.4,4.4,3.43329,47962.0
2007-07-30,4.39,4.39,4.37,4.37,3.409881,3801.0
2007-07-31,4.35,4.35,4.32,4.35,3.394276,26395.0
2007-08-01,4.31,4.31,4.15,4.15,3.238217,32222.0
2007-08-02,4.15,4.15,4.0,4.0,3.121173,35390.0
2007-08-03,4.0,4.1,3.8,3.8,2.965114,18222.0
2007-08-06,3.8,3.8,3.7,3.75,2.926099,22400.0
2007-08-07,3.75,4.0,3.75,4.0,3.121173,5350.0
2007-08-08,4.01,4.01,4.0,4.0,3.121173,27165.0
2007-08-09,4.0,4.0,3.81,3.81,2.972917,13931.0
2007-08-10,3.72,3.74,3.63,3.7,2.887084,9026.0
2007-08-13,3.63,3.7,3.63,3.7,2.887084,76724.0
2007-08-14,3.65,3.7,3.55,3.6,2.809056,50501.0
2007-08-15,3.45,3.45,3.2,3.32,2.590573,43000.0
2007-08-16,3.3,3.3,3.1,3.1,2.418909,30400.0
2007-08-17,3.1,3.1,3.05,3.05,2.379894,45237.0
2007-08-20,3.12,3.15,3.05,3.1,2.418909,199426.0
2007-08-21,3.24,3.4,3.24,3.4,2.652997,32004.0
2007-08-22,3.31,3.45,3.3,3.45,2.692012,29319.0
2007-08-23,3.5,3.65,3.45,3.6,2.809056,12300.0
2007-08-24,3.6,3.91,3.5,3.91,3.050946,38253.0
2007-08-27,3.95,4.05,3.95,4.05,3.160187,25457.0
2007-08-28,4.06,4.06,3.8,3.8,2.965114,13350.0
2007-08-29,3.7,3.7,3.5,3.55,2.770041,44800.0
2007-08-30,3.52,3.55,3.52,3.52,2.746632,7500.0
2007-08-31,3.61,3.65,3.61,3.62,2.824661,56700.0
2007-09-03,3.55,3.55,3.55,3.55,2.770041,30000.0
2007-09-04,3.62,3.7,3.6,3.6,2.809056,28240.0
2007-09-05,3.6,3.6,3.6,3.6,2.809056,20367.0
2007-09-06,3.55,3.6,3.55,3.55,2.770041,49727.0
2007-09-07,3.6,3.65,3.55,3.65,2.84807,18225.0
2007-09-10,3.55,3.55,3.5,3.55,2.770041,55346.0
2007-09-11,3.65,3.65,3.5,3.55,2.770041,11500.0
2007-09-12,3.51,3.61,3.5,3.6,2.809056,19638.0
2007-09-13,3.61,3.61,3.55,3.55,2.770041,19950.0
2007-09-14,3.56,3.61,3.54,3.54,2.762238,14754.0
2007-09-17,3.52,3.52,3.5,3.5,2.731026,10000.0
2007-09-18,3.5,3.5,3.5,3.5,2.731026,21000.0
2007-09-19,3.5,3.58,3.5,3.58,2.79345,8000.0
2007-09-20,3.5,3.5,3.5,3.5,2.731026,6878.0
2007-09-21,3.46,3.49,3.45,3.49,2.723223,12142.0
2007-09-24,3.45,3.45,3.42,3.45,2.692012,32296.0
2007-09-25,3.45,3.45,3.45,3.45,2.692012,1524.0
2007-09-26,3.4,3.4,3.4,3.4,2.652997,20930.0
2007-09-27,3.4,3.41,3.4,3.4,2.652997,175375.0
2007-09-28,3.42,3.42,3.4,3.4,2.652997,38000.0
2007-10-01,3.4,3.4,3.3,3.3,2.574967,31300.0
2007-10-02,3.4,3.4,3.3,3.3,2.574967,33853.0
2007-10-03,3.3,3.31,3.28,3.28,2.559362,18130.0
