Date,Open,High,Low,Close,Adj Close,Volume
2011-07-20,15.0,15.0,15.0,15.0,15.0,650.0
2011-07-21,,,,,,
2011-07-22,,,,,,
2011-07-25,,,,,,
2011-07-26,,,,,,
2011-07-27,,,,,,
2011-07-28,,,,,,
2011-07-29,,,,,,
2011-08-02,,,,,,
2011-08-03,,,,,,
2011-08-04,,,,,,
2011-08-05,,,,,,
2011-08-08,,,,,,
2011-08-09,,,,,,
2011-08-10,,,,,,
2011-08-11,,,,,,
2011-08-12,,,,,,
2011-08-15,,,,,,
2011-08-16,,,,,,
2011-08-17,,,,,,
2011-08-18,,,,,,
2011-08-19,,,,,,
2011-08-22,,,,,,
2011-08-23,,,,,,
2011-08-24,,,,,,
2011-08-25,,,,,,
2011-08-26,,,,,,
2011-08-29,,,,,,
2011-08-30,,,,,,
2011-08-31,,,,,,
2011-09-01,,,,,,
2011-09-02,,,,,,
2011-09-05,,,,,,
2011-09-06,,,,,,
2011-09-07,15.15,15.16,15.13,15.13,15.13,21600.0
2011-09-08,,,,,,
2011-09-09,,,,,,
2011-09-12,,,,,,
2011-09-13,,,,,,
2011-09-14,,,,,,
2011-09-15,,,,,,
2011-09-16,,,,,,
2011-09-19,,,,,,
2011-09-20,,,,,,
2011-09-21,,,,,,
2011-09-22,,,,,,
2011-09-23,,,,,,
2011-09-26,,,,,,
2011-09-27,,,,,,
2011-09-28,,,,,,
2011-09-29,,,,,,
2011-09-30,,,,,,
2011-10-03,,,,,,
2011-10-04,,,,,,
2011-10-05,,,,,,
2011-10-06,,,,,,
2011-10-09,,,,,,
2011-10-10,,,,,,
2011-10-11,,,,,,
2011-10-12,,,,,,
2011-10-13,,,,,,
2011-10-16,,,,,,
2011-10-17,,,,,,
2011-10-18,,,,,,
2011-10-19,,,,,,
2011-10-20,,,,,,
2011-10-23,,,,,,
2011-10-24,,,,,,
2011-10-25,,,,,,
2011-10-26,,,,,,
2011-10-27,,,,,,
2011-10-30,,,,,,
2011-11-01,,,,,,
2011-11-02,,,,,,
2011-11-03,,,,,,
2011-11-06,,,,,,
2011-11-07,,,,,,
2011-11-08,,,,,,
2011-11-09,,,,,,
2011-11-10,,,,,,
2011-11-13,,,,,,
2011-11-14,,,,,,
2011-11-15,,,,,,
2011-11-16,,,,,,
2011-11-17,,,,,,
2011-11-20,,,,,,
