Date,Open,High,Low,Close,Adj Close,Volume
2016-10-11,2.06,2.06,1.98,2.05,2.05,539233
2016-10-12,2.05,2.05,1.9,1.91,1.91,231187
2016-10-13,1.91,1.91,1.85,1.875,1.875,156360
2016-10-16,1.83,1.89,1.82,1.82,1.82,6183
2016-10-17,1.82,1.83,1.79,1.79,1.79,30406
2016-10-18,1.8,1.8,1.79,1.79,1.79,108887
2016-10-19,1.8,1.8,1.75,1.75,1.75,29393
2016-10-20,1.75,1.8,1.69,1.7,1.7,198551
2016-10-23,1.7,1.8,1.7,1.75,1.75,35442
2016-10-24,1.75,1.8,1.75,1.8,1.8,147172
2016-10-25,1.85,1.85,1.68,1.68,1.68,214735
2016-10-26,1.69,1.7,1.645,1.655,1.655,56284
2016-10-27,1.68,1.68,1.58,1.58,1.58,92576
2016-10-30,1.59,1.59,1.54,1.59,1.59,30475
2016-10-31,1.59,1.59,1.59,1.59,1.59,6003
2016-11-01,1.6,1.605,1.59,1.6,1.6,26212
2016-11-02,1.56,1.56,1.5,1.5,1.5,23259
2016-11-03,1.6,1.625,1.55,1.58,1.58,98061
2016-11-06,1.65,1.73,1.65,1.7,1.7,110539
2016-11-07,1.8,1.8,1.77,1.8,1.8,54370
2016-11-08,1.77,1.77,1.65,1.65,1.65,15000
2016-11-09,1.8,1.87,1.8,1.83,1.83,45318
2016-11-10,1.8,1.85,1.8,1.82,1.82,81606
2016-11-13,1.82,1.84,1.8,1.82,1.82,216538
2016-11-14,1.8,1.8,1.79,1.79,1.79,16460
2016-11-15,1.795,1.8,1.795,1.795,1.795,22800
2016-11-16,1.8,1.8,1.8,1.8,1.8,54415
2016-11-17,1.8,1.8,1.8,1.8,1.8,54990
2016-11-20,1.78,1.785,1.77,1.785,1.785,36532
2016-11-21,1.785,1.785,1.785,1.785,1.785,0
2016-11-22,1.8,1.8,1.7,1.7,1.7,26398
2016-11-23,1.7,1.75,1.67,1.7,1.7,162909
2016-11-24,1.7,1.7,1.69,1.69,1.69,19900
2016-11-27,1.7,1.7,1.675,1.7,1.7,17512
2016-11-28,1.68,1.69,1.68,1.69,1.69,24000
2016-11-29,1.66,1.66,1.65,1.65,1.65,31888
2016-11-30,1.65,1.65,1.57,1.61,1.61,36322
2016-12-01,1.57,1.57,1.51,1.54,1.54,53318
2016-12-04,1.54,1.54,1.5,1.5,1.5,77000
2016-12-05,1.5,1.5,1.45,1.45,1.45,80000
2016-12-06,1.45,1.45,1.39,1.45,1.45,24839
2016-12-07,1.45,1.45,1.4,1.43,1.43,27238
2016-12-08,1.43,1.43,1.34,1.36,1.36,115812
2016-12-11,1.32,1.37,1.32,1.342,1.342,73215
2016-12-12,1.32,1.32,1.25,1.25,1.25,97492
2016-12-13,1.26,1.26,1.25,1.26,1.26,6382
2016-12-14,1.27,1.3,1.27,1.272,1.272,754081
2016-12-15,1.28,1.28,1.26,1.265,1.265,442853
2016-12-18,1.27,1.27,1.25,1.26,1.26,179710
2016-12-19,1.29,1.29,1.267,1.28,1.28,116779
2016-12-20,1.28,1.28,1.28,1.28,1.28,0
2016-12-21,1.28,1.28,1.27,1.275,1.275,203565
2016-12-22,1.26,1.35,1.25,1.35,1.35,256975
2016-12-27,1.35,1.35,1.32,1.32,1.32,2000
2016-12-28,1.35,1.35,1.28,1.28,1.28,10700
2016-12-29,1.35,1.35,1.32,1.32,1.32,113428
2017-01-02,1.32,1.32,1.32,1.32,1.32,0
2017-01-03,1.35,1.35,1.35,1.35,1.35,33247
2017-01-04,1.45,1.62,1.45,1.62,1.62,70632
2017-01-05,1.68,1.75,1.68,1.7,1.7,52601
2017-01-08,1.77,1.89,1.7,1.72,1.72,176982
2017-01-09,1.77,1.78,1.72,1.72,1.72,22768
2017-01-10,1.78,1.78,1.72,1.72,1.72,61814
2017-01-11,1.72,1.72,1.7,1.7,1.7,14190
2017-01-12,1.7,1.7,1.65,1.695,1.695,1080
2017-01-15,1.695,1.695,1.695,1.695,1.695,0
2017-01-16,1.685,1.685,1.6,1.6,1.6,3138
2017-01-17,1.6,1.6,1.55,1.55,1.55,73316
2017-01-18,1.55,1.55,1.55,1.55,1.55,0
2017-01-19,1.55,1.55,1.55,1.55,1.55,0
2017-01-22,1.65,1.65,1.5,1.5,1.5,12559
2017-01-23,1.51,1.51,1.44,1.44,1.44,27283
2017-01-24,1.455,1.455,1.42,1.43,1.43,43574
2017-01-26,1.43,1.43,1.42,1.42,1.42,37766
2017-01-29,1.43,1.44,1.42,1.42,1.42,353575
2017-01-30,1.43,1.43,1.4,1.4,1.4,18325
2017-01-31,1.44,1.57,1.44,1.53,1.53,3447806
2017-02-01,1.54,1.58,1.54,1.57,1.57,16277
2017-02-02,1.56,1.58,1.56,1.57,1.57,9643
2017-02-05,1.57,1.57,1.57,1.57,1.57,0
2017-02-06,1.575,1.58,1.55,1.57,1.57,63368
2017-02-07,1.6,1.62,1.58,1.6,1.6,42649
2017-02-08,1.6,1.6,1.6,1.6,1.6,0
2017-02-09,1.64,1.64,1.58,1.585,1.585,27500
2017-02-12,1.585,1.65,1.585,1.63,1.63,47854
2017-02-13,1.7,1.83,1.7,1.8,1.8,5121895
2017-02-14,1.86,1.94,1.825,1.9,1.9,196668
2017-02-15,1.875,1.875,1.85,1.85,1.85,504152
2017-02-16,1.82,1.85,1.8,1.8,1.8,35049
2017-02-19,1.8,1.8,1.75,1.755,1.755,3750
2017-02-20,1.755,1.755,1.755,1.755,1.755,0
2017-02-21,1.79,1.79,1.79,1.79,1.79,2574
2017-02-22,1.79,1.8,1.71,1.71,1.71,15234
2017-02-23,1.79,1.79,1.79,1.79,1.79,5000
2017-02-26,1.79,1.79,1.79,1.79,1.79,0
2017-02-27,1.8,1.8,1.7,1.75,1.75,7209
2017-02-28,1.75,1.75,1.75,1.75,1.75,0
2017-03-01,1.765,1.8,1.7,1.725,1.725,22718
2017-03-02,1.725,1.725,1.725,1.725,1.725,0
2017-03-05,1.72,1.81,1.72,1.78,1.78,34958
2017-03-06,1.78,1.78,1.78,1.78,1.78,0
2017-03-07,1.77,1.77,1.7,1.7,1.7,3628
2017-03-08,1.71,1.78,1.71,1.73,1.73,15308
2017-03-09,1.715,1.75,1.715,1.75,1.75,3105
2017-03-12,1.8,1.8,1.79,1.8,1.8,12000
2017-03-13,1.75,1.785,1.75,1.785,1.785,5892
2017-03-14,1.75,1.8,1.75,1.75,1.75,14865
2017-03-15,1.72,1.75,1.71,1.71,1.71,13825
2017-03-16,1.72,1.72,1.72,1.72,1.72,6352
2017-03-19,1.72,1.74,1.72,1.74,1.74,2055
2017-03-20,1.74,1.76,1.72,1.72,1.72,8147
2017-03-21,1.72,1.73,1.72,1.72,1.72,37373
2017-03-22,1.72,1.72,1.72,1.72,1.72,0
2017-03-23,1.75,1.75,1.72,1.72,1.72,8306
2017-03-26,1.72,1.72,1.72,1.72,1.72,0
2017-03-27,1.72,1.72,1.7,1.7,1.7,66847
2017-03-28,1.72,1.72,1.7,1.7,1.7,18630
2017-03-29,1.72,1.72,1.7,1.7,1.7,123
2017-03-30,1.72,1.72,1.7,1.72,1.72,15848
2017-04-03,1.67,1.67,1.65,1.66,1.66,28198
2017-04-04,1.66,1.66,1.66,1.66,1.66,0
2017-04-05,1.66,1.66,1.6,1.65,1.65,128050
2017-04-06,1.65,1.65,1.6,1.6,1.6,5053
2017-04-07,1.6,1.6,1.6,1.6,1.6,0
2017-04-10,1.61,1.715,1.61,1.65,1.65,15111
2017-04-11,1.65,1.76,1.6,1.7,1.7,62165
2017-04-12,1.85,1.85,1.75,1.75,1.75,107262
2017-04-13,1.75,1.75,1.75,1.75,1.75,1000
2017-04-18,1.75,1.75,1.62,1.62,1.62,12937
2017-04-19,1.62,1.62,1.57,1.58,1.58,92428
2017-04-20,1.6,1.6,1.6,1.6,1.6,27
2017-04-21,1.57,1.59,1.54,1.58,1.58,35813
2017-04-24,1.6,1.6,1.57,1.595,1.595,56480
2017-04-26,1.595,1.595,1.55,1.555,1.555,52584
2017-04-27,1.57,1.57,1.55,1.57,1.57,31765
2017-04-28,1.59,1.59,1.57,1.58,1.58,7453
2017-05-01,1.58,1.58,1.58,1.58,1.58,0
2017-05-02,1.7,1.7,1.59,1.635,1.635,22956
2017-05-03,1.635,1.635,1.635,1.635,1.635,0
2017-05-04,1.68,1.68,1.645,1.645,1.645,16000
2017-05-05,1.645,1.65,1.6,1.6,1.6,7108
2017-05-08,1.65,1.65,1.65,1.65,1.65,24881
2017-05-09,1.635,1.645,1.635,1.645,1.645,6
2017-05-10,1.645,1.645,1.645,1.645,1.645,0
2017-05-11,1.6,1.6,1.59,1.6,1.6,43897
2017-05-12,1.6,1.6,1.6,1.6,1.6,0
2017-05-15,1.65,1.65,1.6,1.6,1.6,29153
2017-05-16,1.6,1.6,1.6,1.6,1.6,0
2017-05-17,1.6,1.6,1.6,1.6,1.6,0
