Date,Open,High,Low,Close,Adj Close,Volume
2006-12-17,2.35,2.52,2.35,2.51,1.2563,32300.0
2006-12-18,2.5,2.55,2.5,2.54,1.271316,21216.0
2006-12-19,2.6,2.67,2.6,2.66,1.3313780000000002,442200.0
2006-12-20,2.69,2.71,2.69,2.71,1.3564040000000002,19000.0
2006-12-21,2.71,2.71,2.51,2.6,1.301347,137393.0
2006-12-26,2.6,2.6,2.58,2.6,1.301347,8000.0
2006-12-27,2.6,2.6,2.53,2.53,1.266311,7500.0
2006-12-28,2.53,2.53,2.53,2.53,1.266311,0.0
2007-01-01,2.53,2.53,2.5,2.5,1.251295,19030.0
2007-01-02,2.5,2.5,2.5,2.5,1.251295,0.0
2007-01-03,2.49,2.49,2.49,2.49,1.24629,0.0
2007-01-04,2.49,2.49,2.49,2.49,1.24629,0.0
2007-01-07,2.49,2.49,2.49,2.49,1.24629,0.0
2007-01-08,2.45,2.45,2.45,2.45,1.226269,10000.0
2007-01-09,2.45,2.45,2.45,2.45,1.226269,0.0
2007-01-10,2.36,2.44,2.36,2.44,1.221264,2093.0
2007-01-11,2.38,2.4,2.35,2.4,1.201243,23500.0
2007-01-14,2.4,2.4,2.4,2.4,1.201243,12200.0
2007-01-15,2.4,2.44,2.4,2.44,1.221264,15300.0
2007-01-16,2.4,2.4,2.4,2.4,1.201243,8826.0
2007-01-17,2.44,2.44,2.44,2.44,1.221264,8936.0
2007-01-18,2.4,2.4,2.4,2.4,1.201243,22500.0
2007-01-21,2.4,2.4,2.4,2.4,1.201243,0.0
2007-01-22,2.4,2.4,2.4,2.4,1.201243,0.0
2007-01-23,2.4,2.45,2.4,2.45,1.226269,28234.0
2007-01-24,2.45,2.45,2.4,2.4,1.201243,11966.0
2007-01-28,2.4,2.4,2.35,2.4,1.201243,13500.0
2007-01-29,2.4,2.45,2.4,2.45,1.226269,65500.0
2007-01-30,2.4,2.4,2.4,2.4,1.201243,10455.0
2007-01-31,2.4,2.4,2.4,2.4,1.201243,0.0
2007-02-01,2.4,2.4,2.4,2.4,1.201243,0.0
2007-02-04,2.4,2.4,2.4,2.4,1.201243,2000.0
2007-02-05,2.42,2.45,2.42,2.45,1.226269,7300.0
2007-02-06,2.45,2.45,2.45,2.45,1.226269,0.0
2007-02-07,2.45,2.45,2.45,2.45,1.226269,10000.0
2007-02-08,2.44,2.44,2.44,2.44,1.221264,0.0
2007-02-11,2.44,2.45,2.44,2.45,1.226269,5000.0
2007-02-12,2.45,2.45,2.41,2.41,1.206249,132391.0
2007-02-13,2.41,2.41,2.41,2.41,1.206249,4500.0
2007-02-14,2.42,2.42,2.42,2.42,1.211254,1000.0
2007-02-15,2.42,2.42,2.42,2.42,1.211254,1500000.0
2007-02-18,2.42,2.42,2.42,2.42,1.211254,0.0
2007-02-19,2.42,2.42,2.41,2.41,1.206249,5807.0
2007-02-20,2.41,2.41,2.41,2.41,1.206249,0.0
2007-02-21,2.5,2.5,2.5,2.5,1.251295,8500.0
2007-02-22,2.48,2.48,2.48,2.48,1.241285,4598.0
2007-02-25,2.5,2.5,2.5,2.5,1.251295,8500.0
2007-02-26,2.5,2.5,2.5,2.5,1.251295,17500.0
2007-02-27,2.5,2.5,2.5,2.5,1.251295,12000.0
2007-02-28,2.5,2.5,2.5,2.5,1.251295,0.0
2007-03-01,2.45,2.45,2.45,2.45,1.226269,7000.0
2007-03-04,2.45,2.45,2.45,2.45,1.226269,16500.0
2007-03-05,2.45,2.45,2.45,2.45,1.226269,0.0
2007-03-06,2.45,2.45,2.41,2.41,1.206249,788.0
2007-03-07,2.41,2.43,2.41,2.43,1.216259,17257.0
2007-03-08,2.43,2.44,2.43,2.44,1.221264,11571.0
2007-03-11,2.44,2.44,2.43,2.44,1.221264,29166.0
2007-03-12,2.45,2.6,2.45,2.6,1.301347,46000.0
2007-03-13,2.45,2.6,2.45,2.6,1.301347,46000.0
2007-03-14,2.5,2.5,2.5,2.5,1.251295,0.0
2007-03-15,2.5,2.5,2.5,2.5,1.251295,0.0
2007-03-18,2.5,2.5,2.43,2.43,1.216259,11750.0
2007-03-19,2.43,2.43,2.43,2.43,1.216259,0.0
2007-03-20,2.43,2.43,2.43,2.43,1.216259,0.0
2007-03-21,2.43,2.43,2.43,2.43,1.216259,0.0
2007-03-22,2.43,2.43,2.43,2.43,1.216259,0.0
2007-03-26,2.43,2.43,2.43,2.43,1.216259,7500.0
2007-03-27,2.49,2.49,2.49,2.49,1.24629,7500.0
2007-03-28,2.6,2.6,2.44,2.44,1.221264,15220.0
2007-03-29,2.44,2.44,2.44,2.44,1.221264,0.0
2007-03-30,2.44,2.44,2.44,2.44,1.221264,0.0
2007-04-02,2.42,2.42,2.42,2.42,1.211254,2500.0
2007-04-03,2.43,2.43,2.43,2.43,1.216259,2500.0
2007-04-04,2.43,2.43,2.42,2.42,1.211254,1677.0
2007-04-05,2.5,2.5,2.5,2.5,1.251295,3750.0
2007-04-10,2.5,2.5,2.5,2.5,1.251295,2711.0
2007-04-11,2.51,2.51,2.51,2.51,1.2563,0.0
2007-04-12,2.51,2.51,2.51,2.51,1.2563,0.0
2007-04-13,2.51,2.51,2.51,2.51,1.2563,0.0
2007-04-16,2.51,2.51,2.51,2.51,1.2563,0.0
2007-04-17,2.52,2.52,2.52,2.52,1.261305,1000.0
2007-04-18,2.55,2.55,2.55,2.55,1.2763209999999998,1950.0
2007-04-19,2.55,2.55,2.55,2.55,1.2763209999999998,0.0
2007-04-20,2.55,2.55,2.55,2.55,1.298138,3050.0
2007-04-23,2.52,2.52,2.45,2.45,1.247231,10221.0
2007-04-24,2.45,2.45,2.45,2.45,1.247231,0.0
2007-04-26,2.2,2.2,2.0,2.0,1.018148,63200.0
2007-04-27,2.0,2.0,2.0,2.0,1.018148,0.0
2007-04-30,2.0,2.0,2.0,2.0,1.018148,5800.0
2007-05-01,2.0,2.0,2.0,2.0,1.018148,8200.0
2007-05-02,2.0,2.0,2.0,2.0,1.018148,0.0
2007-05-03,2.0,2.0,2.0,2.0,1.018148,10000.0
2007-05-04,2.0,2.0,2.0,2.0,1.018148,0.0
2007-05-07,2.0,2.0,2.0,2.0,1.018148,0.0
2007-05-08,2.0,2.0,2.0,2.0,1.018148,0.0
2007-05-09,2.1,2.1,2.1,2.1,1.0690549999999999,1500.0
2007-05-10,2.18,2.18,2.18,2.18,1.109781,2000.0
2007-05-11,2.15,2.15,2.15,2.15,1.094509,2400.0
2007-05-14,2.0,2.0,2.0,2.0,1.018148,12600.0
2007-05-15,2.0,2.0,2.0,2.0,1.018148,0.0
2007-05-16,2.0,2.0,2.0,2.0,1.018148,0.0
2007-05-17,2.0,2.0,2.0,2.0,1.018148,0.0
2007-05-18,2.1,2.1,2.0,2.0,1.018148,7000.0
2007-05-21,2.0,2.0,2.0,2.0,1.018148,13700.0
2007-05-22,2.0,2.0,2.0,2.0,1.018148,0.0
2007-05-23,2.0,2.0,2.0,2.0,1.018148,0.0
2007-05-24,2.0,2.0,2.0,2.0,1.018148,0.0
2007-05-25,2.0,2.0,2.0,2.0,1.018148,0.0
