Date,Open,High,Low,Close,Adj Close,Volume
2016-08-31,2.45,2.52,2.4,2.5,2.194429,10291317.0
2016-09-01,2.48,2.52,2.48,2.52,2.211984,2507263.0
2016-09-02,2.48,2.48,2.44,2.46,2.159318,1483088.0
2016-09-05,2.46,2.46,2.42,2.43,2.132985,710456.0
2016-09-06,2.43,2.43,2.4,2.4,2.106652,714382.0
2016-09-07,2.41,2.41,2.36,2.36,2.071541,614470.0
2016-09-08,2.35,2.4,2.3,2.36,2.071541,735392.0
2016-09-09,2.35,2.39,2.34,2.37,2.080319,189442.0
2016-09-12,2.36,2.36,2.3,2.35,2.062763,667482.0
2016-09-13,2.38,2.4,2.36,2.37,2.080319,423640.0
2016-09-14,2.37,2.38,2.35,2.36,2.071541,208014.0
2016-09-15,2.36,2.4,2.36,2.38,2.089097,346577.0
2016-09-16,2.37,2.4,2.37,2.39,2.097874,383774.0
2016-09-19,2.4,2.43,2.4,2.43,2.132985,51571.0
2016-09-20,2.43,2.43,2.36,2.37,2.080319,171687.0
2016-09-21,2.38,2.39,2.36,2.38,2.089097,347197.0
2016-09-22,2.36,2.4,2.36,2.39,2.097874,461923.0
2016-09-23,2.39,2.39,2.36,2.38,2.089097,150503.0
2016-09-26,2.37,2.4,2.37,2.37,2.080319,523894.0
2016-09-27,2.37,2.38,2.36,2.36,2.071541,50228.0
2016-09-28,2.37,2.39,2.36,2.38,2.089097,1192035.0
2016-09-29,2.38,2.4,2.37,2.38,2.089097,174261.0
2016-09-30,2.38,2.4,2.38,2.38,2.089097,26087.0
2016-10-02,2.39,2.39,2.38,2.38,2.089097,62640.0
2016-10-03,2.38,2.41,2.38,2.41,2.11543,279353.0
2016-10-04,2.39,2.43,2.39,2.41,2.11543,289289.0
2016-10-05,2.41,2.42,2.39,2.39,2.097874,204475.0
2016-10-06,2.39,2.4,2.37,2.39,2.097874,102799.0
2016-10-09,2.39,2.4,2.36,2.4,2.106652,336557.0
2016-10-10,2.39,2.4,2.36,2.39,2.097874,97094.0
2016-10-11,2.39,2.4,2.36,2.38,2.089097,113273.0
2016-10-12,2.39,2.39,2.3,2.35,2.062763,322195.0
2016-10-13,2.35,2.38,2.35,2.36,2.071541,123934.0
2016-10-16,2.36,2.36,2.26,2.32,2.03643,369119.0
2016-10-17,2.33,2.35,2.29,2.35,2.062763,125467.0
2016-10-18,2.36,2.36,2.32,2.36,2.071541,90916.0
2016-10-19,2.3,2.33,2.18,2.33,2.045208,158209.0
2016-10-20,2.35,2.35,2.3,2.32,2.03643,69642.0
2016-10-23,2.27,2.34,2.27,2.34,2.053986,159949.0
2016-10-24,2.31,2.31,2.31,2.31,2.027653,68.0
2016-10-25,2.31,2.33,2.23,2.26,1.983764,210255.0
2016-10-26,2.26,2.27,2.25,2.25,1.974986,134446.0
2016-10-27,2.26,2.28,2.25,2.26,1.983764,240861.0
2016-10-30,2.26,2.29,2.25,2.28,2.001319,87062.0
2016-10-31,2.27,2.29,2.27,2.28,2.001319,59264.0
2016-11-01,2.28,2.3,2.27,2.27,1.992542,118003.0
2016-11-02,2.27,2.28,2.25,2.27,1.992542,75111.0
2016-11-03,2.27,2.27,2.25,2.26,1.983764,443424.0
2016-11-06,2.27,2.3,2.25,2.26,1.983764,33506.0
2016-11-07,2.26,2.26,2.22,2.25,1.974986,118827.0
2016-11-08,2.26,2.27,2.25,2.25,1.974986,94809.0
2016-11-09,2.26,2.27,2.25,2.27,1.992542,81418.0
2016-11-10,2.3,2.3,2.22,2.25,1.974986,2084108.0
2016-11-13,2.22,2.26,2.17,2.26,1.983764,203737.0
2016-11-14,2.2,2.24,2.2,2.22,1.948653,15294.0
2016-11-15,2.24,2.24,2.07,2.2,1.931098,148442.0
2016-11-16,2.17,2.22,2.17,2.21,1.939875,353785.0
2016-11-17,2.21,2.22,2.2,2.2,1.931098,104679.0
2016-11-20,2.2,2.22,2.2,2.2,1.931098,27521.0
2016-11-21,2.2,2.23,2.16,2.23,1.957431,100234.0
2016-11-22,2.17,2.23,2.16,2.18,1.913542,98800.0
2016-11-23,2.22,2.22,2.17,2.17,1.904765,50399.0
2016-11-24,2.22,2.22,2.16,2.18,1.913542,35829.0
2016-11-27,2.18,2.22,2.12,2.2,1.931098,93796.0
2016-11-28,2.2,2.23,2.1,2.19,1.92232,99182.0
2016-11-29,2.1,2.23,2.1,2.23,1.957431,4752234.0
2016-11-30,2.22,2.22,2.15,2.17,1.904765,19012.0
2016-12-01,2.16,2.18,2.1,2.15,1.887209,496740.0
2016-12-04,2.15,2.15,2.1,2.11,1.852098,9656.0
2016-12-05,2.11,2.19,2.05,2.06,1.808209,38239.0
2016-12-06,2.19,2.19,2.13,2.13,1.869654,11.0
2016-12-07,2.18,2.19,2.12,2.19,1.92232,58621.0
2016-12-08,2.18,2.21,2.16,2.2,1.931098,28459.0
2016-12-11,2.2,2.2,2.19,2.19,1.92232,34468.0
2016-12-12,2.17,2.21,2.17,2.19,1.92232,33359.0
2016-12-13,2.19,2.22,2.19,2.2,1.931098,16934.0
2016-12-14,2.23,2.23,2.2,2.22,1.948653,66970.0
2016-12-15,2.22,2.22,2.21,2.21,1.939875,31356.0
2016-12-18,2.21,2.215,2.12,2.17,1.904765,27459.0
2016-12-19,2.18,2.18,2.12,2.14,1.878431,7104.0
2016-12-20,2.14,2.15,2.06,2.14,1.878431,15087.0
