Date,Open,High,Low,Close,Adj Close,Volume
2014-08-22,0.97,0.975,0.9620000000000001,0.965,0.918942,2187763.0
2014-08-25,0.97,0.975,0.965,0.9670000000000001,0.920846,1220194.0
2014-08-26,0.97,0.97,0.965,0.97,0.923703,688176.0
2014-08-27,0.97,0.97,0.96,0.965,0.918942,879765.0
2014-08-28,0.96,0.97,0.96,0.97,0.923703,342896.0
2014-08-29,0.97,0.97,0.965,0.97,0.923703,162473.0
2014-09-01,0.9790000000000001,0.9790000000000001,0.965,0.9670000000000001,0.920846,295501.0
2014-09-02,0.965,0.97,0.965,0.9670000000000001,0.920846,246498.0
2014-09-03,0.97,0.97,0.965,0.97,0.923703,316462.0
2014-09-04,0.97,0.97,0.965,0.97,0.923703,499625.0
2014-09-05,0.9670000000000001,0.97,0.965,0.965,0.918942,208619.0
2014-09-08,0.97,0.97,0.965,0.965,0.918942,257800.0
2014-09-09,0.97,0.97,0.965,0.97,0.923703,252000.0
2014-09-10,0.97,0.975,0.97,0.97,0.923703,88357.0
2014-09-11,0.97,0.97,0.965,0.965,0.918942,147495.0
2014-09-12,0.97,0.97,0.965,0.97,0.923703,102352.0
2014-09-15,0.965,0.97,0.965,0.965,0.918942,138057.0
2014-09-16,0.97,0.975,0.965,0.975,0.928465,135084.0
2014-09-17,0.97,0.97,0.965,0.97,0.923703,124126.0
2014-09-18,0.965,0.97,0.965,0.97,0.923703,252018.0
2014-09-19,0.97,0.97,0.965,0.965,0.918942,215737.0
2014-09-22,0.965,0.97,0.96,0.96,0.91418,277081.0
2014-09-23,0.96,0.965,0.96,0.96,0.91418,263609.0
2014-09-24,0.96,0.96,0.955,0.96,0.91418,275873.0
2014-09-25,0.96,0.96,0.955,0.96,0.91418,210168.0
2014-09-26,0.955,0.96,0.95,0.95,0.904658,132176.0
2014-09-29,0.95,0.96,0.95,0.955,0.909419,373004.0
2014-09-30,0.981,0.981,0.981,0.981,0.934178,0.0
2014-10-01,0.96,0.96,0.95,0.96,0.91418,221488.0
2014-10-02,0.96,0.96,0.95,0.95,0.904658,69440.0
2014-10-03,0.955,0.96,0.95,0.96,0.91418,217730.0
2014-10-05,0.955,0.96,0.955,0.96,0.91418,8000.0
2014-10-06,0.96,0.965,0.955,0.96,0.91418,252416.0
2014-10-07,0.96,0.965,0.95,0.965,0.918942,201008.0
2014-10-08,0.965,0.97,0.965,0.97,0.923703,235333.0
2014-10-09,0.965,0.98,0.965,0.98,0.933226,220534.0
2014-10-12,0.975,0.98,0.97,0.975,0.928465,318322.0
2014-10-13,0.975,0.985,0.965,0.965,0.918942,522206.0
2014-10-14,0.97,0.98,0.97,0.98,0.933226,210054.0
2014-10-15,0.97,0.985,0.97,0.98,0.933226,158610.0
2014-10-16,0.98,0.985,0.975,0.98,0.933226,116153.0
2014-10-19,0.98,0.985,0.98,0.98,0.933226,138792.0
2014-10-20,0.98,0.985,0.98,0.98,0.933226,203710.0
2014-10-21,0.98,0.99,0.98,0.99,0.942749,133676.0
2014-10-22,0.985,0.995,0.98,0.995,0.94751,285189.0
2014-10-23,0.99,1.005,0.985,0.995,0.94751,375937.0
2014-10-26,0.995,0.995,0.995,0.995,0.94751,232898.0
2014-10-27,0.99,1.0,0.99,1.0,0.952271,131000.0
2014-10-28,0.995,1.005,0.995,0.995,0.94751,176243.0
2014-10-29,0.995,0.995,0.985,0.985,0.937987,107368.0
2014-10-30,0.9853,0.9853,0.9853,0.9853,0.938273,0.0
2014-11-02,0.995,1.005,0.995,1.0,0.952271,63265.0
2014-11-03,1.0,1.0,0.995,0.995,0.94751,31000.0
2014-11-04,1.0,1.0,1.0,1.0,0.952271,13300.0
2014-11-05,1.0,1.0,0.995,1.0,0.952271,138731.0
2014-11-06,1.0,1.0,0.99,0.99,0.942749,93512.0
2014-11-09,1.0,1.0,0.99,0.995,0.94751,305261.0
2014-11-10,0.99,0.995,0.985,0.985,0.937987,238700.0
2014-11-11,0.99,0.99,0.985,0.99,0.942749,148270.0
2014-11-12,0.99,1.0,0.985,0.985,0.937987,239385.0
2014-11-13,0.99,0.995,0.985,0.985,0.937987,91151.0
2014-11-16,0.99,0.995,0.985,0.99,0.942749,363499.0
2014-11-17,0.99,0.995,0.99,0.995,0.94751,189864.0
2014-11-18,0.99,0.995,0.99,0.99,0.942749,129535.0
2014-11-19,0.99,0.99,0.985,0.985,0.937987,179000.0
2014-11-20,0.985,0.99,0.985,0.99,0.942749,162365.0
2014-11-23,0.99,0.995,0.98,0.995,0.94751,369231.0
2014-11-24,0.99,0.995,0.97,0.995,0.94751,142749.0
2014-11-25,0.985,0.985,0.975,0.985,0.937987,167620.0
2014-11-26,0.985,0.995,0.98,0.98,0.933226,437206.0
2014-11-27,1.0,1.0,1.0,1.0,0.952271,0.0
2014-11-30,0.99,0.99,0.97,0.98,0.933226,136172.0
2014-12-01,0.98,1.0,0.98,1.0,0.952271,326202.0
2014-12-02,0.99,1.0,0.99,1.0,0.952271,83201.0
2014-12-03,0.995,0.995,0.985,0.99,0.942749,97813.0
2014-12-04,0.98,0.995,0.975,0.98,0.933226,166500.0
2014-12-07,0.995,0.995,0.985,0.995,0.94751,156105.0
2014-12-08,0.995,1.0,0.99,0.995,0.94751,221193.0
2014-12-09,0.99,0.99,0.98,0.99,0.942749,287537.0
2014-12-10,0.99,0.99,0.98,0.99,0.942749,124285.0
2014-12-11,0.99,1.0,0.97,1.0,0.952271,385278.0
2014-12-14,1.0,1.0,0.995,0.995,0.94751,157500.0
2014-12-15,0.995,1.005,0.975,1.0,0.952271,355913.0
2014-12-16,1.0,1.005,0.99,1.0,0.952271,95085.0
2014-12-17,1.005,1.01,1.005,1.01,0.961794,124965.0
2014-12-18,1.015,1.02,1.01,1.015,0.966555,275443.0
2014-12-21,1.015,1.015,1.01,1.015,0.966555,111654.0
2014-12-22,1.02,1.03,1.01,1.03,0.980839,80535.0
2014-12-23,1.035,1.04,1.035,1.04,0.990362,45490.0
2014-12-28,1.04,1.04,1.03,1.03,0.980839,46051.0
2014-12-29,1.035,1.04,1.035,1.035,0.985601,71380.0
2014-12-30,1.0173,1.0173,1.0173,1.0173,0.968746,0.0
2015-01-01,1.04,1.04,1.035,1.035,0.985601,42500.0
2015-01-04,1.035,1.04,1.035,1.04,0.990362,130707.0
2015-01-05,1.035,1.05,1.03,1.05,0.999885,214571.0
2015-01-06,1.05,1.055,1.03,1.055,1.004646,119182.0
2015-01-07,0.9853,0.9853,0.9853,0.9853,0.938273,0.0
2015-01-08,0.9853,0.9853,0.9853,0.9853,0.938273,0.0
2015-01-11,0.9853,0.9853,0.9853,0.9853,0.938273,0.0
2015-01-12,0.9853,0.9853,0.9853,0.9853,0.938273,0.0
2015-01-13,0.9853,0.9853,0.9853,0.9853,0.938273,0.0
2015-01-14,0.9853,0.9853,0.9853,0.9853,0.938273,0.0
2015-01-15,1.04,1.05,1.03,1.03,0.980839,122395.0
2015-01-18,1.03,1.055,1.03,1.04,0.990362,101024.0
2015-01-19,0.9853,0.9853,0.9853,0.9853,0.938273,0.0
2015-01-20,0.9853,0.9853,0.9853,0.9853,0.938273,0.0
2015-01-21,1.03,1.035,1.03,1.035,0.985601,65493.0
2015-01-22,1.03,1.05,1.03,1.05,0.999885,77031.0
2015-01-26,1.05,1.06,1.05,1.06,1.009408,200516.0
2015-01-27,0.9853,0.9853,0.9853,0.9853,0.938273,0.0
2015-01-28,1.06,1.075,1.06,1.06,1.009408,96838.0
2015-01-29,1.055,1.075,1.05,1.06,1.009408,128004.0
2015-02-01,1.033,1.033,0.9853,0.9853,0.938273,0.0
2015-02-02,1.07,1.07,1.05,1.06,1.009408,128770.0
2015-02-03,0.9853,0.9853,0.9853,0.9853,0.938273,0.0
2015-02-04,1.075,1.09,1.07,1.09,1.037976,128864.0
2015-02-05,1.09,1.09,1.055,1.055,1.004646,173439.0
2015-02-08,0.9853,0.9853,0.9853,0.9853,0.938273,0.0
2015-02-09,1.08,1.08,1.08,1.08,1.028453,16948.0
2015-02-10,0.9853,0.9853,0.9853,0.9853,0.938273,0.0
2015-02-11,1.08,1.08,1.05,1.075,1.023692,185803.0
2015-02-12,1.075,1.085,1.07,1.08,1.028453,176233.0
2015-02-15,1.085,1.085,1.075,1.085,1.033214,139574.0
2015-02-16,1.085,1.085,1.07,1.07,1.01893,111654.0
2015-02-17,0.9853,0.9853,0.9853,0.9853,0.938273,0.0
2015-02-18,0.9853,0.9853,0.9853,0.9853,0.938273,0.0
2015-02-19,1.075,1.085,1.07,1.085,1.033214,52397.0
2015-02-22,0.9853,0.9853,0.9853,0.9853,0.938273,0.0
2015-02-23,0.9853,0.9853,0.9853,0.9853,0.938273,0.0
2015-02-24,1.125,1.13,1.09,1.105,1.05226,233499.0
2015-02-25,0.9812,0.9812,0.9812,0.9812,0.934369,0.0
2015-02-26,0.9812,0.9812,0.9812,0.9812,0.934369,0.0
2015-03-01,1.0715,1.12,1.0715,1.11,1.057021,528384.0
2015-03-02,1.11,1.11,1.09,1.105,1.05226,143558.0
2015-03-03,1.105,1.12,1.1,1.1,1.047498,232048.0
2015-03-04,0.9784,0.9784,0.9784,0.9784,0.931702,0.0
2015-03-05,1.105,1.105,1.085,1.085,1.033214,257894.0
2015-03-08,1.0684,1.0684,1.0684,1.0684,1.017407,0.0
2015-03-09,1.0684,1.0684,1.0684,1.0684,1.017407,0.0
2015-03-10,1.0607,1.0607,1.0607,1.0607,1.010074,0.0
2015-03-11,1.09,1.09,1.085,1.085,1.033214,120043.0
2015-03-12,1.0607,1.0607,1.0607,1.0607,1.010074,0.0
2015-03-15,1.09,1.095,1.08,1.085,1.04022,189459.0
2015-03-16,1.09,1.1,1.09,1.09,1.045013,258529.0
2015-03-17,1.0562,1.0562,1.0562,1.0562,1.012608,0.0
2015-03-18,1.0557,1.0557,1.0557,1.0557,1.012129,0.0
2015-03-19,1.09,1.09,1.08,1.08,1.035426,92358.0
2015-03-22,1.09,1.09,1.09,1.09,1.045013,19543.0
2015-03-23,1.09,1.1,1.075,1.1,1.0546,471193.0
2015-03-24,1.0532,1.0532,1.0532,1.0532,1.009732,0.0
2015-03-25,1.095,1.1,1.085,1.09,1.045013,266930.0
2015-03-26,1.0532,1.0532,1.0532,1.0532,1.009732,0.0
2015-03-29,1.095,1.095,1.08,1.09,1.045013,186400.0
2015-03-30,1.0357,1.0357,1.0357,1.0357,0.992954,0.0
2015-03-31,1.0516,1.0516,1.0516,1.0516,1.008198,0.0
2015-04-01,1.075,1.085,1.075,1.085,1.04022,206795.0
2015-04-07,1.085,1.085,1.0516,1.0516,1.008198,0.0
2015-04-08,1.0516,1.0516,1.0516,1.0516,1.008198,0.0
2015-04-09,1.0516,1.0516,1.0516,1.0516,1.008198,0.0
2015-04-10,1.08,1.095,1.08,1.095,1.049807,226390.0
2015-04-13,1.0341,1.0341,1.0341,1.0341,0.99142,0.0
2015-04-14,1.08,1.08,1.08,1.08,1.035426,4000.0
2015-04-15,1.085,1.09,1.08,1.08,1.035426,98185.0
2015-04-16,1.0304,1.0304,1.0304,1.0304,0.987873,0.0
2015-04-17,1.0304,1.0304,1.0304,1.0304,0.987873,0.0
2015-04-20,1.08,1.09,1.075,1.09,1.045013,109259.0
2015-04-21,1.08,1.09,1.075,1.075,1.030632,91764.0
2015-04-22,1.0304,1.0304,1.0304,1.0304,0.987873,0.0
2015-04-23,1.07,1.08,1.07,1.08,1.035426,35000.0
2015-04-24,1.08,1.09,1.065,1.09,1.045013,172026.0
2015-04-27,1.09,1.09,1.08,1.09,1.045013,34911.0
2015-04-28,1.08,1.09,1.08,1.085,1.04022,110850.0
2015-04-29,1.085,1.09,1.08,1.08,1.035426,118704.0
2015-04-30,1.0356,1.0356,1.0356,1.0356,0.992858,0.0
2015-05-01,1.08,1.095,1.06,1.07,1.025839,279396.0
2015-05-04,1.0296,1.0296,1.0296,1.0296,0.987106,0.0
2015-05-05,1.0296,1.0296,1.0296,1.0296,0.987106,0.0
2015-05-06,1.0290000000000001,1.0290000000000001,1.0290000000000001,1.0290000000000001,0.986531,0.0
2015-05-07,1.07,1.09,1.065,1.065,1.021045,259882.0
2015-05-08,1.065,1.08,1.06,1.08,1.035426,74088.0
2015-05-11,1.0339,1.0339,1.0339,1.0339,0.991229,0.0
2015-05-12,1.085,1.085,1.07,1.07,1.025839,244110.0
2015-05-13,1.0339,1.0339,1.0339,1.0339,0.991229,0.0
2015-05-14,1.075,1.075,1.05,1.05,1.006664,52468.0
2015-05-15,1.0339,1.0339,1.0339,1.0339,0.991229,0.0
2015-05-18,1.0339,1.0339,1.0339,1.0339,0.991229,0.0
2015-05-19,1.0339,1.0339,1.0339,1.0339,0.991229,0.0
2015-05-20,1.0339,1.0339,1.0339,1.0339,0.991229,0.0
2015-05-21,1.06,1.065,1.05,1.065,1.021045,265425.0
2015-05-22,1.065,1.065,1.04,1.05,1.006664,165263.0
2015-05-25,1.0246,1.0246,1.0246,1.0246,0.982312,0.0
2015-05-26,1.0246,1.0246,1.0246,1.0246,0.982312,0.0
2015-05-27,1.065,1.065,1.05,1.05,1.006664,168046.0
2015-05-28,1.065,1.065,1.05,1.065,1.021045,310642.0
2015-05-29,1.07,1.07,1.07,1.07,1.025839,119654.0
2015-06-01,1.0437,1.07,1.0437,1.05,1.006664,24636.0
2015-06-02,1.0215,1.0215,1.0215,1.0215,0.97934,0.0
2015-06-03,1.0215,1.0215,1.0215,1.0215,0.97934,0.0
2015-06-04,1.065,1.075,1.045,1.06,1.016251,300021.0
2015-06-05,1.06,1.065,1.045,1.05,1.006664,128838.0
2015-06-09,1.05,1.05,1.0205,1.0205,0.978381,0.0
2015-06-10,1.045,1.06,1.045,1.05,1.006664,188090.0
2015-06-11,1.065,1.07,1.05,1.065,1.021045,262961.0
2015-06-12,1.0395,1.0395,1.0395,1.0395,0.996597,0.0
2015-06-15,1.0395,1.0395,1.0395,1.0395,0.996597,0.0
2015-06-16,1.0395,1.0395,1.0395,1.0395,0.996597,0.0
2015-06-17,1.0375,1.0375,1.0375,1.0375,0.99468,0.0
