Date,Open,High,Low,Close,Adj Close,Volume
2007-12-23,0.10667,0.10667,0.10667,0.10667,0.10667,13125.0
2007-12-26,0.12267,0.12267,0.08,0.08,0.08,0.0
2007-12-27,0.12267,0.12267,0.07467,0.07467,0.07467,0.0
2007-12-30,0.10667,0.10667,0.07733,0.07733,0.07733,0.0
2008-01-01,0.10667,0.10667,0.07733,0.07733,0.07733,0.0
2008-01-02,0.10667,0.10667,0.07733,0.07733,0.07733,0.0
2008-01-03,0.10667,0.10667,0.07733,0.07733,0.07733,0.0
2008-01-06,0.09333,0.09333,0.07200000000000001,0.07200000000000001,0.07200000000000001,0.0
2008-01-07,0.09333,0.09333,0.07200000000000001,0.07200000000000001,0.07200000000000001,0.0
2008-01-08,0.09333,0.09333,0.07200000000000001,0.07200000000000001,0.07200000000000001,0.0
2008-01-09,0.09333,0.09333,0.07200000000000001,0.07200000000000001,0.07200000000000001,0.0
2008-01-10,0.07200000000000001,0.07467,0.07200000000000001,0.07467,0.07467,44250.0
2008-01-13,0.10667,0.10667,0.07467,0.07467,0.07467,0.0
2008-01-14,0.10667,0.10667,0.07467,0.07467,0.07467,0.0
2008-01-15,0.07467,0.07467,0.07467,0.07467,0.07467,82500.0
2008-01-16,0.104,0.104,0.07467,0.07467,0.07467,0.0
2008-01-17,0.07467,0.07467,0.048,0.056,0.056,71822.0
2008-01-20,0.08,0.08,0.08,0.08,0.08,83822.0
2008-01-21,0.08,0.08,0.08,0.08,0.08,28678.0
2008-01-22,0.104,0.104,0.056,0.056,0.056,0.0
2008-01-23,0.104,0.104,0.08,0.08,0.08,0.0
2008-01-24,0.09333,0.09333,0.08,0.08,0.08,0.0
2008-01-28,0.09333,0.09333,0.08,0.08,0.08,0.0
2008-01-29,0.08,0.09333,0.08,0.08,0.08,28875.0
2008-01-30,0.06667000000000001,0.06667000000000001,0.06667000000000001,0.06667000000000001,0.06667000000000001,6947.0
2008-01-31,,,,,,
2008-02-03,0.09067,0.09067,0.06932999999999999,0.06932999999999999,0.06932999999999999,0.0
2008-02-04,,,,,,
2008-02-05,0.06932999999999999,0.06932999999999999,0.06932999999999999,0.06932999999999999,0.06932999999999999,48750.0
2008-02-06,0.08800000000000001,0.08800000000000001,0.06932999999999999,0.06932999999999999,0.06932999999999999,0.0
2008-02-07,,,,,,
