Date,Open,High,Low,Close,Adj Close,Volume
2016-01-14,0.31,0.32,0.295,0.3,0.3,1566472
2016-01-17,0.31,0.325,0.3,0.305,0.305,696891
2016-01-18,0.32,0.325,0.32,0.325,0.325,136326
2016-01-19,0.335,0.38,0.335,0.36,0.36,466310
2016-01-20,0.38,0.48,0.365,0.46,0.46,1344554
2016-01-21,0.46,0.46,0.355,0.355,0.355,754166
2016-01-24,0.36,0.395,0.35,0.395,0.395,470485
2016-01-26,0.395,0.52,0.395,0.43,0.43,1345607
2016-01-27,0.445,0.445,0.425,0.425,0.425,318678
2016-01-28,0.43,0.43,0.4,0.4,0.4,207610
2016-01-31,0.415,0.415,0.38,0.38,0.38,332999
2016-02-01,0.38,0.42,0.38,0.42,0.42,205415
2016-02-02,0.415,0.42,0.4,0.4,0.4,8533
2016-02-03,0.4,0.44,0.4,0.42,0.42,122500
2016-02-04,0.425,0.425,0.42,0.42,0.42,139844
2016-02-07,0.425,0.425,0.425,0.425,0.425,28500
2016-02-08,0.425,0.425,0.39,0.4,0.4,215500
2016-02-09,0.415,0.415,0.4,0.4,0.4,20458
2016-02-10,0.39,0.395,0.38,0.395,0.395,266444
2016-02-11,0.38,0.39,0.38,0.38,0.38,89720
2016-02-14,0.39,0.39,0.38,0.38,0.38,106882
2016-02-15,0.375,0.375,0.335,0.335,0.335,267103
2016-02-16,0.34,0.34,0.335,0.335,0.335,102396
2016-02-17,0.33,0.33,0.295,0.31,0.31,227579
2016-02-18,0.3,0.3,0.285,0.285,0.285,151250
2016-02-21,0.275,0.275,0.245,0.255,0.255,260466
2016-02-22,0.265,0.29,0.265,0.29,0.29,24050
2016-02-23,0.305,0.305,0.3,0.3,0.3,40106
2016-02-24,0.3,0.3,0.3,0.3,0.3,0
2016-02-25,0.285,0.29,0.285,0.285,0.285,29750
2016-02-28,0.285,0.295,0.28,0.28,0.28,72774
2016-02-29,0.28,0.28,0.28,0.28,0.28,0
2016-03-01,0.29,0.295,0.29,0.295,0.295,50000
2016-03-02,0.29,0.29,0.285,0.285,0.285,80000
2016-03-03,0.28,0.28,0.265,0.27,0.27,56000
2016-03-06,0.27,0.27,0.27,0.27,0.27,41037
2016-03-07,0.265,0.265,0.25,0.25,0.25,144000
2016-03-08,0.25,0.25,0.25,0.25,0.25,37920
2016-03-09,0.245,0.25,0.24,0.24,0.24,37530
2016-03-10,0.24,0.24,0.23,0.24,0.24,101605
2016-03-13,0.285,0.305,0.27,0.28,0.28,206618
2016-03-14,0.28,0.29,0.28,0.28,0.28,170351
2016-03-15,0.27,0.27,0.27,0.27,0.27,37000
2016-03-16,0.265,0.265,0.265,0.265,0.265,71
2016-03-17,0.265,0.265,0.265,0.265,0.265,0
2016-03-20,0.265,0.265,0.26,0.26,0.26,9529
2016-03-21,0.26,0.26,0.26,0.26,0.26,0
2016-03-22,0.26,0.26,0.26,0.26,0.26,0
2016-03-23,0.26,0.26,0.26,0.26,0.26,0
2016-03-28,0.26,0.26,0.255,0.255,0.255,27569
2016-03-29,0.255,0.255,0.255,0.255,0.255,25000
2016-03-30,0.255,0.26,0.255,0.26,0.26,11483
2016-03-31,0.26,0.26,0.26,0.26,0.26,0
2016-04-04,0.27,0.29,0.27,0.29,0.29,20400
2016-04-05,0.29,0.3,0.27,0.27,0.27,95729
2016-04-06,0.27,0.275,0.27,0.275,0.275,30000
2016-04-07,0.275,0.29,0.275,0.29,0.29,25000
2016-04-08,0.28,0.28,0.275,0.275,0.275,15000
2016-04-11,0.29,0.29,0.28,0.28,0.28,58570
2016-04-12,0.275,0.28,0.275,0.28,0.28,13518
2016-04-13,0.275,0.275,0.27,0.27,0.27,56992
2016-04-14,0.265,0.27,0.26,0.27,0.27,59217
2016-04-15,0.265,0.265,0.26,0.26,0.26,36783
2016-04-18,0.265,0.265,0.25,0.25,0.25,30000
2016-04-19,0.25,0.25,0.25,0.25,0.25,79000
2016-04-20,0.25,0.25,0.235,0.235,0.235,68773
2016-04-21,0.23,0.25,0.22,0.225,0.225,106800
2016-04-22,0.225,0.225,0.22,0.22,0.22,32444
2016-04-26,0.22,0.22,0.185,0.185,0.185,177000
2016-04-27,0.2,0.2,0.195,0.2,0.2,35000
2016-04-28,0.2,0.205,0.2,0.205,0.205,76751
2016-04-29,0.205,0.215,0.205,0.205,0.205,42100
2016-05-02,0.215,0.215,0.205,0.205,0.205,43900
2016-05-03,0.2,0.2,0.2,0.2,0.2,12500
2016-05-04,0.21,0.21,0.19,0.19,0.19,107000
2016-05-05,0.195,0.215,0.195,0.215,0.215,116532
2016-05-06,0.21,0.215,0.21,0.215,0.215,31700
2016-05-09,0.21,0.21,0.195,0.195,0.195,23000
2016-05-10,0.19,0.19,0.19,0.19,0.19,13124
2016-05-11,0.2,0.2,0.19,0.19,0.19,47529
2016-05-12,0.185,0.185,0.17,0.17,0.17,126920
2016-05-13,0.17,0.17,0.17,0.17,0.17,199
2016-05-16,0.175,0.175,0.175,0.175,0.175,9210
2016-05-17,0.175,0.175,0.175,0.175,0.175,0
2016-05-18,0.175,0.175,0.175,0.175,0.175,0
2016-05-19,0.175,0.175,0.175,0.175,0.175,0
2016-05-20,0.19,0.19,0.19,0.19,0.19,5200
2016-05-23,0.19,0.2,0.19,0.2,0.2,132144
2016-05-24,0.2,0.22,0.2,0.215,0.215,99026
2016-05-25,0.22,0.22,0.215,0.22,0.22,48454
2016-05-26,0.22,0.25,0.22,0.24,0.24,109920
2016-05-27,0.25,0.27,0.25,0.27,0.27,159724
2016-05-30,0.29,0.375,0.29,0.33,0.33,458986
2016-05-31,0.325,0.36,0.3,0.31,0.31,193499
2016-06-01,0.305,0.305,0.275,0.275,0.275,95383
2016-06-02,0.28,0.3,0.28,0.29,0.29,61601
2016-06-03,0.3,0.3,0.29,0.29,0.29,49449
2016-06-06,0.29,0.29,0.28,0.28,0.28,55486
2016-06-07,0.28,0.28,0.28,0.28,0.28,0
2016-06-08,0.28,0.28,0.28,0.28,0.28,8000
2016-06-09,0.285,0.285,0.27,0.285,0.285,32000
2016-06-10,0.29,0.29,0.265,0.265,0.265,53051
2016-06-14,0.265,0.265,0.265,0.265,0.265,36757
2016-06-15,0.265,0.265,0.265,0.265,0.265,0
2016-06-16,0.285,0.29,0.285,0.29,0.29,17736
2016-06-17,0.29,0.29,0.28,0.29,0.29,35000
2016-06-20,0.29,0.29,0.29,0.29,0.29,14900
2016-06-21,0.29,0.29,0.29,0.29,0.29,0
2016-06-22,0.29,0.29,0.29,0.29,0.29,0
2016-06-23,0.29,0.29,0.275,0.275,0.275,10000
2016-06-24,0.26,0.26,0.24,0.24,0.24,122600
2016-06-27,0.255,0.28,0.245,0.245,0.245,24730
2016-06-28,0.25,0.25,0.24,0.24,0.24,35900
2016-06-29,0.24,0.25,0.24,0.24,0.24,21770
2016-06-30,0.245,0.255,0.245,0.25,0.25,57501
2016-07-01,0.25,0.25,0.25,0.25,0.25,0
2016-07-04,0.255,0.255,0.25,0.25,0.25,80000
2016-07-05,0.25,0.25,0.25,0.25,0.25,9000
2016-07-06,0.25,0.25,0.25,0.25,0.25,0
2016-07-07,0.25,0.25,0.245,0.245,0.245,15000
2016-07-08,0.245,0.245,0.245,0.245,0.245,5000
2016-07-11,0.25,0.25,0.22,0.23,0.23,34621
2016-07-12,0.23,0.23,0.23,0.23,0.23,4379
2016-07-13,0.23,0.3,0.23,0.275,0.275,206403
2016-07-14,0.285,0.285,0.26,0.265,0.265,21116
2016-07-15,0.265,0.265,0.265,0.265,0.265,0
2016-07-18,0.26,0.265,0.24,0.24,0.24,39281
2016-07-19,0.24,0.24,0.24,0.24,0.24,0
2016-07-20,0.24,0.26,0.235,0.26,0.26,31601
2016-07-21,0.275,0.295,0.27,0.27,0.27,96530
2016-07-22,0.27,0.27,0.26,0.27,0.27,22345
2016-07-25,0.26,0.26,0.26,0.26,0.26,4800
2016-07-26,0.26,0.26,0.25,0.25,0.25,35000
2016-07-27,0.25,0.25,0.24,0.24,0.24,21809
2016-07-28,0.24,0.24,0.24,0.24,0.24,0
2016-07-29,0.255,0.26,0.255,0.26,0.26,16500
2016-08-01,0.255,0.255,0.24,0.24,0.24,56500
2016-08-02,0.245,0.26,0.245,0.26,0.26,23719
2016-08-03,0.255,0.26,0.25,0.25,0.25,51900
2016-08-04,0.25,0.25,0.25,0.25,0.25,0
2016-08-05,0.26,0.26,0.26,0.26,0.26,14879
2016-08-08,0.26,0.26,0.25,0.25,0.25,44500
2016-08-09,0.26,0.275,0.26,0.275,0.275,31502
2016-08-10,0.27,0.27,0.25,0.25,0.25,46500
2016-08-11,0.255,0.27,0.255,0.27,0.27,26000
2016-08-12,0.27,0.27,0.27,0.27,0.27,0
2016-08-15,0.27,0.28,0.265,0.265,0.265,44394
2016-08-16,0.265,0.265,0.25,0.25,0.25,78845
2016-08-17,0.25,0.25,0.25,0.25,0.25,0
2016-08-18,0.255,0.255,0.25,0.25,0.25,20000
2016-08-19,0.255,0.255,0.255,0.255,0.255,5000
2016-08-22,0.255,0.255,0.255,0.255,0.255,9320
2016-08-23,0.25,0.25,0.25,0.25,0.25,50000
2016-08-24,0.25,0.25,0.23,0.235,0.235,78034
2016-08-25,0.23,0.23,0.22,0.22,0.22,59000
2016-08-26,0.23,0.23,0.23,0.23,0.23,40000
2016-08-29,0.22,0.22,0.215,0.215,0.215,21600
2016-08-30,0.21,0.215,0.21,0.21,0.21,93000
2016-08-31,0.21,0.21,0.21,0.21,0.21,0
2016-09-01,0.23,0.23,0.23,0.23,0.23,10000
2016-09-02,0.23,0.26,0.23,0.26,0.26,20170
2016-09-05,0.26,0.26,0.26,0.26,0.26,0
2016-09-06,0.26,0.26,0.26,0.26,0.26,0
2016-09-07,0.26,0.26,0.26,0.26,0.26,0
2016-09-08,0.25,0.25,0.25,0.25,0.25,1500
2016-09-09,0.25,0.25,0.25,0.25,0.25,0
