Date,Open,High,Low,Close,Adj Close,Volume
2014-10-06,3.85,4.03,3.85,4.02,3.414756,8989345.0
2014-10-07,3.95,4.02,3.91,4.0,3.397767,2265741.0
2014-10-08,4.0,4.09,3.995,4.0,3.397767,1704530.0
2014-10-09,3.98,4.01,3.94,4.01,3.406261,809605.0
2014-10-12,4.0,4.01,3.98,4.0,3.397767,781379.0
2014-10-13,4.0,4.02,4.0,4.01,3.406261,537672.0
2014-10-14,4.03,4.07,4.01,4.07,3.457228,377077.0
2014-10-15,4.08,4.1,4.02,4.06,3.4487330000000003,188349.0
2014-10-16,4.08,4.14,4.08,4.1,3.482711,757289.0
2014-10-19,4.1,4.14,4.08,4.09,3.474217,517868.0
2014-10-20,4.1,4.1,4.0,4.01,3.406261,751431.0
2014-10-21,4.05,4.14,4.05,4.1,3.482711,1000402.0
2014-10-22,4.1,4.19,4.08,4.14,3.516689,1028621.0
2014-10-23,4.15,4.2,4.14,4.18,3.5506660000000005,1413182.0
2014-10-26,4.17,4.21,4.14,4.18,3.5506660000000005,608142.0
2014-10-27,4.2,4.26,4.17,4.26,3.618622,774993.0
2014-10-28,4.25,4.44,4.2,4.27,3.627116000000001,393168.0
2014-10-29,4.25,4.25,4.16,4.16,3.5336769999999995,319916.0
2014-10-30,4.28,4.28,4.2,4.25,3.610127,632016.0
2014-11-02,4.26,4.26,4.21,4.25,3.610127,278194.0
2014-11-03,4.21,4.25,4.21,4.24,3.601633,393336.0
2014-11-04,4.24,4.26,4.23,4.26,3.618622,184868.0
2014-11-05,4.26,4.26,4.21,4.22,3.5846440000000004,1192598.0
2014-11-06,4.24,4.26,4.16,4.2,3.567655,374064.0
2014-11-09,4.25,4.27,4.22,4.25,3.610127,535984.0
2014-11-10,4.25,4.255,4.19,4.22,3.5846440000000004,139772.0
2014-11-11,4.24,4.25,4.23,4.25,3.610127,507843.0
2014-11-12,4.23,4.23,4.15,4.16,3.5336769999999995,173663.0
2014-11-13,4.16,4.18,4.12,4.18,3.5506660000000005,112314.0
2014-11-16,4.19,4.2,4.12,4.19,3.559161,187029.0
2014-11-17,4.18,4.19,4.15,4.16,3.5336769999999995,740405.0
2014-11-18,4.17,4.19,4.14,4.15,3.525183,1495087.0
2014-11-19,4.15,4.21,4.15,4.21,3.576149,875304.0
2014-11-20,4.22,4.28,4.2,4.25,3.610127,204069.0
2014-11-23,4.26,4.29,4.16,4.17,3.5421720000000003,920506.0
2014-11-24,4.24,4.25,4.07,4.21,3.576149,853062.0
2014-11-25,4.22,4.25,4.21,4.21,3.576149,302435.0
2014-11-26,4.2,4.22,4.19,4.2,3.567655,306953.0
2014-11-27,4.23,4.23,4.18,4.2,3.567655,499243.0
2014-11-30,4.25,4.25,4.03,4.1,3.482711,805458.0
2014-12-01,4.12,4.24,4.12,4.21,3.576149,1117605.0
2014-12-02,4.21,4.23,4.04,4.06,3.4487330000000003,1617241.0
2014-12-03,4.15,4.15,3.75,3.8,3.227879,1758584.0
2014-12-04,3.89,3.93,3.82,3.87,3.287339,4326829.0
2014-12-07,3.95,4.01,3.91,3.99,3.389272,1028557.0
2014-12-08,4.02,4.02,3.9,3.92,3.329811,228964.0
2014-12-09,3.93,4.1,3.93,4.06,3.4487330000000003,423172.0
2014-12-10,4.0,4.06,3.96,4.02,3.414756,1190628.0
2014-12-11,4.02,4.19,4.02,4.14,3.516689,325295.0
2014-12-14,4.19,4.19,4.07,4.1,3.482711,359441.0
2014-12-15,4.08,4.17,4.0,4.1,3.482711,339452.0
2014-12-16,4.09,4.17,4.07,4.07,3.457228,270917.0
2014-12-17,4.09,4.18,4.05,4.1,3.482711,316308.0
2014-12-18,4.17,4.19,4.1,4.19,3.559161,269471.0
2014-12-21,4.19,4.19,4.08,4.19,3.559161,202282.0
2014-12-22,4.18,4.18,4.07,4.11,3.491206,84458.0
2014-12-23,4.1,4.16,4.07,4.09,3.474217,56727.0
2014-12-28,4.09,4.15,4.09,4.15,3.525183,129888.0
2014-12-29,4.17,4.18,4.1,4.1,3.482711,75409.0
2014-12-30,4.09,4.1,4.06,4.06,3.4487330000000003,38919.0
2015-01-01,4.06,4.1,4.0,4.05,3.440239,91800.0
2015-01-04,4.07,4.19,4.07,4.15,3.525183,325587.0
2015-01-05,4.13,4.17,4.12,4.15,3.525183,1171906.0
2015-01-06,4.15,4.18,4.14,4.15,3.525183,524289.0
2015-01-07,4.16,4.19,4.12,4.19,3.559161,164829.0
2015-01-08,4.19,4.19,4.12,4.16,3.5336769999999995,299337.0
2015-01-11,4.15,4.16,4.12,4.12,3.4997,151919.0
2015-01-12,4.11,4.15,4.11,4.11,3.491206,111951.0
2015-01-13,4.11,4.14,4.1,4.14,3.516689,277588.0
2015-01-14,4.12,4.15,4.1,4.1,3.482711,250359.0
2015-01-15,4.09,4.09,3.99,4.0,3.397767,286109.0
2015-01-18,4.0,4.01,3.91,3.91,3.321317,365145.0
2015-01-19,3.95,3.96,3.93,3.95,3.355295,1394863.0
2015-01-20,3.95,4.02,3.93,3.97,3.372284,1215838.0
2015-01-21,4.01,4.13,4.01,4.09,3.474217,268371.0
2015-01-22,4.1,4.16,4.1,4.14,3.516689,368851.0
2015-01-26,4.14,4.16,4.11,4.11,3.491206,529490.0
2015-01-27,4.1,4.215,4.1,4.19,3.559161,441388.0
2015-01-28,4.17,4.4,4.16,4.29,3.644105,383929.0
2015-01-29,4.29,4.38,4.26,4.37,3.71206,390655.0
2015-02-01,4.38,4.38,4.33,4.38,3.7205550000000014,191277.0
2015-02-02,4.37,4.39,4.3,4.39,3.729049,294739.0
2015-02-03,4.39,4.54,4.34,4.53,3.847971,388556.0
2015-02-04,4.55,4.58,4.51,4.52,3.839476,491205.0
2015-02-05,4.55,4.55,4.39,4.45,3.780015,725392.0
2015-02-08,4.45,4.46,4.36,4.4,3.737543,445926.0
2015-02-09,4.4,4.46,4.4,4.46,3.78851,796490.0
2015-02-10,4.48,4.49,4.39,4.4,3.737543,428034.0
2015-02-11,4.44,4.45,4.39,4.41,3.746038,672325.0
2015-02-12,4.44,4.46,4.38,4.4,3.737543,190316.0
2015-02-15,4.45,4.55,4.42,4.5,3.822488,663501.0
2015-02-16,4.48,4.5,4.42,4.44,3.771521,699983.0
2015-02-17,4.49,4.55,4.46,4.46,3.78851,471092.0
2015-02-18,4.46,4.58,4.46,4.55,3.86496,347707.0
2015-02-19,4.85,5.14,4.85,5.13,4.357636,426243.0
2015-02-22,5.18,5.65,5.18,5.41,4.595479,591267.0
2015-02-23,5.37,5.47,5.2,5.36,4.553008,573047.0
