Date,Open,High,Low,Close,Adj Close,Volume
2010-12-14,0.25,0.25,0.22,0.225,0.225,3625000.0
2010-12-15,0.22,0.24,0.22,0.225,0.225,1195600.0
2010-12-16,0.23,0.24,0.23,0.23,0.23,931200.0
2010-12-19,0.24,0.24,0.23,0.23,0.23,550902.0
2010-12-20,0.235,0.275,0.235,0.27,0.27,916364.0
2010-12-21,0.275,0.29,0.275,0.29,0.29,392136.0
2010-12-22,0.29,0.31,0.28,0.3,0.3,622500.0
2010-12-23,0.3,0.35,0.3,0.34,0.34,537080.0
2010-12-28,0.34,0.34,0.31,0.33,0.33,431433.0
2010-12-29,0.33,0.33,0.33,0.33,0.33,116571.0
2010-12-30,0.335,0.34,0.335,0.34,0.34,83000.0
2011-01-03,0.33,0.33,0.315,0.315,0.315,291000.0
2011-01-04,0.32,0.32,0.29,0.3,0.3,199876.0
2011-01-05,0.29,0.29,0.28,0.28,0.28,136200.0
2011-01-06,0.285,0.29,0.285,0.29,0.29,88000.0
2011-01-09,0.29,0.295,0.275,0.275,0.275,265175.0
2011-01-10,0.275,0.275,0.265,0.27,0.27,142200.0
2011-01-11,0.27,0.27,0.25,0.255,0.255,942436.0
2011-01-12,0.26,0.27,0.26,0.27,0.27,396939.0
2011-01-13,0.265,0.27,0.265,0.265,0.265,160000.0
2011-01-16,0.27,0.27,0.26,0.26,0.26,278000.0
2011-01-17,0.26,0.27,0.26,0.27,0.27,86000.0
2011-01-18,0.28,0.28,0.26,0.26,0.26,170622.0
2011-01-19,0.265,0.285,0.265,0.275,0.275,169088.0
2011-01-20,0.275,0.3,0.265,0.3,0.3,511176.0
2011-01-23,0.3,0.3,0.29,0.29,0.29,241776.0
2011-01-24,0.28,0.29,0.275,0.29,0.29,297227.0
2011-01-26,0.29,0.31,0.29,0.3,0.3,798836.0
2011-01-27,0.3,0.3,0.295,0.295,0.295,88100.0
2011-01-30,0.285,0.285,0.265,0.285,0.285,600000.0
2011-01-31,,,,,,
2011-02-01,0.27,0.27,0.27,0.27,0.27,58000.0
2011-02-02,0.28,0.28,0.28,0.28,0.28,58000.0
2011-02-03,,,,,,
2011-02-06,0.27,0.27,0.255,0.26,0.26,288272.0
2011-02-07,0.26,0.265,0.26,0.265,0.265,36780.0
2011-02-08,0.26,0.26,0.25,0.25,0.25,568590.0
2011-02-09,0.245,0.245,0.245,0.245,0.245,12000.0
2011-02-10,0.25,0.25,0.25,0.25,0.25,70000.0
2011-02-13,0.255,0.27,0.25,0.26,0.26,279248.0
2011-02-14,0.275,0.275,0.26,0.265,0.265,186343.0
2011-02-15,0.265,0.275,0.265,0.275,0.275,23935.0
2011-02-16,0.265,0.27,0.26,0.26,0.26,40686.0
2011-02-17,0.26,0.27,0.26,0.26,0.26,209191.0
2011-02-20,0.255,0.255,0.25,0.25,0.25,204664.0
2011-02-21,0.245,0.245,0.24,0.24,0.24,256000.0
2011-02-22,0.225,0.23,0.225,0.23,0.23,140838.0
2011-02-23,0.24,0.24,0.24,0.24,0.24,40000.0
2011-02-24,0.23,0.23,0.225,0.225,0.225,32486.0
2011-02-27,,,,,,
2011-02-28,0.235,0.235,0.235,0.235,0.235,7572.0
2011-03-01,0.225,0.23,0.225,0.225,0.225,35485.0
2011-03-02,0.22,0.22,0.2,0.22,0.22,166243.0
2011-03-03,0.23,0.23,0.205,0.23,0.23,86859.0
2011-03-06,,,,,,
2011-03-07,,,,,,
2011-03-08,,,,,,
2011-03-09,,,,,,
2011-03-10,,,,,,
2011-03-14,0.2,0.2,0.14,0.14,0.14,646154.0
2011-03-15,0.165,0.17,0.14,0.15,0.15,160375.0
2011-03-16,0.15,0.15,0.14,0.15,0.15,181000.0
2011-03-17,0.15,0.17,0.15,0.17,0.17,45000.0
2011-03-20,0.17,0.175,0.17,0.175,0.175,62158.0
2011-03-21,0.175,0.18,0.17,0.18,0.18,337503.0
2011-03-22,0.18,0.18,0.16,0.16,0.16,558064.0
2011-03-23,0.15,0.15,0.14,0.14,0.14,177174.0
2011-03-24,0.145,0.17,0.135,0.17,0.17,170478.0
2011-03-27,0.145,0.145,0.145,0.145,0.145,42304.0
2011-03-28,,,,,,
