Date,Open,High,Low,Close,Adj Close,Volume
2017-06-21,,,,,,
2017-06-22,0.51,0.53,0.49,0.53,0.53,977000.0
2017-06-23,0.52,0.52,0.49,0.5,0.5,188000.0
2017-06-26,0.5,0.5,0.5,0.5,0.5,8000.0
2017-06-27,0.52,0.52,0.52,0.52,0.52,1211.0
2017-06-28,0.52,0.52,0.52,0.52,0.52,0.0
2017-06-29,0.51,0.555,0.51,0.555,0.555,20578.0
2017-06-30,0.51,0.51,0.51,0.51,0.51,14422.0
2017-07-03,0.51,0.51,0.51,0.51,0.51,0.0
2017-07-04,0.5,0.5,0.5,0.5,0.5,1200.0
2017-07-05,0.51,0.51,0.51,0.51,0.51,30000.0
2017-07-06,0.51,0.51,0.51,0.51,0.51,0.0
2017-07-07,0.51,0.51,0.51,0.51,0.51,0.0
2017-07-10,0.5,0.5,0.5,0.5,0.5,6800.0
2017-07-11,0.5,0.5,0.5,0.5,0.5,1200.0
2017-07-12,0.5,0.5,0.5,0.5,0.5,8800.0
2017-07-13,0.5,0.5,0.5,0.5,0.5,0.0
2017-07-14,0.5,0.51,0.49,0.51,0.51,7000.0
2017-07-17,0.51,0.51,0.51,0.51,0.51,0.0
2017-07-18,0.51,0.51,0.51,0.51,0.51,0.0
2017-07-19,0.51,0.51,0.51,0.51,0.51,0.0
2017-07-20,0.51,0.51,0.51,0.51,0.51,0.0
2017-07-21,0.51,0.51,0.51,0.51,0.51,0.0
2017-07-24,0.51,0.51,0.51,0.51,0.51,0.0
2017-07-25,0.5,0.51,0.5,0.51,0.51,54500.0
2017-07-26,0.51,0.51,0.51,0.51,0.51,0.0
2017-07-27,0.5,0.5,0.5,0.5,0.5,1200.0
2017-07-28,0.5,0.5,0.5,0.5,0.5,0.0
2017-07-31,0.495,0.5,0.495,0.5,0.5,4500.0
2017-08-01,0.495,0.5,0.49,0.5,0.5,5200.0
2017-08-02,0.49,0.49,0.47,0.47,0.47,7000.0
2017-08-03,0.5,0.5,0.47,0.47,0.47,28100.0
2017-08-04,0.5,0.5,0.5,0.5,0.5,2500.0
2017-08-07,0.5,0.5,0.47,0.47,0.47,22000.0
2017-08-08,0.47,0.47,0.47,0.47,0.47,2500.0
2017-08-09,0.47,0.47,0.47,0.47,0.47,0.0
2017-08-10,0.5,0.5,0.5,0.5,0.5,8000.0
2017-08-11,0.5,0.5,0.485,0.485,0.485,3500.0
2017-08-14,0.485,0.485,0.485,0.485,0.485,0.0
2017-08-15,0.485,0.485,0.485,0.485,0.485,17500.0
2017-08-16,0.485,0.485,0.485,0.485,0.485,0.0
2017-08-17,0.485,0.485,0.485,0.485,0.485,0.0
2017-08-18,0.485,0.485,0.485,0.485,0.485,0.0
2017-08-21,0.485,0.485,0.485,0.485,0.485,0.0
2017-08-22,0.485,0.485,0.485,0.485,0.485,0.0
2017-08-23,0.485,0.485,0.485,0.485,0.485,0.0
2017-08-24,0.485,0.485,0.485,0.485,0.485,0.0
2017-08-25,0.485,0.485,0.485,0.485,0.485,0.0
2017-08-28,0.485,0.485,0.485,0.485,0.485,0.0
2017-08-29,0.47,0.47,0.47,0.47,0.47,500.0
2017-08-30,0.47,0.47,0.47,0.47,0.47,0.0
2017-08-31,0.47,0.47,0.47,0.47,0.47,0.0
2017-09-01,0.47,0.47,0.47,0.47,0.47,0.0
2017-09-04,0.47,0.47,0.47,0.47,0.47,0.0
2017-09-05,0.47,0.47,0.47,0.47,0.47,0.0
2017-09-06,0.47,0.47,0.47,0.47,0.47,0.0
2017-09-07,0.47,0.47,0.47,0.47,0.47,0.0
2017-09-08,0.47,0.47,0.47,0.47,0.47,0.0
2017-09-11,0.47,0.47,0.47,0.47,0.47,0.0
2017-09-12,,,,,,
2017-09-13,0.47,0.47,0.47,0.47,0.47,0.0
2017-09-14,0.47,0.47,0.47,0.47,0.47,0.0
2017-09-15,,,,,,
2017-09-18,,,,,,
2017-09-19,,,,,,
2017-09-20,,,,,,
2017-09-21,,,,,,
2017-09-22,,,,,,
2017-09-25,,,,,,
2017-09-26,0.47,0.47,0.47,0.47,0.47,0.0
2017-09-27,0.47,0.47,0.47,0.47,0.47,0.0
2017-09-28,0.47,0.47,0.47,0.47,0.47,0.0
2017-09-29,0.47,0.47,0.47,0.47,0.47,6000.0
2017-10-01,0.47,0.47,0.47,0.47,0.47,29073.0
2017-10-02,0.47,0.47,0.47,0.47,0.47,0.0
2017-10-03,0.46,0.46,0.46,0.46,0.46,5000.0
2017-10-04,0.47,0.53,0.47,0.53,0.53,133582.0
2017-10-05,0.47,0.51,0.47,0.51,0.51,119073.0
2017-10-08,0.51,0.51,0.51,0.51,0.51,0.0
2017-10-09,0.51,0.51,0.51,0.51,0.51,0.0
2017-10-10,0.505,0.53,0.505,0.53,0.53,20000.0
2017-10-11,0.53,0.53,0.53,0.53,0.53,0.0
2017-10-12,0.53,0.53,0.53,0.53,0.53,0.0
2017-10-15,0.53,0.53,0.53,0.53,0.53,0.0
2017-10-16,0.53,0.53,0.53,0.53,0.53,0.0
2017-10-17,0.5,0.5,0.5,0.5,0.5,1200.0
2017-10-18,0.5,0.5,0.5,0.5,0.5,0.0
2017-10-19,0.5,0.5,0.5,0.5,0.5,0.0
2017-10-22,0.5,0.5,0.5,0.5,0.5,0.0
2017-10-23,0.5,0.5,0.5,0.5,0.5,0.0
2017-10-24,0.5,0.5,0.5,0.5,0.5,0.0
2017-10-25,0.5,0.5,0.5,0.5,0.5,0.0
2017-10-26,0.5,0.5,0.5,0.5,0.5,0.0
2017-10-29,0.5,0.5,0.5,0.5,0.5,9500.0
2017-10-30,0.5,0.5,0.5,0.5,0.5,0.0
2017-10-31,0.5,0.5,0.5,0.5,0.5,0.0
2017-11-01,0.5,0.5,0.5,0.5,0.5,0.0
2017-11-02,0.5,0.5,0.5,0.5,0.5,0.0
2017-11-05,0.5,0.5,0.5,0.5,0.5,0.0
2017-11-06,0.5,0.5,0.5,0.5,0.5,0.0
2017-11-07,0.5,0.5,0.5,0.5,0.5,0.0
2017-11-08,0.5,0.5,0.5,0.5,0.5,0.0
2017-11-09,0.5,0.5,0.5,0.5,0.5,0.0
2017-11-12,0.5,0.5,0.5,0.5,0.5,0.0
2017-11-13,0.5,0.5,0.5,0.5,0.5,0.0
2017-11-14,0.5,0.5,0.5,0.5,0.5,0.0
2017-11-15,0.5,0.5,0.5,0.5,0.5,0.0
2017-11-16,0.5,0.5,0.5,0.5,0.5,0.0
2017-11-19,0.5,0.5,0.5,0.5,0.5,0.0
2017-11-20,0.5,0.5,0.5,0.5,0.5,0.0
2017-11-21,0.35,0.37,0.35,0.37,0.37,13500.0
2017-11-22,0.37,0.37,0.37,0.37,0.37,0.0
