Date,Open,High,Low,Close,Adj Close,Volume
2014-06-11,1.19,1.23,1.18,1.2,1.2,52226.0
2014-06-12,1.2,1.2,1.17,1.2,1.2,116526.0
2014-06-13,1.175,1.215,1.17,1.17,1.17,109676.0
2014-06-16,1.17,1.2,1.15,1.2,1.2,232357.0
2014-06-17,1.2,1.2,1.15,1.15,1.15,125434.0
2014-06-18,1.11,1.15,1.1,1.15,1.15,56870.0
2014-06-19,1.105,1.14,1.1,1.125,1.125,606611.0
2014-06-20,1.08,1.1,1.08,1.1,1.1,269500.0
2014-06-23,1.1,1.11,1.08,1.11,1.11,145454.0
2014-06-24,1.08,1.11,1.07,1.11,1.11,96612.0
2014-06-25,1.1,1.11,1.1,1.11,1.11,142000.0
2014-06-26,1.14,1.14,1.125,1.125,1.125,68519.0
2014-06-27,1.09,1.1,1.09,1.1,1.1,55566.0
2014-06-30,1.125,1.125,1.09,1.1,1.1,229657.0
2014-07-01,1.1,1.11,1.09,1.105,1.105,320501.0
2014-07-02,1.1,1.1,1.08,1.1,1.1,188500.0
2014-07-03,1.1,1.1,1.1,1.1,1.1,319545.0
2014-07-04,1.1,1.1,1.095,1.1,1.1,43454.0
2014-07-07,1.1,1.1,1.08,1.08,1.08,151818.0
2014-07-08,1.065,1.065,1.04,1.04,1.04,215000.0
2014-07-09,1.02,1.1,1.01,1.04,1.04,92500.0
2014-07-10,1.065,1.07,1.035,1.06,1.06,190240.0
2014-07-11,1.075,1.075,1.07,1.075,1.075,189267.0
2014-07-14,1.07,1.07,1.065,1.065,1.065,397855.0
2014-07-15,1.065,1.065,1.04,1.04,1.04,469698.0
2014-07-16,1.04,1.04,1.025,1.04,1.04,205969.0
2014-07-17,1.04,1.08,1.04,1.08,1.08,69855.0
2014-07-18,1.085,1.09,1.08,1.08,1.08,75250.0
2014-07-21,1.08,1.1,1.07,1.1,1.1,179519.0
2014-07-22,1.1,1.1,1.087,1.09,1.09,152800.0
2014-07-23,1.085,1.085,1.085,1.085,1.085,33750.0
2014-07-24,1.08,1.085,1.07,1.08,1.08,450000.0
