Date,Open,High,Low,Close,Adj Close,Volume
2015-10-18,0.22,0.22,0.16,0.17,0.17,19564908.0
2015-10-19,0.18,0.19,0.155,0.16,0.16,11534708.0
2015-10-20,0.16,0.19,0.16,0.185,0.185,9350148.0
2015-10-21,0.185,0.21,0.185,0.185,0.185,8701026.0
2015-10-22,0.195,0.2,0.18,0.19,0.19,8259830.0
2015-10-25,0.19,0.2,0.18,0.18,0.18,5476710.0
2015-10-26,0.18,0.19,0.17,0.175,0.175,5294853.0
2015-10-27,0.175,0.19,0.175,0.175,0.175,3066222.0
2015-10-28,0.175,0.195,0.175,0.175,0.175,3334240.0
2015-10-29,0.18,0.18,0.165,0.165,0.165,3563938.0
2015-11-01,0.175,0.175,0.17,0.175,0.175,1205896.0
2015-11-02,0.175,0.175,0.17,0.17,0.17,562924.0
2015-11-03,0.17,0.18,0.17,0.175,0.175,2180192.0
2015-11-04,0.17,0.17,0.16,0.17,0.17,1628573.0
2015-11-05,0.165,0.17,0.16,0.165,0.165,1000308.0
2015-11-08,0.165,0.165,0.16,0.16,0.16,42320.0
2015-11-09,0.165,0.17,0.16,0.17,0.17,409293.0
2015-11-10,0.16,0.17,0.16,0.165,0.165,893962.0
2015-11-11,0.165,0.175,0.165,0.17,0.17,725478.0
2015-11-12,0.165,0.165,0.145,0.16,0.16,3752314.0
2015-11-15,0.165,0.17,0.16,0.16,0.16,769369.0
2015-11-16,0.16,0.165,0.155,0.165,0.165,300380.0
2015-11-17,0.165,0.165,0.155,0.155,0.155,196117.0
2015-11-18,0.157,0.16,0.155,0.155,0.155,190334.0
2015-11-19,0.16,0.16,0.155,0.155,0.155,693360.0
2015-11-22,0.165,0.17,0.155,0.155,0.155,1647441.0
2015-11-23,0.16,0.165,0.155,0.16,0.16,229366.0
2015-11-24,0.16,0.17,0.16,0.16,0.16,72628.0
2015-11-25,0.165,0.165,0.15,0.155,0.155,3123315.0
2015-11-26,0.16,0.16,0.15,0.15,0.15,423450.0
2015-11-29,0.15,0.155,0.14,0.145,0.145,1053171.0
2015-11-30,0.145,0.16,0.145,0.155,0.155,905521.0
2015-12-01,0.155,0.155,0.15,0.15,0.15,153039.0
2015-12-02,0.15,0.155,0.145,0.145,0.145,463763.0
2015-12-03,0.145,0.155,0.145,0.15,0.15,237761.0
2015-12-06,0.15,0.16,0.15,0.16,0.16,342257.0
2015-12-07,0.16,0.16,0.145,0.15,0.15,759987.0
2015-12-08,0.145,0.17,0.14,0.17,0.17,812168.0
2015-12-09,0.17,0.17,0.155,0.165,0.165,749206.0
2015-12-10,0.16,0.165,0.16,0.165,0.165,322173.0
2015-12-13,0.16,0.165,0.155,0.16,0.16,358018.0
2015-12-14,0.155,0.155,0.15,0.155,0.155,57029.0
2015-12-15,0.15,0.165,0.15,0.15,0.15,579798.0
2015-12-16,0.16,0.16,0.155,0.16,0.16,36324.0
2015-12-17,0.16,0.16,0.15,0.155,0.155,437429.0
2015-12-20,0.155,0.165,0.155,0.16,0.16,151479.0
2015-12-21,0.16,0.16,0.155,0.16,0.16,337485.0
2015-12-22,0.16,0.16,0.15,0.155,0.155,671993.0
2015-12-23,0.155,0.155,0.155,0.155,0.155,18000.0
2015-12-27,0.155,0.155,0.155,0.155,0.155,0.0
2015-12-28,0.15,0.16,0.145,0.15,0.15,814832.0
2015-12-29,0.15,0.15,0.145,0.15,0.15,429170.0
2015-12-30,0.155,0.16,0.155,0.16,0.16,80000.0
2016-01-03,0.16,0.16,0.145,0.145,0.145,347112.0
2016-01-04,0.15,0.15,0.145,0.15,0.15,79817.0
2016-01-05,0.145,0.15,0.125,0.13,0.13,2904104.0
