Date,Open,High,Low,Close,Adj Close,Volume
2005-10-10,0.2,0.2,0.2,0.2,0.2,0.0
2005-10-11,0.18,0.18,0.14,0.15,0.15,2722510.0
2005-10-12,0.155,0.155,0.14,0.145,0.145,1358200.0
2005-10-13,0.145,0.155,0.145,0.15,0.15,1094000.0
2005-10-14,0.155,0.155,0.145,0.145,0.145,536137.0
2005-10-17,0.14,0.14,0.135,0.14,0.14,203000.0
2005-10-18,0.135,0.145,0.13,0.145,0.145,271711.0
2005-10-19,0.14,0.14,0.14,0.14,0.14,498889.0
2005-10-20,0.14,0.14,0.135,0.135,0.135,178304.0
2005-10-21,0.135,0.135,0.135,0.135,0.135,125000.0
2005-10-24,0.135,0.135,0.135,0.135,0.135,57839.0
2005-10-25,0.135,0.135,0.13,0.13,0.13,156110.0
2005-10-26,0.13,0.13,0.125,0.13,0.13,170000.0
2005-10-27,0.125,0.125,0.125,0.125,0.125,25000.0
2005-10-28,0.125,0.125,0.125,0.125,0.125,150000.0
2005-10-30,0.125,0.125,0.12,0.12,0.12,50000.0
2005-10-31,0.13,0.13,0.12,0.12,0.12,14000.0
2005-11-01,0.12,0.12,0.12,0.12,0.12,0.0
2005-11-02,0.12,0.12,0.12,0.12,0.12,172161.0
2005-11-03,0.12,0.12,0.12,0.12,0.12,0.0
2005-11-06,0.12,0.12,0.12,0.12,0.12,0.0
2005-11-07,0.12,0.12,0.11,0.11,0.11,117200.0
2005-11-08,0.11,0.11,0.11,0.11,0.11,124400.0
2005-11-09,0.12,0.12,0.12,0.12,0.12,30000.0
2005-11-10,0.12,0.12,0.12,0.12,0.12,20000.0
2005-11-13,0.12,0.12,0.11,0.11,0.11,283442.0
2005-11-14,0.11,0.11,0.11,0.11,0.11,0.0
2005-11-15,0.11,0.11,0.11,0.11,0.11,42227.0
2005-11-16,0.105,0.105,0.105,0.105,0.105,85000.0
2005-11-17,0.11,0.11,0.11,0.11,0.11,10000.0
2005-11-20,0.11,0.11,0.11,0.11,0.11,40000.0
2005-11-21,0.105,0.11,0.105,0.11,0.11,108000.0
2005-11-22,0.11,0.11,0.11,0.11,0.11,0.0
2005-11-23,0.11,0.11,0.105,0.105,0.105,210000.0
2005-11-24,0.11,0.12,0.11,0.12,0.12,300000.0
2005-11-27,0.11,0.12,0.11,0.12,0.12,545428.0
2005-11-28,0.12,0.12,0.12,0.12,0.12,100000.0
2005-11-29,0.12,0.12,0.12,0.12,0.12,0.0
2005-11-30,0.13,0.13,0.13,0.13,0.13,4600.0
2005-12-01,0.115,0.115,0.115,0.115,0.115,125780.0
2005-12-04,0.115,0.115,0.115,0.115,0.115,0.0
2005-12-05,0.115,0.115,0.115,0.115,0.115,100000.0
2005-12-06,0.12,0.12,0.12,0.12,0.12,200000.0
2005-12-07,0.13,0.13,0.13,0.13,0.13,226805.0
2005-12-08,0.13,0.135,0.13,0.135,0.135,100000.0
2005-12-11,0.125,0.125,0.125,0.125,0.125,100000.0
2005-12-12,0.125,0.125,0.125,0.125,0.125,0.0
2005-12-13,0.125,0.125,0.12,0.125,0.125,260000.0
2005-12-14,0.12,0.12,0.115,0.115,0.115,90000.0
2005-12-15,0.115,0.115,0.115,0.115,0.115,0.0
2005-12-18,0.115,0.115,0.115,0.115,0.115,0.0
2005-12-19,0.115,0.115,0.105,0.105,0.105,160000.0
2005-12-20,0.11,0.11,0.11,0.11,0.11,29600.0
2005-12-21,0.11,0.11,0.11,0.11,0.11,10000.0
2005-12-22,0.11,0.11,0.11,0.11,0.11,0.0
2005-12-27,0.11,0.115,0.105,0.115,0.115,169600.0
2005-12-28,0.115,0.115,0.115,0.115,0.115,0.0
2005-12-29,0.115,0.115,0.115,0.115,0.115,0.0
2006-01-02,0.115,0.115,0.115,0.115,0.115,0.0
2006-01-03,0.115,0.115,0.115,0.115,0.115,0.0
2006-01-04,0.115,0.115,0.115,0.115,0.115,131743.0
2006-01-05,0.12,0.13,0.12,0.13,0.13,148521.0
2006-01-08,0.135,0.135,0.13,0.13,0.13,41000.0
2006-01-09,0.13,0.13,0.13,0.13,0.13,133000.0
2006-01-10,0.135,0.145,0.135,0.145,0.145,200000.0
2006-01-11,0.145,0.145,0.145,0.145,0.145,0.0
2006-01-12,0.14,0.14,0.13,0.13,0.13,70000.0
2006-01-15,0.13,0.15,0.13,0.145,0.145,431966.0
2006-01-16,0.145,0.145,0.125,0.125,0.125,371795.0
2006-01-17,0.13,0.13,0.11,0.11,0.11,177427.0
2006-01-18,0.12,0.12,0.12,0.12,0.12,100373.0
2006-01-19,0.12,0.12,0.12,0.12,0.12,0.0
2006-01-22,0.12,0.12,0.11,0.11,0.11,246778.0
2006-01-23,0.11,0.12,0.11,0.11,0.11,54600.0
2006-01-24,0.12,0.12,0.12,0.12,0.12,98222.0
2006-01-26,0.125,0.125,0.125,0.125,0.125,1723.0
2006-01-29,0.125,0.125,0.125,0.125,0.125,0.0
2006-01-30,0.125,0.125,0.125,0.125,0.125,0.0
2006-01-31,0.11,0.11,0.11,0.11,0.11,20000.0
2006-02-01,0.11,0.11,0.11,0.11,0.11,32573.0
2006-02-02,0.11,0.11,0.11,0.11,0.11,0.0
2006-02-05,0.11,0.11,0.11,0.11,0.11,0.0
2006-02-06,0.11,0.11,0.11,0.11,0.11,94545.0
2006-02-07,0.11,0.11,0.105,0.105,0.105,100000.0
2006-02-08,0.11,0.11,0.11,0.11,0.11,10800.0
2006-02-09,0.105,0.105,0.105,0.105,0.105,115000.0
2006-02-12,0.105,0.105,0.105,0.105,0.105,0.0
2006-02-13,0.105,0.105,0.105,0.105,0.105,0.0
2006-02-14,0.105,0.105,0.1,0.1,0.1,83872.0
2006-02-15,0.1,0.1,0.1,0.1,0.1,50000.0
2006-02-16,0.1,0.1,0.09,0.09,0.09,277000.0
2006-02-19,0.1,0.1,0.1,0.1,0.1,100000.0
2006-02-20,0.1,0.11,0.1,0.105,0.105,100000.0
2006-02-21,0.105,0.105,0.105,0.105,0.105,0.0
2006-02-22,0.105,0.105,0.105,0.105,0.105,7500.0
2006-02-23,0.095,0.095,0.095,0.095,0.095,17000.0
2006-02-26,0.098,0.1,0.095,0.1,0.1,20500.0
2006-02-27,0.1,0.1,0.1,0.1,0.1,0.0
2006-02-28,0.095,0.1,0.095,0.1,0.1,29100.0
2006-03-01,0.093,0.093,0.092,0.092,0.092,145400.0
2006-03-02,0.092,0.092,0.092,0.092,0.092,0.0
2006-03-05,0.099,0.099,0.099,0.099,0.099,15000.0
2006-03-06,0.092,0.092,0.092,0.092,0.092,9999.0
2006-03-07,0.093,0.093,0.093,0.093,0.093,22999.0
2006-03-08,0.098,0.098,0.091,0.091,0.091,213001.0
2006-03-09,0.092,0.092,0.092,0.092,0.092,10000.0
2006-03-12,0.092,0.095,0.092,0.095,0.095,50000.0
2006-03-13,0.096,0.096,0.095,0.095,0.095,16128.0
2006-03-14,0.096,0.096,0.096,0.096,0.096,0.0
2006-03-15,0.096,0.096,0.095,0.095,0.095,60000.0
2006-03-16,0.095,0.096,0.092,0.096,0.096,130000.0
2006-03-19,0.093,0.093,0.093,0.093,0.093,83872.0
2006-03-20,0.093,0.093,0.093,0.093,0.093,49128.0
2006-03-21,0.093,0.093,0.093,0.093,0.093,0.0
2006-03-22,0.092,0.092,0.091,0.091,0.091,274872.0
2006-03-23,0.09,0.09,0.09,0.09,0.09,123000.0
2006-03-26,0.09,0.09,0.085,0.085,0.085,197128.0
2006-03-27,0.086,0.087,0.086,0.087,0.087,45000.0
2006-03-28,0.09,0.095,0.09,0.095,0.095,506000.0
2006-03-29,0.092,0.094,0.091,0.094,0.094,146000.0
2006-03-30,0.09,0.09,0.09,0.09,0.09,117500.0
2006-04-03,0.094,0.099,0.094,0.095,0.095,76298.0
2006-04-04,0.095,0.095,0.095,0.095,0.095,100000.0
2006-04-05,0.095,0.095,0.095,0.095,0.095,0.0
2006-04-06,0.098,0.1,0.098,0.1,0.1,100000.0
2006-04-07,0.105,0.115,0.105,0.11,0.11,95000.0
2006-04-10,0.11,0.11,0.11,0.11,0.11,0.0
2006-04-11,0.11,0.12,0.11,0.12,0.12,300000.0
2006-04-12,0.11,0.11,0.11,0.11,0.11,15000.0
2006-04-13,0.11,0.11,0.11,0.11,0.11,0.0
2006-04-18,0.12,0.125,0.12,0.12,0.12,21000.0
2006-04-19,0.12,0.12,0.115,0.115,0.115,51800.0
2006-04-20,0.11,0.11,0.11,0.11,0.11,235000.0
2006-04-21,0.11,0.11,0.11,0.11,0.11,40800.0
2006-04-24,0.11,0.11,0.11,0.11,0.11,100000.0
2006-04-26,0.11,0.11,0.11,0.11,0.11,47500.0
2006-04-27,0.11,0.11,0.11,0.11,0.11,67500.0
2006-04-28,0.11,0.11,0.11,0.11,0.11,17039.0
2006-05-01,0.11,0.11,0.11,0.11,0.11,5200.0
2006-05-02,0.11,0.11,0.11,0.11,0.11,135651.0
2006-05-03,0.105,0.105,0.105,0.105,0.105,10000.0
2006-05-04,0.11,0.125,0.11,0.12,0.12,550000.0
2006-05-05,0.115,0.115,0.11,0.11,0.11,134800.0
2006-05-08,0.12,0.12,0.12,0.12,0.12,412839.0
2006-05-09,0.12,0.12,0.115,0.115,0.115,438696.0
2006-05-10,0.115,0.115,0.115,0.115,0.115,31650.0
2006-05-11,0.12,0.12,0.12,0.12,0.12,578350.0
2006-05-12,0.11,0.12,0.11,0.12,0.12,60200.0
2006-05-15,0.115,0.115,0.115,0.115,0.115,170000.0
2006-05-16,0.115,0.115,0.115,0.115,0.115,73500.0
2006-05-17,0.115,0.115,0.115,0.115,0.115,76500.0
2006-05-18,0.11,0.12,0.11,0.12,0.12,27000.0
2006-05-19,0.12,0.12,0.12,0.12,0.12,0.0
2006-05-22,0.11,0.11,0.11,0.11,0.11,80000.0
2006-05-23,0.115,0.115,0.1,0.105,0.105,132000.0
2006-05-24,0.105,0.105,0.105,0.105,0.105,0.0
2006-05-25,0.105,0.105,0.105,0.105,0.105,66000.0
2006-05-26,0.11,0.11,0.11,0.11,0.11,10000.0
2006-05-29,0.11,0.115,0.11,0.115,0.115,300000.0
2006-05-30,0.115,0.115,0.115,0.115,0.115,0.0
2006-05-31,0.115,0.115,0.115,0.115,0.115,10000.0
2006-06-01,0.105,0.105,0.1,0.1,0.1,50000.0
2006-06-02,0.1,0.1,0.1,0.1,0.1,0.0
2006-06-05,0.1,0.1,0.1,0.1,0.1,0.0
2006-06-06,0.11,0.11,0.11,0.11,0.11,65000.0
2006-06-07,0.11,0.11,0.11,0.11,0.11,0.0
2006-06-08,0.1,0.1,0.09,0.09,0.09,56500.0
2006-06-09,0.1,0.1,0.1,0.1,0.1,113500.0
2006-06-13,0.099,0.099,0.08,0.08,0.08,266500.0
2006-06-14,0.08,0.08,0.08,0.08,0.08,20000.0
2006-06-15,0.07,0.07,0.07,0.07,0.07,24999.0
2006-06-16,0.081,0.085,0.081,0.085,0.085,220000.0
2006-06-19,0.078,0.078,0.078,0.078,0.078,83000.0
