Date,Open,High,Low,Close,Adj Close,Volume
2014-03-03,1.72,1.78,1.61,1.61,1.352184,3022312
2014-03-04,1.655,1.7,1.635,1.66,1.3941780000000001,2471550
2014-03-05,1.67,1.75,1.67,1.74,1.461367,651741
2014-03-06,1.75,1.76,1.73,1.74,1.461367,2489119
2014-03-09,1.735,1.735,1.695,1.695,1.423573,2185948
2014-03-10,1.685,1.69,1.6469999999999998,1.65,1.385779,2819399
2014-03-11,1.64,1.68,1.64,1.655,1.3899780000000002,477127
2014-03-12,1.675,1.715,1.675,1.715,1.4403709999999998,780749
2014-03-13,1.7,1.79,1.7,1.75,1.469766,1057933
2014-03-16,1.77,1.77,1.73,1.75,1.469766,42704
2014-03-17,1.75,1.805,1.745,1.8,1.511759,1315910
2014-03-18,1.8,1.82,1.8,1.82,1.528556,80375
2014-03-19,1.8,1.81,1.755,1.81,1.520158,98314
2014-03-20,1.81,1.81,1.79,1.79,1.50336,71075
2014-03-23,1.79,1.79,1.745,1.755,1.473965,232933
2014-03-24,1.76,1.76,1.705,1.73,1.452968,489256
2014-03-25,1.74,1.74,1.72,1.72,1.4445700000000001,356499
2014-03-26,1.74,1.74,1.73,1.74,1.461367,217348
2014-03-27,1.74,1.74,1.675,1.675,1.406776,1258553
2014-03-30,1.7,1.705,1.66,1.66,1.3941780000000001,301285
2014-03-31,1.69,1.7,1.68,1.69,1.419374,922696
2014-04-01,1.7,1.715,1.69,1.69,1.419374,40902
2014-04-02,1.7,1.78,1.7,1.75,1.469766,112781
2014-04-03,1.76,1.795,1.75,1.785,1.499161,176589
2014-04-07,1.77,1.785,1.75,1.775,1.4907620000000001,1157864
2014-04-08,1.76,1.76,1.7,1.7,1.427773,783214
2014-04-09,1.72,1.74,1.7,1.735,1.457168,43297
2014-04-10,1.755,1.755,1.72,1.73,1.452968,1235702
2014-04-11,1.74,1.74,1.69,1.69,1.419374,1869448
2014-04-14,1.7,1.7,1.685,1.685,1.415174,401715
2014-04-15,1.7,1.7,1.665,1.67,1.402576,53240
2014-04-16,1.68,1.685,1.65,1.685,1.415174,1112646
2014-04-17,1.7,1.7,1.695,1.7,1.427773,120269
2014-04-22,1.7,1.7,1.69,1.7,1.427773,92020
2014-04-23,1.7,1.7,1.69,1.69,1.419374,543948
2014-04-24,1.69,1.745,1.685,1.7,1.427773,270962
2014-04-28,1.7,1.7,1.66,1.665,1.398377,203125
2014-04-29,1.695,1.7,1.65,1.65,1.385779,1765671
2014-04-30,1.65,1.675,1.65,1.665,1.398377,13847
2014-05-01,1.655,1.67,1.62,1.65,1.385779,393284
2014-05-02,1.67,1.745,1.67,1.745,1.465566,232810
2014-05-05,1.745,1.745,1.67,1.7,1.427773,69491
2014-05-06,1.67,1.67,1.64,1.66,1.3941780000000001,189689
2014-05-07,1.675,1.7,1.67,1.675,1.406776,315111
2014-05-08,1.68,1.68,1.665,1.675,1.406776,89425
2014-05-09,1.68,1.68,1.65,1.65,1.385779,208501
2014-05-12,1.655,1.69,1.655,1.655,1.3899780000000002,2335
