Date,Open,High,Low,Close,Adj Close,Volume
2011-06-03,3.82332,3.82332,3.82332,3.82332,3.140417,0.0
2011-06-06,4.15787,4.32036,4.13875,4.16742,3.423056,5518666.0
2011-06-07,4.14831,4.22477,3.99537,4.06228,3.336695,3688378.0
2011-06-08,4.11007,4.18654,3.9667,4.01449,3.2974410000000005,7788002.0
2011-06-09,3.9667,4.04317,3.9667,4.02405,3.3052940000000004,4845113.0
2011-06-10,4.01449,4.09096,3.99537,4.00493,3.289588,8402789.0
2011-06-14,3.89979,4.04317,3.89979,4.04317,3.3209980000000003,4865694.0
2011-06-15,4.01449,4.06228,3.95714,4.01449,3.2974410000000005,3324846.0
2011-06-16,3.91891,3.98582,3.852,3.852,3.163974,4675926.0
2011-06-17,3.852,3.89023,3.75642,3.83288,3.148269,5059457.0
2011-06-20,3.81377,3.87112,3.77553,3.80421,3.12472,11746378.0
2011-06-21,3.77553,3.86156,3.77553,3.852,3.163974,5649385.0
2011-06-22,3.86156,3.9667,3.86156,3.9667,3.258187,8115812.0
2011-06-23,3.9667,4.01449,3.93802,3.98582,3.273892,5226582.0
2011-06-24,3.98582,4.00493,3.91891,3.91891,3.2189330000000003,5421488.0
2011-06-27,3.84244,3.87112,3.84244,3.86156,3.171827,2499231.0
2011-06-28,3.83288,3.87112,3.83288,3.84244,3.1561220000000003,2988285.0
2011-06-29,3.83288,3.90935,3.83288,3.87112,3.179679,2645413.0
2011-06-30,3.89023,3.95714,3.87112,3.92847,3.226785,2723833.0
2011-07-01,3.88067,3.94758,3.88067,3.92847,3.226785,1805997.0
2011-07-04,3.90935,3.9667,3.90935,3.9667,3.258187,1190309.0
2011-07-05,3.91891,3.95714,3.90935,3.94758,3.242482,1671418.0
2011-07-06,3.90935,3.94758,3.88067,3.88067,3.187523,1973534.0
2011-07-07,3.79465,3.90935,3.75642,3.86156,3.171827,5660768.0
2011-07-08,3.852,3.86156,3.77553,3.82332,3.140417,5564743.0
2011-07-11,3.77553,3.88067,3.77553,3.852,3.163974,2318477.0
2011-07-12,3.78509,3.87112,3.78509,3.82332,3.140417,3423236.0
2011-07-13,3.79465,3.84244,3.78509,3.82332,3.140417,3252316.0
2011-07-14,3.74686,3.80421,3.65127,3.75642,3.085466,7281645.0
2011-07-15,3.7373,3.82332,3.71818,3.78509,3.1090150000000003,3962942.0
2011-07-18,3.80421,3.81377,3.76597,3.79465,3.116868,1280883.0
2011-07-19,3.79465,3.92847,3.79465,3.88067,3.187523,3502035.0
2011-07-20,3.90935,3.90935,3.88067,3.89023,3.195376,5076565.0
2011-07-21,3.88067,3.91891,3.87112,3.89023,3.195376,2135301.0
2011-07-22,3.89023,3.91891,3.852,3.89023,3.195376,2112150.0
2011-07-25,3.91891,3.91891,3.81377,3.82332,3.140417,1435340.0
2011-07-26,3.83288,3.852,3.79465,3.80421,3.12472,1757047.0
2011-07-27,3.79465,3.82332,3.75642,3.79465,3.116868,5109353.0
2011-07-28,3.7373,3.76597,3.71818,3.72774,3.061909,1317570.0
2011-07-29,3.72774,3.88067,3.72774,3.83288,3.148269,3655993.0
2011-08-02,3.852,3.97626,3.83288,3.89023,3.195376,7043608.0
2011-08-03,3.82332,3.852,3.79465,3.79465,3.116868,6276142.0
2011-08-04,3.82332,3.852,3.81377,3.83288,3.148269,9356647.0
2011-08-05,3.81377,3.81377,3.65127,3.67039,3.014802,4169039.0
2011-08-08,3.46967,3.60348,3.46967,3.48878,2.865631,5584653.0
2011-08-09,3.31673,3.46967,3.2785,3.44099,2.826377,5854344.0
2011-08-10,3.29762,3.5079,3.29762,3.43143,2.818524,6188954.0
2011-08-11,3.31673,3.4218800000000003,3.31673,3.3932,2.787123,4553891.0
2011-08-12,3.36453,3.46011,3.36453,3.43143,2.818524,2535783.0
2011-08-15,3.41232,3.59392,3.41232,3.59392,2.951991,2847013.0
2011-08-16,3.70862,3.72774,3.58437,3.66083,3.00695,6479489.0
2011-08-17,3.68951,3.71818,3.64172,3.71818,3.054057,3455213.0
2011-08-18,3.7373,3.77553,3.64172,3.68951,3.030507,4640565.0
2011-08-19,3.51746,3.61304,3.51746,3.56525,2.928442,2649744.0
2011-08-22,3.54613,3.67039,3.43143,3.46011,2.8420810000000003,2932321.0
2011-08-23,3.56525,3.56525,3.4792300000000003,3.49834,2.873483,2859058.0
2011-08-24,3.51746,3.54613,3.43143,3.51746,2.8891880000000003,7998165.0
2011-08-25,3.59392,3.65127,3.5700300000000005,3.61304,2.967695,3523411.0
2011-08-26,3.61304,3.80421,3.57481,3.80421,3.12472,2574244.0
2011-08-29,3.80421,3.90935,3.70862,3.86156,3.171827,2629115.0
2011-08-30,3.82332,3.852,3.72774,3.7373,3.069762,2084569.0
2011-08-31,3.7373,3.81377,3.68951,3.77553,3.101163,2392998.0
2011-09-01,3.82332,3.82332,3.7373,3.81377,3.132572,2566044.0
2011-09-02,3.69907,3.75642,3.65127,3.68951,3.030507,4270426.0
2011-09-05,3.71818,3.72774,3.55569,3.61304,2.967695,2006787.0
2011-09-06,3.45055,3.59392,3.44099,3.56525,2.928442,3615625.0
2011-09-07,3.52702,3.64172,3.52702,3.63216,2.983401,2544754.0
2011-09-08,3.70862,3.71818,3.52702,3.56525,2.928442,2344511.0
2011-09-09,3.54613,3.60348,3.53657,3.57481,2.936294,2231570.0
2011-09-12,3.46967,3.52702,3.46967,3.49834,2.873483,1514357.0
2011-09-13,3.4792300000000003,3.5079,3.46967,3.46967,2.849934,1963343.0
2011-09-14,3.46011,3.46967,3.32629,3.34541,2.747869,3533120.0
2011-09-15,3.40276,3.5079,3.38364,3.4218800000000003,2.81068,2895585.0
2011-09-16,3.60348,3.68951,3.54613,3.60348,2.959844,2211436.0
2011-09-19,3.5079,3.56525,3.49834,3.52702,2.897041,1181333.0
2011-09-20,3.52702,3.52702,3.45055,3.45055,2.834229,1628801.0
2011-09-21,3.53657,3.6226,3.46967,3.60348,2.959844,2368676.0
2011-09-22,3.46967,3.52702,3.44099,3.4792300000000003,2.857786,2464235.0
2011-09-23,3.52702,3.52702,3.3932,3.51746,2.8891880000000003,1653540.0
2011-09-26,3.53657,3.55569,3.45055,3.46011,2.8420810000000003,1510118.0
2011-09-27,3.4792300000000003,3.54613,3.46967,3.49834,2.873483,1564090.0
2011-09-28,3.49834,3.55569,3.48878,3.52702,2.897041,2836040.0
2011-09-29,3.45055,3.49834,3.40276,3.44099,2.826377,1137448.0
2011-09-30,3.48878,3.5079,3.43143,3.48878,2.865631,3542667.0
2011-10-03,3.41232,3.48878,3.28806,3.46967,2.849934,4723765.0
2011-10-04,3.48878,3.48878,3.32629,3.38364,2.779271,3580121.0
2011-10-05,3.38364,3.44099,3.37408,3.40276,2.794975,1801288.0
2011-10-06,3.44099,3.4792300000000003,3.40276,3.45055,2.834229,2720083.0
2011-10-09,3.45055,3.5079,3.44099,3.46967,2.849934,1054095.0
2011-10-10,3.45055,3.51746,3.45055,3.48878,2.865631,3414570.0
2011-10-11,3.46967,3.54613,3.46967,3.53657,2.904885,1794956.0
2011-10-12,3.55569,3.71818,3.54613,3.61304,2.967695,2826263.0
2011-10-13,3.56525,3.61304,3.55569,3.58437,2.944147,1742627.0
