Date,Open,High,Low,Close,Adj Close,Volume
2008-06-11,2.4,2.4,2.4,2.4,2.4,0.0
2008-06-12,2.4,2.4,2.28,2.4,2.4,14640.0
2008-06-13,,,,,,
2008-06-16,2.4,2.4,2.16,2.16,2.16,3800.0
2008-06-17,2.16,2.16,2.16,2.16,2.16,447.0
2008-06-18,2.16,2.16,2.1,2.1,2.1,0.0
2008-06-19,2.16,2.16,1.86,2.16,2.16,11417.0
2008-06-20,2.16,2.16,2.16,2.16,2.16,0.0
2008-06-23,,,,,,
2008-06-24,1.98,1.98,1.98,1.98,1.98,4167.0
2008-06-25,,,,,,
2008-06-26,,,,,,
2008-06-27,1.98,1.98,1.98,1.98,1.98,0.0
2008-06-30,,,,,,
2008-07-01,,,,,,
2008-07-02,1.98,1.98,1.98,1.98,1.98,0.0
2008-07-03,,,,,,
2008-07-04,1.74,1.74,1.74,1.74,1.74,1500.0
2008-07-07,,,,,,
2008-07-08,1.92,1.92,1.68,1.8,1.8,5833.0
2008-07-09,2.1,2.1,1.8,1.8,1.8,0.0
2008-07-10,1.8,1.8,1.8,1.8,1.8,2250.0
2008-07-11,1.8,1.8,1.8,1.8,1.8,0.0
2008-07-14,1.8,1.8,1.8,1.8,1.8,1917.0
2008-07-15,1.8,1.8,1.68,1.68,1.68,6744.0
2008-07-16,1.68,1.68,1.68,1.68,1.68,0.0
2008-07-17,,,,,,
2008-07-18,,,,,,
2008-07-21,,,,,,
2008-07-22,1.68,1.68,1.68,1.68,1.68,0.0
2008-07-23,,,,,,
2008-07-24,1.68,1.68,1.44,1.44,1.44,0.0
2008-07-25,,,,,,
2008-07-28,,,,,,
2008-07-29,1.44,1.44,1.44,1.44,1.44,3000.0
2008-07-30,1.32,1.32,1.32,1.32,1.32,4167.0
2008-07-31,1.32,1.44,1.32,1.44,1.44,5917.0
2008-08-01,1.8,1.8,1.44,1.44,1.44,0.0
2008-08-04,1.8,1.8,1.44,1.44,1.44,0.0
2008-08-05,1.44,1.44,1.32,1.32,1.32,1250.0
2008-08-06,,,,,,
2008-08-07,1.32,1.32,1.32,1.32,1.32,0.0
2008-08-08,1.32,1.32,1.32,1.32,1.32,0.0
2008-08-11,,,,,,
2008-08-12,,,,,,
2008-08-13,,,,,,
2008-08-14,,,,,,
2008-08-15,1.32,1.32,1.32,1.32,1.32,0.0
2008-08-18,1.32,1.32,1.32,1.32,1.32,0.0
2008-08-19,1.32,1.32,1.32,1.32,1.32,0.0
2008-08-20,,,,,,
2008-08-21,1.32,1.32,1.32,1.32,1.32,0.0
2008-08-22,1.32,1.32,1.32,1.32,1.32,0.0
2008-08-25,1.32,1.32,1.32,1.32,1.32,0.0
2008-08-26,1.32,1.32,1.2,1.2,1.2,4583.0
2008-08-27,,,,,,
2008-08-28,1.2,1.2,1.2,1.2,1.2,4117.0
2008-08-29,,,,,,
2008-09-01,1.68,1.68,1.2,1.2,1.2,0.0
2008-09-02,,,,,,
2008-09-03,,,,,,
2008-09-04,1.68,1.68,1.2,1.2,1.2,0.0
2008-09-05,,,,,,
2008-09-08,1.8,1.8,1.26,1.26,1.26,0.0
2008-09-09,1.26,1.26,1.26,1.26,1.26,2917.0
2008-09-10,,,,,,
2008-09-11,,,,,,
2008-09-12,,,,,,
2008-09-15,1.8,1.8,1.26,1.26,1.26,0.0
2008-09-16,1.26,1.26,1.2,1.2,1.2,9217.0
2008-09-17,,,,,,
2008-09-18,,,,,,
2008-09-19,,,,,,
2008-09-22,,,,,,
2008-09-23,,,,,,
2008-09-24,,,,,,
2008-09-25,1.2,1.2,1.2,1.2,1.2,0.0
2008-09-26,1.2,1.2,1.2,1.2,1.2,0.0
2008-09-29,,,,,,
2008-09-30,,,,,,
2008-10-01,1.2,1.2,1.2,1.2,1.2,0.0
2008-10-02,,,,,,
2008-10-03,1.2,1.2,1.2,1.2,1.2,0.0
2008-10-05,1.2,1.2,1.2,1.2,1.2,0.0
2008-10-06,,,,,,
2008-10-07,1.2,1.2,1.2,1.2,1.2,0.0
2008-10-08,0.612,0.612,0.6,0.6,0.6,1667.0
2008-10-09,,,,,,
2008-10-12,0.6,0.6,0.6,0.6,0.6,0.0
2008-10-13,0.6,0.6,0.6,0.6,0.6,0.0
2008-10-14,0.6,0.6,0.6,0.6,0.6,0.0
2008-10-15,,,,,,
2008-10-16,0.6,0.6,0.6,0.6,0.6,0.0
2008-10-19,0.6,0.6,0.6,0.6,0.6,833.0
2008-10-20,0.6,0.6,0.6,0.6,0.6,13333.0
2008-10-21,0.78,0.78,0.6,0.6,0.6,0.0
2008-10-22,0.6,0.6,0.6,0.6,0.6,0.0
2008-10-23,0.6,0.6,0.6,0.6,0.6,0.0
2008-10-26,,,,,,
2008-10-27,,,,,,
2008-10-28,0.6,0.6,0.6,0.6,0.6,0.0
2008-10-29,,,,,,
2008-10-30,0.6,0.6,0.6,0.6,0.6,0.0
2008-11-02,0.6,0.6,0.6,0.6,0.6,0.0
2008-11-03,0.6,0.6,0.6,0.6,0.6,16527.0
2008-11-04,,,,,,
2008-11-05,0.6,0.6,0.6,0.6,0.6,0.0
2008-11-06,0.6,0.6,0.6,0.6,0.6,0.0
2008-11-09,0.6,0.6,0.6,0.6,0.6,0.0
2008-11-10,0.6,0.6,0.6,0.6,0.6,0.0
2008-11-11,0.6,0.6,0.6,0.6,0.6,0.0
2008-11-12,0.6,0.6,0.6,0.6,0.6,2492.0
2008-11-13,,,,,,
2008-11-16,,,,,,
2008-11-17,0.768,0.768,0.528,0.528,0.528,0.0
2008-11-18,0.768,0.768,0.528,0.528,0.528,0.0
2008-11-19,0.828,0.828,0.528,0.528,0.528,0.0
