Date,Open,High,Low,Close,Adj Close,Volume
2002-02-17,13.93,13.94,13.93,13.93,12.52216,40000.0
2002-02-18,13.98,13.98,13.98,13.98,12.567106,30000.0
2002-02-19,13.98,13.98,13.98,13.98,12.567106,0.0
2002-02-20,13.98,13.98,13.98,13.98,12.567106,0.0
2002-02-21,13.96,13.98,13.96,13.96,12.549129,55070.0
2002-02-24,13.97,13.97,13.97,13.97,12.558117,1068.0
2002-02-25,13.97,13.97,13.97,13.97,12.558117,0.0
2002-02-26,13.97,13.97,13.97,13.97,12.558117,0.0
2002-02-27,13.93,13.93,13.93,13.93,12.52216,15000.0
2002-02-28,13.87,13.89,13.87,13.87,12.468224,61000.0
2002-03-03,13.93,13.95,13.93,13.93,12.52216,770.0
2002-03-04,13.93,13.93,13.93,13.93,12.52216,0.0
2002-03-05,13.93,13.93,13.93,13.93,12.52216,0.0
2002-03-06,13.95,13.95,13.95,13.95,12.54014,2192.0
2002-03-07,13.92,13.97,13.92,13.92,12.51317,1112.0
2002-03-10,13.77,13.78,13.77,13.77,12.378331,442808.0
2002-03-11,13.77,13.77,13.77,13.77,12.378331,0.0
2002-03-12,13.86,13.86,13.86,13.86,12.459234,2656.0
2002-03-13,13.997,13.997,13.997,13.997,12.582389,15000.0
2002-03-14,13.87,13.88,13.87,13.87,12.468224,4700.0
2002-03-17,13.91,13.91,13.91,13.91,12.504182,1500.0
2002-03-18,13.91,13.91,13.91,13.91,12.504182,0.0
2002-03-19,13.91,13.91,13.91,13.91,12.504182,0.0
2002-03-20,13.91,13.91,13.91,13.91,12.504182,0.0
2002-03-21,13.91,13.91,13.91,13.91,12.504182,0.0
2002-03-24,13.99,13.99,13.99,13.99,12.576097,1320.0
2002-03-25,13.98,13.98,13.98,13.98,12.567106,5320.0
2002-03-26,13.98,13.98,13.98,13.98,12.567106,0.0
2002-03-27,14.2,14.2,14.2,14.2,12.764872,340.0
2002-03-28,,,,,,
2002-04-01,,,,,,
2002-04-02,14.2,14.2,14.2,14.2,12.764872,0.0
2002-04-03,14.2,14.2,14.2,14.2,12.764872,0.0
2002-04-04,14.2,14.2,14.2,14.2,12.764872,0.0
2002-04-05,14.07,14.07,14.07,14.07,12.64801,1150.0
2002-04-08,14.07,14.07,14.07,14.07,12.64801,0.0
2002-04-09,14.05,14.05,14.05,14.05,12.630033,570.0
2002-04-10,14.07,14.07,14.07,14.07,12.64801,280.0
2002-04-11,13.9,13.9,13.9,13.9,12.495193,15000.0
2002-04-12,14.04,14.04,14.04,14.04,12.621044,630.0
2002-04-15,14.04,14.04,14.04,14.04,12.621044,0.0
2002-04-16,14.18,14.18,14.16,14.18,12.746895,2630.0
2002-04-17,14.1,14.18,14.1,14.1,12.67498,2276.0
2002-04-18,14.18,14.18,14.18,14.18,12.746895,200.0
2002-04-19,14.17,14.17,14.17,14.17,12.737906,1420.0
2002-04-22,14.24,14.24,14.24,14.24,12.800831,560.0
2002-04-23,14.27,14.27,14.24,14.27,12.827798,2000.0
2002-04-24,14.3,14.3,14.29,14.3,12.854765,3625.0
2002-04-25,,,,,,
2002-04-26,14.32,14.32,14.32,14.32,12.872745,1340.0
2002-04-29,14.41,14.41,14.41,14.41,12.95365,2180.0
2002-04-30,14.27,14.27,14.27,14.27,12.827798,810.0
2002-05-01,14.32,14.32,14.32,14.32,12.872745,430.0
2002-05-02,14.44,14.44,14.44,14.44,12.980617,1000.0
2002-05-03,14.53,14.53,14.53,14.53,13.061521,10000.0
2002-05-06,14.53,14.53,14.53,14.53,13.061521,0.0
2002-05-07,14.64,14.64,14.64,14.64,13.160404000000002,200.0
2002-05-08,14.64,14.64,14.64,14.64,13.160404000000002,0.0
2002-05-09,14.49,14.57,14.49,14.49,13.025563,6900.0
2002-05-10,14.5,14.56,14.5,14.5,13.034553,2650.0
2002-05-13,14.51,14.51,14.51,14.51,13.043543,1030.0
2002-05-14,14.38,14.38,14.38,14.38,12.926682,695.0
2002-05-15,14.33,14.33,14.33,14.33,12.881735,1980.0
2002-05-16,14.33,14.33,14.33,14.33,12.881735,0.0
2002-05-17,14.44,14.46,14.44,14.44,12.980617,10400.0
2002-05-20,14.49,14.49,14.49,14.49,13.025563,675.0
2002-05-21,14.52,14.52,14.52,14.52,13.052533,350.0
2002-05-22,14.52,14.52,14.52,14.52,13.052533,0.0
2002-05-23,14.57,14.68,14.57,14.57,13.097477,3565.0
2002-05-24,14.65,14.65,14.65,14.65,13.169393,45000.0
2002-05-27,14.71,14.71,14.71,14.71,13.223329,1850.0
2002-05-28,14.71,14.72,14.71,14.71,13.223329,15846.0
