Date,Open,High,Low,Close,Adj Close,Volume
2007-11-13,0.495,0.495,0.375,0.375,0.375,7032805.0
2007-11-14,0.395,0.405,0.36,0.36,0.36,4287901.0
2007-11-15,0.365,0.365,0.345,0.35,0.35,1662676.0
2007-11-18,0.365,0.4,0.36,0.36,0.36,3695369.0
2007-11-19,0.36,0.39,0.35,0.36,0.36,1177455.0
2007-11-20,0.37,0.37,0.355,0.37,0.37,484231.0
2007-11-21,0.36,0.36,0.35,0.36,0.36,1216809.0
2007-11-22,0.37,0.385,0.36,0.37,0.37,1103934.0
2007-11-25,0.375,0.385,0.375,0.38,0.38,811339.0
2007-11-26,0.38,0.38,0.37,0.375,0.375,1833154.0
2007-11-27,0.37,0.37,0.36,0.36,0.36,373743.0
2007-11-28,0.36,0.36,0.355,0.355,0.355,56188.0
2007-11-29,0.36,0.395,0.35,0.38,0.38,627219.0
2007-12-02,0.38,0.41,0.38,0.4,0.4,988999.0
2007-12-03,0.425,0.43,0.415,0.425,0.425,1454835.0
2007-12-04,0.42,0.425,0.4,0.415,0.415,636420.0
2007-12-05,0.415,0.42,0.405,0.415,0.415,769273.0
2007-12-06,0.415,0.42,0.395,0.395,0.395,372124.0
2007-12-09,0.405,0.41,0.385,0.385,0.385,365846.0
2007-12-10,0.385,0.39,0.37,0.375,0.375,1435725.0
2007-12-11,0.375,0.375,0.365,0.375,0.375,613819.0
2007-12-12,0.38,0.395,0.375,0.385,0.385,534737.0
2007-12-13,0.38,0.4,0.38,0.39,0.39,1367333.0
2007-12-16,0.395,0.4,0.395,0.4,0.4,153115.0
2007-12-17,0.395,0.395,0.375,0.38,0.38,421412.0
2007-12-18,0.39,0.395,0.38,0.395,0.395,684617.0
2007-12-19,0.395,0.395,0.37,0.38,0.38,657674.0
2007-12-20,0.38,0.38,0.37,0.37,0.37,182688.0
2007-12-23,0.375,0.375,0.375,0.375,0.375,119570.0
2007-12-26,0.375,0.375,0.37,0.37,0.37,199856.0
2007-12-27,0.37,0.375,0.37,0.375,0.375,35500.0
2007-12-30,0.375,0.375,0.365,0.375,0.375,266533.0
2008-01-01,0.375,0.375,0.375,0.375,0.375,35000.0
2008-01-02,0.375,0.375,0.365,0.37,0.37,174706.0
2008-01-03,0.375,0.39,0.36,0.39,0.39,2324438.0
2008-01-06,0.4,0.425,0.395,0.425,0.425,1425119.0
