Adj Close,Close,Date,High,Low,Open,Volume,"description:""Encountered an error when generating the download data""}}}","error:{""code"":""Not Found""","{""chart"":{""result"":null"
5.85,5.85,2010-04-09,6.1875,5.625,6.1875,23556.0,,,
5.625,5.625,2010-04-12,5.85,5.625,5.85,11378.0,,,
5.625,5.625,2010-04-13,5.625,5.625,5.625,8889.0,,,
4.95,4.95,2010-04-14,5.625,4.95,5.625,0.0,,,
5.625,5.625,2010-04-15,5.625,5.625,5.625,5244.0,,,
5.625,5.625,2010-04-16,5.625,5.625,5.625,8889.0,,,
5.625,5.625,2010-04-19,5.625,5.625,5.625,6756.0,,,
5.625,5.625,2010-04-20,5.625,5.625,5.625,5556.0,,,
5.625,5.625,2010-04-21,5.625,5.625,5.625,5556.0,,,
5.175,5.175,2010-04-22,5.175,5.175,5.175,4444.0,,,
5.175,5.175,2010-04-23,5.175,4.95,5.175,7333.0,,,
4.725,4.725,2010-04-27,5.175,4.725,5.175,0.0,,,
4.725,4.725,2010-04-28,5.175,4.725,5.175,0.0,,,
5.625,5.625,2010-04-29,5.625,5.175,5.175,2333.0,,,
5.4,5.4,2010-04-30,5.625,5.4,5.625,15157.0,,,
5.4,5.4,2010-05-03,5.4,5.4,5.4,356.0,,,
4.725,4.725,2010-05-04,5.2875,4.725,5.2875,0.0,,,
4.5,4.5,2010-05-05,5.2875,4.5,5.2875,0.0,,,
4.5,4.5,2010-05-06,5.2875,4.5,5.2875,0.0,,,
4.05,4.05,2010-05-07,5.4,4.05,5.4,0.0,,,
3.375,3.375,2010-05-10,3.375,3.375,3.375,0.0,,,
5.4,5.4,2010-05-11,5.4,5.4,5.4,133.0,,,
3.375,3.375,2010-05-12,5.175,3.375,5.175,0.0,,,
4.5,4.5,2010-05-13,5.175,4.5,5.175,0.0,,,
4.5,4.5,2010-05-14,5.175,4.5,5.175,0.0,,,
4.5,4.5,2010-05-17,4.5,4.5,4.5,8978.0,,,
4.5,4.5,2010-05-18,4.5,4.5,4.5,1133.0,,,
3.375,3.375,2010-05-19,4.5,3.375,4.5,0.0,,,
3.6,3.6,2010-05-20,4.5,3.6,4.5,0.0,,,
3.375,3.375,2010-05-21,4.5,3.375,4.5,0.0,,,
4.725,4.725,2010-05-24,4.725,4.5,4.5,489.0,,,
3.375,3.375,2010-05-25,4.725,3.375,4.725,0.0,,,
3.375,3.375,2010-05-26,4.725,3.375,4.725,0.0,,,
3.375,3.375,2010-05-27,4.725,3.375,4.725,0.0,,,
3.375,3.375,2010-05-28,4.725,3.375,4.725,0.0,,,
3.375,3.375,2010-05-31,4.725,3.375,4.725,0.0,,,
3.4875,3.4875,2010-06-01,4.725,3.4875,4.725,0.0,,,
3.4875,3.4875,2010-06-02,4.725,3.4875,4.725,0.0,,,
3.4875,3.4875,2010-06-03,4.725,3.4875,4.725,0.0,,,
3.4875,3.4875,2010-06-04,4.725,3.4875,4.725,0.0,,,
4.05,4.05,2010-06-07,4.725,4.05,4.725,0.0,,,
4.725,4.725,2010-06-08,4.725,4.725,4.725,156.0,,,
3.375,3.375,2010-06-09,4.725,3.375,4.725,0.0,,,
3.375,3.375,2010-06-10,4.725,3.375,4.725,0.0,,,
3.375,3.375,2010-06-11,4.725,3.375,4.725,0.0,,,
3.6,3.6,2010-06-15,4.725,3.6,4.725,0.0,,,
3.375,3.375,2010-06-16,3.6,3.375,3.6,3867.0,,,
3.375,3.375,2010-06-17,3.375,3.375,3.375,356.0,,,
3.375,3.375,2010-06-18,3.375,3.375,3.375,178.0,,,
2.3625,2.3625,2010-06-21,2.475,2.3625,2.475,2000.0,,,
3.15,3.15,2010-06-22,3.15,3.15,3.15,889.0,,,
1.575,1.575,2010-06-23,2.7,1.575,2.7,32667.0,,,
1.5975,1.5975,2010-06-24,1.5975,1.5975,1.5975,489.0,,,
1.6875,1.6875,2010-06-25,1.6875,1.6875,1.6875,889.0,,,
1.845,1.845,2010-06-28,1.8675,1.8225,1.8225,1156.0,,,
,,2010-06-29,,,,,,,
2.25,2.25,2010-06-30,2.25,2.25,2.25,1822.0,,,
2.7,2.7,2010-07-01,2.7,2.475,2.475,889.0,,,
,,2010-07-02,,,,,,,
,,2010-07-05,,,,,,,
2.475,2.475,2010-07-06,3.15,2.475,3.15,1334.0,,,
,,2010-07-07,,,,,,,
,,2010-07-08,,,,,,,
,,2010-07-09,,,,,,,
,,2010-07-12,,,,,,,
,,2010-07-13,,,,,,,
,,2010-07-14,,,,,,,
,,2010-07-15,,,,,,,
,,2010-07-16,,,,,,,
2.1375,2.1375,2010-07-19,2.475,2.1375,2.475,5556.0,,,
2.1375,2.1375,2010-07-20,2.1375,2.1375,2.1375,577.0,,,
,,2010-07-21,,,,,,,
1.8,1.8,2010-07-22,1.8,1.8,1.8,356.0,,,
,,2010-07-23,,,,,,,
1.8,1.8,2010-07-26,1.8,1.8,1.8,979.0,,,
,,2010-07-27,,,,,,,
,,2010-07-28,,,,,,,
1.575,1.575,2010-07-29,1.8,1.575,1.8,6667.0,,,
1.8,1.8,2010-07-30,2.025,1.8,1.8,4889.0,,,
,,2010-08-02,,,,,,,
1.8,1.8,2010-08-03,1.8,1.8,1.8,2711.0,,,
1.62,1.62,2010-08-04,1.62,1.62,1.62,1111.0,,,
,,2010-08-05,,,,,,,
1.62,1.62,2010-08-06,1.62,1.62,1.62,667.0,,,
1.8,1.8,2010-08-09,1.8,1.6875,1.6875,2667.0,,,
1.575,1.575,2010-08-10,1.6875,1.575,1.6875,621.0,,,
1.575,1.575,2010-08-11,1.575,1.575,1.575,1778.0,,,
,,2010-08-12,,,,,,,
,,2010-08-13,,,,,,,
,,2010-08-16,,,,,,,
1.2375,1.2375,2010-08-17,1.35,1.2375,1.35,2758.0,,,
1.125,1.125,2010-08-18,1.26,1.125,1.26,9333.0,,,
1.215,1.215,2010-08-19,1.35,1.125,1.1475,12444.0,,,
1.35,1.35,2010-08-20,1.35,1.2375,1.2375,2444.0,,,
,,2010-08-23,,,,,,,
1.4175,1.4175,2010-08-24,1.4175,1.4175,1.4175,356.0,,,
1.4175,1.4175,2010-08-25,1.4175,1.4175,1.4175,356.0,,,
1.575,1.575,2010-08-26,1.575,1.575,1.575,1333.0,,,
1.5525,1.5525,2010-08-27,1.5525,1.5525,1.5525,8889.0,,,
1.575,1.575,2010-08-30,1.575,1.5525,1.5525,4222.0,,,
1.9125,1.9125,2010-08-31,1.9125,1.8,1.8225,3488.0,,,
1.8,1.8,2010-09-01,1.8,1.8,1.8,3022.0,,,
1.35,1.35,2010-09-02,1.395,1.35,1.395,8889.0,,,
0.675,0.675,2010-09-03,1.5075,0.675,1.5075,2444.0,,,
,,2010-09-06,,,,,,,
1.2825,1.2825,2010-09-07,1.2825,1.2375,1.2375,2756.0,,,
1.26,1.26,2010-09-08,1.26,1.26,1.26,889.0,,,
1.26,1.26,2010-09-09,1.26,1.26,1.26,2178.0,,,
1.305,1.305,2010-09-10,1.305,1.305,1.305,2000.0,,,
,,2010-09-13,,,,,,,
,,2010-09-14,,,,,,,
1.2375,1.2375,2010-09-15,1.305,1.2375,1.305,5556.0,,,
,,2010-09-16,,,,,,,
,,2010-09-17,,,,,,,
,,2010-09-20,,,,,,,
,,2010-09-21,,,,,,,
1.26,1.26,2010-09-22,1.26,1.26,1.26,444.0,,,
,,2010-09-23,,,,,,,
,,2010-09-24,,,,,,,
1.2375,1.2375,2010-09-27,1.26,1.2375,1.26,889.0,,,
,,2010-09-28,,,,,,,
1.395,1.395,2010-09-29,1.395,1.395,1.395,4444.0,,,
,,2010-09-30,,,,,,,
1.35,1.35,2010-10-01,1.35,1.35,1.35,2667.0,,,
1.305,1.305,2010-10-03,1.35,1.305,1.35,4444.0,,,
,,2010-10-04,,,,,,,
,,2010-10-05,,,,,,,
1.305,1.305,2010-10-06,1.305,1.305,1.305,356.0,,,
1.395,1.395,2010-10-07,1.395,1.395,1.395,4444.0,,,
1.3725,1.3725,2010-10-10,1.3725,1.3725,1.3725,356.0,,,
1.35,1.35,2010-10-11,1.395,1.35,1.395,5044.0,,,
1.35,1.35,2010-10-12,1.35,1.35,1.35,4444.0,,,
1.3725,1.3725,2010-10-13,1.3725,1.3725,1.3725,4444.0,,,
1.3725,1.3725,2010-10-14,1.4175,1.3725,1.3725,7089.0,,,
1.3725,1.3725,2010-10-17,1.3725,1.3725,1.3725,1267.0,,,
1.3725,1.3725,2010-10-18,1.3725,1.3725,1.3725,889.0,,,
1.3725,1.3725,2010-10-19,1.3725,1.3725,1.3725,956.0,,,
1.35,1.35,2010-10-20,1.35,1.35,1.35,3333.0,,,
,,2010-10-21,,,,,,,
2.025,2.025,2010-10-24,2.1375,1.35,1.35,15890.0,,,
2.025,2.025,2010-10-25,2.025,2.025,2.025,458.0,,,
1.8,1.8,2010-10-26,1.8,1.8,1.8,11177.0,,,
1.6875,1.6875,2010-10-27,1.6875,1.6875,1.6875,4044.0,,,
,,2010-10-28,,,,,,,
,,2010-10-31,,,,,,,
,,2010-11-01,,,,,,,
1.8,1.8,2010-11-02,1.8,1.8,1.8,2444.0,,,
,,2010-11-03,,,,,,,
1.9125,1.9125,2010-11-04,1.9125,1.9125,1.9125,1067.0,,,
2.0475,2.0475,2010-11-07,2.0475,2.0475,2.0475,4222.0,,,
1.9125,1.9125,2010-11-08,2.0475,1.9125,2.0475,5230.0,,,
,,2010-11-09,,,,,,,
1.4625,1.4625,2010-11-10,1.4625,1.4625,1.4625,2756.0,,,
1.53,1.53,2010-11-11,1.53,1.53,1.53,1422.0,,,
,,2010-11-14,,,,,,,
,,2010-11-15,,,,,,,
1.53,1.53,2010-11-16,1.53,1.53,1.53,400.0,,,
,,2010-11-17,,,,,,,
1.53,1.53,2010-11-18,1.6875,1.53,1.6875,11738.0,,,
,,2010-11-21,,,,,,,
1.8,1.8,2010-11-22,1.8,1.755,1.755,2222.0,,,
,,2010-11-23,,,,,,,
,,2010-11-24,,,,,,,
,,2010-11-25,,,,,,,
1.8,1.8,2010-11-28,1.8,1.8,1.8,3556.0,,,
,,2010-11-29,,,,,,,
,,2010-11-30,,,,,,,
,,2010-12-01,,,,,,,
,,2010-12-02,,,,,,,
,,2010-12-05,,,,,,,
1.7325,1.7325,2010-12-06,1.8,1.7325,1.8,3556.0,,,
,,2010-12-07,,,,,,,
,,2010-12-08,,,,,,,
,,2010-12-09,,,,,,,
,,2010-12-12,,,,,,,
,,2010-12-13,,,,,,,
,,2010-12-14,,,,,,,
,,2010-12-15,,,,,,,
,,2010-12-16,,,,,,,
,,2010-12-19,,,,,,,
,,2010-12-20,,,,,,,
,,2010-12-21,,,,,,,
1.6875,1.6875,2010-12-22,1.7325,1.6875,1.7325,2644.0,,,
1.6875,1.6875,2010-12-23,1.6875,1.6875,1.6875,1800.0,,,
,,2010-12-28,,,,,,,
,,2010-12-29,,,,,,,
,,2010-12-30,,,,,,,
,,2011-01-03,,,,,,,
,,2011-01-04,,,,,,,
1.8,1.8,2011-01-05,1.8,1.8,1.8,889.0,,,
,,2011-01-06,,,,,,,
,,2011-01-09,,,,,,,
,,2011-01-10,,,,,,,
,,2011-01-11,,,,,,,
1.8,1.8,2011-01-12,1.8,1.8,1.8,356.0,,,
,,2011-01-13,,,,,,,
,,2011-01-16,,,,,,,
,,2011-01-17,,,,,,,
,,2011-01-18,,,,,,,
,,2011-01-19,,,,,,,
,,2011-01-20,,,,,,,
,,2011-01-23,,,,,,,
,,2011-01-24,,,,,,,
,,2011-01-26,,,,,,,
,,2011-01-27,,,,,,,
,,2011-01-30,,,,,,,
,,2011-01-31,,,,,,,
,,2011-02-01,,,,,,,
,,2011-02-02,,,,,,,
,,2011-02-03,,,,,,,
,,2011-02-06,,,,,,,
,,2011-02-07,,,,,,,
,,2011-02-08,,,,,,,
1.71,1.71,2011-02-09,1.71,1.71,1.71,889.0,,,
,,2011-02-10,,,,,,,
,,2011-02-13,,,,,,,
,,2011-02-14,,,,,,,
,,2011-02-15,,,,,,,
,,2011-02-16,,,,,,,
1.575,1.575,2011-02-17,1.71,1.575,1.71,4444.0,,,
,,2011-02-20,,,,,,,
,,2011-02-21,,,,,,,
1.8,1.8,2011-02-22,1.8,1.8,1.8,1778.0,,,
,,2011-02-23,,,,,,,
,,2011-02-24,,,,,,,
,,2011-02-27,,,,,,,
,,2011-02-28,,,,,,,
1.8675,1.8675,2011-03-01,1.8675,1.8675,1.8675,889.0,,,
1.5975,1.5975,2011-03-02,1.5975,1.5975,1.5975,356.0,,,
1.5975,1.5975,2011-03-03,1.62,1.5975,1.62,889.0,,,
,,2011-03-06,,,,,,,
,,2011-03-07,,,,,,,
1.5975,1.5975,2011-03-08,1.5975,1.5975,1.5975,1778.0,,,
,,2011-03-09,,,,,,,
,,2011-03-10,,,,,,,
1.5975,1.5975,2011-03-14,1.5975,1.5975,1.5975,1778.0,,,
1.575,1.575,2011-03-15,1.575,1.575,1.575,1778.0,,,
1.575,1.575,2011-03-16,1.575,1.575,1.575,889.0,,,
1.575,1.575,2011-03-17,1.6875,1.575,1.6875,1422.0,,,
,,2011-03-20,,,,,,,
1.2375,1.2375,2011-03-21,1.2375,1.2375,1.2375,356.0,,,
1.2375,1.2375,2011-03-22,1.2375,1.2375,1.2375,1333.0,,,
,,2011-03-23,,,,,,,
,,2011-03-24,,,,,,,
,,2011-03-27,,,,,,,
,,2011-03-28,,,,,,,
1.125,1.125,2011-03-29,1.2375,1.125,1.2375,3111.0,,,
,,2011-03-30,,,,,,,
,,2011-03-31,,,,,,,
1.08,1.08,2011-04-04,1.125,1.08,1.125,978.0,,,
,,2011-04-05,,,,,,,
,,2011-04-06,,,,,,,
1.08,1.08,2011-04-07,1.08,1.08,1.08,889.0,,,
,,2011-04-08,,,,,,,
