Date,Open,High,Low,Close,Adj Close,Volume
2016-05-03,1.54,1.545,1.47,1.5,1.372585,4425755.0
2016-05-04,1.54,1.57,1.53,1.54,1.4091870000000002,3010613.0
2016-05-05,1.545,1.55,1.525,1.525,1.395461,807078.0
2016-05-06,1.53,1.54,1.51,1.54,1.4091870000000002,625454.0
2016-05-09,1.53,1.53,1.51,1.52,1.390886,165814.0
2016-05-10,1.505,1.55,1.5,1.54,1.4091870000000002,2078987.0
2016-05-11,1.52,1.535,1.52,1.52,1.390886,233108.0
2016-05-12,1.53,1.53,1.51,1.51,1.381736,206233.0
2016-05-13,1.525,1.54,1.515,1.52,1.390886,64904.0
2016-05-16,1.53,1.53,1.5,1.52,1.390886,394791.0
2016-05-17,1.51,1.51,1.495,1.5,1.372585,133879.0
2016-05-18,1.5,1.52,1.47,1.51,1.381736,702794.0
2016-05-19,1.485,1.51,1.48,1.5,1.372585,562072.0
2016-05-20,1.49,1.52,1.49,1.505,1.37716,187178.0
2016-05-23,1.515,1.53,1.515,1.525,1.395461,109059.0
2016-05-24,1.52,1.54,1.52,1.54,1.4091870000000002,166647.0
2016-05-25,1.54,1.56,1.54,1.56,1.4274879999999999,133157.0
2016-05-26,1.55,1.55,1.54,1.54,1.4091870000000002,7000.0
2016-05-27,1.54,1.55,1.54,1.54,1.4091870000000002,181580.0
2016-05-30,1.545,1.58,1.545,1.56,1.4274879999999999,337588.0
2016-05-31,1.57,1.57,1.545,1.56,1.4274879999999999,52028.0
2016-06-01,1.56,1.565,1.55,1.55,1.4183379999999999,130207.0
2016-06-02,1.555,1.585,1.555,1.575,1.441214,98600.0
2016-06-03,1.58,1.63,1.57,1.59,1.45494,155618.0
2016-06-06,1.62,1.62,1.59,1.59,1.45494,105790.0
2016-06-07,1.58,1.61,1.56,1.6,1.464091,129621.0
2016-06-08,1.58,1.595,1.58,1.58,1.44579,52660.0
2016-06-09,1.6,1.615,1.58,1.6,1.464091,118844.0
2016-06-10,1.6,1.6,1.59,1.59,1.45494,41673.0
2016-06-14,1.59,1.61,1.55,1.6,1.464091,60614.0
2016-06-15,1.585,1.6,1.585,1.6,1.464091,103.0
2016-06-16,1.575,1.61,1.575,1.61,1.473241,353125.0
2016-06-17,1.615,1.615,1.6,1.6,1.464091,287073.0
2016-06-20,1.6,1.61,1.6,1.61,1.473241,21537.0
2016-06-21,1.6,1.6,1.575,1.59,1.45494,106096.0
2016-06-22,1.58,1.59,1.555,1.59,1.45494,593632.0
2016-06-23,1.575,1.59,1.57,1.59,1.45494,48803.0
2016-06-24,1.58,1.61,1.535,1.56,1.4274879999999999,87098.0
2016-06-27,1.58,1.61,1.51,1.55,1.4183379999999999,105951.0
2016-06-28,1.6,1.6,1.59,1.595,1.459515,22076.0
2016-06-29,1.595,1.595,1.55,1.575,1.441214,31082.0
2016-06-30,1.56,1.58,1.55,1.55,1.4183379999999999,13210.0
2016-07-01,1.55,1.56,1.545,1.55,1.4183379999999999,55255.0
2016-07-04,1.57,1.58,1.57,1.58,1.44579,26542.0
2016-07-05,1.605,1.61,1.515,1.6,1.464091,137016.0
2016-07-06,1.595,1.6,1.515,1.6,1.464091,2951359.0
2016-07-07,1.6,1.6,1.55,1.55,1.4183379999999999,47510.0
2016-07-08,1.565,1.59,1.535,1.58,1.44579,37744.0
2016-07-11,1.6,1.6,1.52,1.55,1.4183379999999999,31124.0
2016-07-12,1.555,1.59,1.55,1.555,1.4229129999999999,242190.0
2016-07-13,1.555,1.56,1.55,1.56,1.4274879999999999,203486.0
2016-07-14,1.56,1.59,1.55,1.56,1.4274879999999999,178550.0
2016-07-15,1.56,1.58,1.55,1.56,1.4274879999999999,161999.0
2016-07-18,1.56,1.57,1.56,1.56,1.4274879999999999,1246979.0
2016-07-19,1.54,1.54,1.54,1.54,1.4091870000000002,17630.0
2016-07-20,1.54,1.57,1.525,1.545,1.4137620000000002,72257.0
2016-07-21,1.53,1.545,1.53,1.545,1.4137620000000002,3946.0
2016-07-22,1.53,1.55,1.53,1.55,1.4183379999999999,71298.0
2016-07-25,1.55,1.555,1.51,1.54,1.4091870000000002,352287.0
2016-07-26,1.53,1.555,1.53,1.555,1.4229129999999999,38488.0
2016-07-27,1.555,1.59,1.55,1.58,1.44579,97716.0
2016-07-28,1.58,1.58,1.54,1.57,1.436639,37370.0
2016-07-29,1.55,1.58,1.53,1.53,1.400037,10300.0
2016-08-01,1.55,1.55,1.55,1.55,1.4183379999999999,8000.0
2016-08-02,1.57,1.605,1.57,1.6,1.464091,1125557.0
2016-08-03,1.58,1.59,1.57,1.585,1.450365,324623.0
2016-08-04,1.585,1.585,1.585,1.585,1.450365,0.0
2016-08-05,1.55,1.55,1.55,1.55,1.4183379999999999,35258.0
2016-08-08,1.55,1.55,1.53,1.53,1.400037,78134.0
2016-08-09,1.52,1.565,1.52,1.565,1.432064,59036.0
2016-08-10,1.525,1.535,1.525,1.535,1.404612,10269.0
2016-08-11,1.56,1.565,1.54,1.565,1.432064,28497.0
2016-08-12,1.54,1.56,1.5,1.555,1.4229129999999999,33186.0
2016-08-15,1.54,1.55,1.54,1.55,1.4183379999999999,71755.0
2016-08-16,1.54,1.565,1.53,1.555,1.4229129999999999,48894.0
2016-08-17,1.555,1.555,1.555,1.555,1.4229129999999999,0.0
2016-08-18,1.655,1.68,1.62,1.63,1.491542,277116.0
2016-08-19,1.67,1.73,1.67,1.7,1.555596,61851.0
2016-08-22,1.67,1.68,1.66,1.68,1.537295,38901.0
2016-08-23,1.665,1.665,1.665,1.665,1.523569,1269.0
2016-08-24,1.675,1.675,1.665,1.665,1.523569,31400.0
2016-08-25,1.67,1.67,1.67,1.67,1.528145,599.0
2016-08-26,1.67,1.7,1.67,1.7,1.555596,11731.0
2016-08-29,1.695,1.71,1.695,1.695,1.551021,31497.0
2016-08-30,1.69,1.695,1.69,1.695,1.551021,19419.0
2016-08-31,1.69,1.69,1.68,1.685,1.54187,51286.0
2016-09-01,1.685,1.685,1.685,1.685,1.54187,1314.0
2016-09-02,1.665,1.665,1.665,1.665,1.523569,20000.0
2016-09-05,1.68,1.68,1.665,1.68,1.537295,11079.0
2016-09-06,1.68,1.69,1.67,1.69,1.546446,111458.0
2016-09-07,1.67,1.68,1.67,1.67,1.528145,16613.0
2016-09-08,1.68,1.7,1.68,1.69,1.546446,220133.0
2016-09-09,1.66,1.68,1.65,1.66,1.518994,20093.0
2016-09-12,1.66,1.66,1.66,1.66,1.518994,8176.0
2016-09-13,1.66,1.66,1.64,1.65,1.509843,60270.0
2016-09-14,1.65,1.65,1.65,1.65,1.509843,30000.0
2016-09-15,1.65,1.65,1.65,1.65,1.509843,14855.0
2016-09-16,1.67,1.67,1.63,1.63,1.491542,13110.0
2016-09-19,1.67,1.67,1.63,1.67,1.528145,13903.0
2016-09-20,1.66,1.66,1.61,1.61,1.473241,82223.0
2016-09-21,1.61,1.61,1.61,1.61,1.473241,51299.0
2016-09-22,1.6,1.6,1.55,1.58,1.44579,48869.0
2016-09-23,1.6,1.615,1.55,1.57,1.436639,238520.0
2016-09-26,1.55,1.55,1.49,1.535,1.404612,44435.0
2016-09-27,1.5,1.5,1.47,1.475,1.349709,179267.0
2016-09-28,1.47,1.5,1.47,1.47,1.345133,42643.0
2016-09-29,1.46,1.46,1.43,1.43,1.3085309999999999,156645.0
2016-09-30,1.43,1.43,1.43,1.43,1.3085309999999999,0.0
2016-10-02,1.485,1.5,1.485,1.5,1.372585,18558.0
2016-10-03,1.5,1.515,1.5,1.515,1.386311,6318.0
2016-10-04,1.5,1.5,1.42,1.5,1.372585,18179.0
2016-10-05,1.49,1.49,1.4,1.405,1.285655,279277.0
2016-10-06,1.42,1.42,1.4,1.4,1.281079,79400.0
2016-10-09,1.43,1.43,1.4,1.4,1.281079,43466.0
2016-10-10,1.39,1.395,1.37,1.375,1.258203,44109.0
2016-10-11,1.37,1.4,1.35,1.35,1.235327,2110.0
2016-10-12,1.395,1.42,1.37,1.38,1.262778,20010.0
2016-10-13,1.38,1.44,1.38,1.435,1.3131059999999999,14609.0
2016-10-16,1.43,1.43,1.41,1.41,1.29023,2128.0
2016-10-17,1.4,1.42,1.36,1.415,1.294805,120475.0
2016-10-18,1.42,1.42,1.37,1.38,1.262778,29363.0
2016-10-19,1.435,1.44,1.435,1.44,1.317682,19019.0
2016-10-20,1.45,1.45,1.44,1.45,1.326832,14642.0
2016-10-23,1.45,1.46,1.41,1.41,1.29023,61811.0
2016-10-24,1.43,1.435,1.42,1.42,1.299381,136978.0
2016-10-25,1.435,1.44,1.4,1.4,1.281079,45483.0
2016-10-26,1.41,1.44,1.4,1.4,1.281079,10319.0
2016-10-27,1.43,1.43,1.4,1.4,1.281079,16171.0
2016-10-30,1.4,1.41,1.4,1.41,1.29023,50612.0
2016-10-31,1.41,1.41,1.4,1.4,1.281079,1932.0
2016-11-01,1.41,1.42,1.39,1.42,1.299381,265528.0
2016-11-02,1.41,1.42,1.38,1.41,1.29023,21701.0
2016-11-03,1.4,1.41,1.37,1.37,1.253628,82400.0
2016-11-06,1.39,1.4,1.37,1.4,1.281079,265608.0
2016-11-07,1.43,1.45,1.43,1.43,1.3085309999999999,118807.0
2016-11-08,1.43,1.45,1.38,1.43,1.3085309999999999,17923.0
2016-11-09,1.41,1.43,1.405,1.41,1.29023,10744.0
2016-11-10,1.41,1.41,1.37,1.37,1.253628,18642.0
2016-11-13,1.37,1.37,1.37,1.37,1.253628,20.0
2016-11-14,1.395,1.4,1.395,1.4,1.281079,19425.0
2016-11-15,1.4,1.4,1.4,1.4,1.281079,24561.0
2016-11-16,1.39,1.42,1.39,1.42,1.299381,9029.0
2016-11-17,1.395,1.395,1.395,1.395,1.276504,32620.0
2016-11-20,1.4,1.45,1.4,1.44,1.317682,13517.0
2016-11-21,1.44,1.455,1.42,1.42,1.299381,205766.0
2016-11-22,1.43,1.43,1.405,1.405,1.285655,200.0
2016-11-23,1.415,1.415,1.395,1.41,1.29023,87587.0
2016-11-24,1.4,1.44,1.4,1.44,1.317682,62539.0
2016-11-27,1.44,1.44,1.44,1.44,1.317682,0.0
2016-11-28,1.43,1.43,1.43,1.43,1.3085309999999999,3616.0
2016-11-29,1.39,1.39,1.39,1.39,1.271929,4244.0
2016-11-30,1.4,1.44,1.4,1.435,1.3131059999999999,5496.0
2016-12-01,1.44,1.44,1.425,1.44,1.317682,10484.0
2016-12-04,1.45,1.465,1.42,1.445,1.322257,105006.0
2016-12-05,1.45,1.49,1.45,1.45,1.326832,75888.0
2016-12-06,1.49,1.49,1.45,1.465,1.340558,55069.0
2016-12-07,1.5,1.52,1.485,1.49,1.363434,27337.0
2016-12-08,1.5,1.5,1.465,1.49,1.363434,56077.0
2016-12-11,1.5,1.5,1.49,1.49,1.363434,36348.0
2016-12-12,1.5,1.5,1.49,1.49,1.363434,12832.0
2016-12-13,1.47,1.495,1.47,1.495,1.36801,32149.0
2016-12-14,1.25,1.27,1.2,1.225,1.120944,1009511.0
2016-12-15,1.285,1.285,1.26,1.26,1.1529719999999999,2229058.0
2016-12-18,1.26,1.33,1.24,1.33,1.217025,812642.0
2016-12-19,1.36,1.36,1.34,1.36,1.244477,1722915.0
2016-12-20,1.365,1.4,1.36,1.36,1.244477,1357342.0
2016-12-21,1.38,1.4,1.34,1.34,1.226176,46508.0
2016-12-22,1.395,1.395,1.35,1.395,1.276504,13112.0
2016-12-27,1.395,1.43,1.35,1.4,1.281079,12743.0
2016-12-28,1.41,1.43,1.41,1.43,1.3085309999999999,10740.0
2016-12-29,1.4,1.4,1.39,1.4,1.281079,41275.0
2017-01-02,1.4,1.455,1.4,1.45,1.326832,18000.0
2017-01-03,1.435,1.44,1.39,1.39,1.271929,71361.0
2017-01-04,1.39,1.39,1.37,1.37,1.253628,11139.0
2017-01-05,1.37,1.38,1.37,1.38,1.262778,1842.0
2017-01-08,1.43,1.43,1.37,1.37,1.253628,43181.0
2017-01-09,1.35,1.37,1.3,1.3,1.189574,25092.0
2017-01-10,1.36,1.37,1.35,1.35,1.235327,36978.0
2017-01-11,1.27,1.32,1.27,1.29,1.2095420000000001,31064.0
2017-01-12,1.29,1.29,1.29,1.29,1.2095420000000001,30389.0
2017-01-15,1.29,1.32,1.29,1.32,1.237671,3124.0
2017-01-16,1.305,1.32,1.305,1.32,1.237671,968.0
2017-01-17,1.305,1.31,1.27,1.31,1.228294,24855.0
2017-01-18,1.27,1.27,1.27,1.27,1.1907889999999999,13000.0
2017-01-19,1.28,1.29,1.28,1.29,1.2095420000000001,185915.0
2017-01-22,1.29,1.29,1.27,1.27,1.1907889999999999,18024.0
2017-01-23,1.25,1.27,1.23,1.23,1.153284,49616.0
2017-01-24,1.27,1.27,1.27,1.27,1.1907889999999999,11532.0
2017-01-26,1.27,1.33,1.265,1.33,1.247047,13883.0
2017-01-29,1.33,1.33,1.28,1.28,1.200165,2080.0
2017-01-30,1.28,1.28,1.28,1.28,1.200165,0.0
2017-01-31,1.285,1.29,1.285,1.29,1.2095420000000001,548.0
2017-02-01,1.28,1.28,1.25,1.25,1.172037,6000.0
2017-02-02,1.275,1.275,1.275,1.275,1.1954770000000001,2065.0
2017-02-05,1.27,1.275,1.26,1.275,1.1954770000000001,7618.0
