Date,Open,High,Low,Close,Adj Close,Volume
2016-12-19,,,,,,
2016-12-20,0.205,0.24,0.2,0.235,0.235,3813363.0
2016-12-21,0.23,0.23,0.21,0.22,0.22,1419488.0
2016-12-22,0.22,0.235,0.22,0.225,0.225,531912.0
2016-12-27,0.225,0.225,0.22,0.225,0.225,377397.0
2016-12-28,0.22,0.225,0.22,0.22,0.22,505221.0
2016-12-29,0.225,0.225,0.215,0.215,0.215,110000.0
2017-01-02,0.215,0.225,0.215,0.22,0.22,195000.0
2017-01-03,0.22,0.22,0.22,0.22,0.22,321863.0
2017-01-04,0.225,0.225,0.22,0.22,0.22,287608.0
2017-01-05,0.22,0.225,0.22,0.225,0.225,106000.0
2017-01-08,0.225,0.23,0.225,0.23,0.23,267000.0
2017-01-09,0.23,0.23,0.23,0.23,0.23,99175.0
2017-01-10,0.225,0.23,0.22,0.23,0.23,348804.0
2017-01-11,0.23,0.23,0.22,0.22,0.22,226500.0
2017-01-12,0.22,0.22,0.22,0.22,0.22,177954.0
2017-01-15,0.22,0.22,0.22,0.22,0.22,106046.0
2017-01-16,0.225,0.225,0.22,0.225,0.225,65754.0
2017-01-17,0.225,0.225,0.225,0.225,0.225,0.0
2017-01-18,0.225,0.25,0.225,0.25,0.25,950602.0
2017-01-19,0.255,0.255,0.235,0.245,0.245,281567.0
2017-01-22,0.235,0.235,0.23,0.235,0.235,376500.0
2017-01-23,0.235,0.235,0.23,0.235,0.235,205000.0
2017-01-24,0.235,0.235,0.23,0.235,0.235,129677.0
2017-01-26,0.235,0.235,0.22,0.22,0.22,310820.0
2017-01-29,0.225,0.225,0.225,0.225,0.225,50266.0
2017-01-30,0.22,0.22,0.22,0.22,0.22,368252.0
2017-01-31,0.22,0.22,0.22,0.22,0.22,141790.0
2017-02-01,0.22,0.22,0.215,0.22,0.22,32387.0
2017-02-02,0.215,0.22,0.215,0.215,0.215,78543.0
2017-02-05,0.22,0.225,0.22,0.225,0.225,128500.0
2017-02-06,0.22,0.23,0.215,0.22,0.22,335817.0
2017-02-07,0.22,0.245,0.22,0.235,0.235,982842.0
2017-02-08,0.235,0.235,0.225,0.23,0.23,291052.0
2017-02-09,0.24,0.24,0.23,0.235,0.235,108000.0
2017-02-12,0.235,0.235,0.23,0.23,0.23,158074.0
2017-02-13,0.225,0.23,0.225,0.225,0.225,252776.0
2017-02-14,0.23,0.23,0.23,0.23,0.23,29150.0
2017-02-15,0.23,0.23,0.225,0.23,0.23,73058.0
2017-02-16,0.235,0.235,0.23,0.23,0.23,48481.0
2017-02-19,0.24,0.24,0.23,0.23,0.23,225700.0
2017-02-20,0.23,0.23,0.22,0.225,0.225,353498.0
2017-02-21,0.225,0.225,0.225,0.225,0.225,0.0
2017-02-22,0.23,0.23,0.225,0.225,0.225,262243.0
2017-02-23,0.225,0.225,0.22,0.22,0.22,298050.0
2017-02-26,0.23,0.23,0.22,0.225,0.225,207128.0
2017-02-27,0.225,0.225,0.205,0.21,0.21,281792.0
2017-02-28,,,,,,
2017-03-01,0.205,0.21,0.205,0.205,0.205,189658.0
2017-03-02,0.2,0.205,0.2,0.205,0.205,636240.0
2017-03-05,,,,,,
2017-03-06,0.21,0.21,0.19,0.195,0.195,507167.0
2017-03-07,0.19,0.19,0.18,0.18,0.18,624054.0
2017-03-08,0.195,0.23,0.19,0.205,0.205,2663862.0
2017-03-09,0.2,0.205,0.195,0.195,0.195,438660.0
2017-03-12,0.19,0.205,0.19,0.2,0.2,345070.0
2017-03-13,0.2,0.22,0.2,0.22,0.22,321374.0
2017-03-14,0.225,0.29,0.225,0.29,0.29,3920976.0
2017-03-15,0.315,0.335,0.28,0.28,0.28,4027333.0
2017-03-16,0.285,0.295,0.27,0.275,0.275,1926965.0
2017-03-19,0.28,0.29,0.27,0.275,0.275,781518.0
2017-03-20,0.27,0.275,0.25,0.27,0.27,1274374.0
2017-03-21,0.265,0.265,0.25,0.25,0.25,958611.0
2017-03-22,0.26,0.285,0.255,0.285,0.285,1203891.0
2017-03-23,0.285,0.295,0.27,0.28,0.28,950026.0
2017-03-26,0.28,0.285,0.265,0.265,0.265,300108.0
2017-03-27,0.265,0.275,0.255,0.255,0.255,372873.0
2017-03-28,,,,,,
2017-03-29,,,,,,
2017-03-30,,,,,,
2017-04-03,0.28,0.28,0.28,0.28,0.28,0.0
2017-04-04,0.285,0.335,0.255,0.3,0.3,8334504.0
2017-04-05,0.32,0.33,0.295,0.295,0.295,2680021.0
2017-04-06,,,,,,
2017-04-07,,,,,,
2017-04-10,0.33,0.365,0.33,0.345,0.345,1727256.0
2017-04-11,0.365,0.365,0.335,0.34,0.34,1288257.0
2017-04-12,0.33,0.34,0.315,0.33,0.33,784529.0
2017-04-13,0.33,0.34,0.315,0.335,0.335,710223.0
2017-04-18,0.335,0.335,0.335,0.335,0.335,0.0
2017-04-19,0.35,0.35,0.275,0.275,0.275,3300330.0
2017-04-20,0.26,0.26,0.22,0.235,0.235,2638046.0
2017-04-21,0.245,0.25,0.22,0.22,0.22,1260062.0
2017-04-24,0.22,0.245,0.215,0.23,0.23,1312295.0
2017-04-26,0.23,0.235,0.22,0.23,0.23,763066.0
2017-04-27,0.23,0.23,0.215,0.225,0.225,834188.0
2017-04-28,0.225,0.225,0.22,0.22,0.22,159307.0
2017-05-01,0.22,0.22,0.22,0.22,0.22,103906.0
2017-05-02,0.22,0.22,0.21,0.21,0.21,475625.0
2017-05-03,0.215,0.215,0.21,0.215,0.215,151490.0
2017-05-04,0.22,0.245,0.22,0.235,0.235,885555.0
2017-05-05,0.24,0.25,0.235,0.235,0.235,827721.0
2017-05-08,0.235,0.235,0.23,0.23,0.23,115052.0
2017-05-09,0.23,0.235,0.22,0.22,0.22,498886.0
2017-05-10,0.215,0.225,0.21,0.21,0.21,596313.0
2017-05-11,0.205,0.21,0.2,0.205,0.205,467404.0
2017-05-12,0.21,0.21,0.205,0.205,0.205,237571.0
2017-05-15,0.205,0.205,0.2,0.2,0.2,509973.0
2017-05-16,0.2,0.2,0.195,0.2,0.2,304055.0
2017-05-17,0.2,0.2,0.2,0.2,0.2,76131.0
2017-05-18,0.2,0.2,0.19,0.195,0.195,117036.0
2017-05-19,0.2,0.205,0.2,0.205,0.205,150000.0
2017-05-22,0.205,0.205,0.205,0.205,0.205,0.0
2017-05-23,0.2,0.2,0.195,0.195,0.195,174941.0
2017-05-24,0.195,0.195,0.19,0.19,0.19,121106.0
2017-05-25,0.185,0.225,0.185,0.225,0.225,219872.0
2017-05-26,0.22,0.225,0.22,0.225,0.225,148000.0
2017-05-29,0.22,0.22,0.2,0.21,0.21,103601.0
2017-05-30,0.2,0.2,0.2,0.2,0.2,220719.0
2017-05-31,0.2,0.21,0.2,0.21,0.21,113645.0
2017-06-01,0.215,0.215,0.19,0.2,0.2,206316.0
2017-06-02,0.205,0.205,0.2,0.2,0.2,34000.0
2017-06-05,0.2,0.2,0.2,0.2,0.2,0.0
2017-06-06,0.205,0.205,0.2,0.2,0.2,6586.0
2017-06-07,0.2,0.2,0.195,0.195,0.195,25892.0
2017-06-08,0.2,0.21,0.195,0.195,0.195,134015.0
2017-06-09,0.195,0.195,0.195,0.195,0.195,0.0
2017-06-13,0.195,0.225,0.19,0.195,0.195,730970.0
2017-06-14,0.195,0.195,0.18,0.185,0.185,599941.0
2017-06-15,0.185,0.19,0.18,0.185,0.185,240697.0
2017-06-16,0.19,0.19,0.185,0.185,0.185,79026.0
