Date,Open,High,Low,Close,Adj Close,Volume
2003-12-21,0.2,0.2,0.2,0.2,0.2,0.0
2003-12-22,0.22,0.225,0.21,0.215,0.215,258000.0
2003-12-23,0.215,0.225,0.21,0.22,0.22,170000.0
2003-12-24,,,,,,
2003-12-25,,,,,,
2003-12-28,0.22,0.22,0.215,0.215,0.215,60000.0
2003-12-29,0.215,0.215,0.215,0.215,0.215,25000.0
2003-12-30,0.21,0.21,0.21,0.21,0.21,160000.0
2003-12-31,,,,,,
2004-01-01,0.215,0.215,0.215,0.215,0.215,40000.0
2004-01-04,0.215,0.22,0.215,0.215,0.215,127500.0
2004-01-05,0.22,0.23,0.22,0.23,0.23,497500.0
2004-01-06,0.24,0.25,0.24,0.25,0.25,185375.0
2004-01-07,0.24,0.24,0.24,0.24,0.24,17000.0
2004-01-08,0.22,0.22,0.22,0.22,0.22,220000.0
2004-01-11,0.225,0.24,0.225,0.24,0.24,65000.0
2004-01-12,0.24,0.24,0.24,0.24,0.24,90000.0
2004-01-13,0.24,0.24,0.24,0.24,0.24,361625.0
2004-01-14,0.24,0.25,0.24,0.25,0.25,121500.0
2004-01-15,0.25,0.25,0.24,0.24,0.24,376075.0
2004-01-18,0.24,0.24,0.23,0.23,0.23,94000.0
2004-01-19,0.24,0.24,0.24,0.24,0.24,12000.0
2004-01-20,0.24,0.24,0.24,0.24,0.24,185966.0
2004-01-21,0.24,0.25,0.24,0.25,0.25,150459.0
2004-01-22,0.24,0.26,0.24,0.26,0.26,224000.0
2004-01-25,,,,,,
2004-01-26,0.27,0.27,0.24,0.24,0.24,390000.0
2004-01-27,0.24,0.24,0.24,0.24,0.24,120000.0
2004-01-28,0.24,0.24,0.23,0.23,0.23,80000.0
2004-01-29,0.23,0.23,0.22,0.22,0.22,51000.0
2004-02-01,0.25,0.25,0.23,0.23,0.23,0.0
2004-02-02,0.23,0.23,0.225,0.225,0.225,125000.0
2004-02-03,0.225,0.225,0.22,0.22,0.22,175000.0
2004-02-04,0.22,0.22,0.22,0.22,0.22,50000.0
2004-02-05,0.21,0.21,0.205,0.205,0.205,100000.0
2004-02-08,0.235,0.235,0.21,0.21,0.21,0.0
2004-02-09,0.21,0.21,0.21,0.21,0.21,35000.0
2004-02-10,0.22,0.22,0.22,0.22,0.22,4700.0
2004-02-11,0.245,0.25,0.24,0.25,0.25,606355.0
2004-02-12,0.255,0.27,0.25,0.26,0.26,928445.0
2004-02-15,0.265,0.265,0.26,0.265,0.265,168690.0
2004-02-16,0.265,0.265,0.265,0.265,0.265,118000.0
2004-02-17,0.265,0.265,0.26,0.265,0.265,141700.0
2004-02-18,0.265,0.3,0.265,0.29,0.29,1022400.0
2004-02-19,0.32,0.325,0.295,0.3,0.3,1191337.0
2004-02-22,0.3,0.3,0.275,0.285,0.285,152792.0
2004-02-23,0.28,0.28,0.275,0.275,0.275,161000.0
2004-02-24,0.275,0.28,0.27,0.27,0.27,92652.0
2004-02-25,0.28,0.29,0.28,0.285,0.285,600791.0
2004-02-26,0.29,0.295,0.285,0.29,0.29,329154.0
2004-02-29,0.29,0.29,0.28,0.28,0.28,140000.0
2004-03-01,0.28,0.28,0.275,0.28,0.28,176930.0
2004-03-02,0.275,0.275,0.27,0.27,0.27,387475.0
2004-03-03,0.27,0.27,0.27,0.27,0.27,40095.0
2004-03-04,0.27,0.27,0.265,0.265,0.265,76000.0
2004-03-07,0.27,0.275,0.27,0.27,0.27,470000.0
2004-03-08,0.275,0.28,0.275,0.28,0.28,318000.0
2004-03-09,0.28,0.28,0.275,0.275,0.275,124000.0
2004-03-10,0.28,0.3,0.275,0.275,0.275,256446.0
2004-03-11,0.275,0.275,0.265,0.27,0.27,125504.0
2004-03-14,0.27,0.27,0.265,0.265,0.265,96996.0
2004-03-15,0.265,0.265,0.265,0.265,0.265,100000.0
2004-03-16,0.265,0.265,0.265,0.265,0.265,50000.0
2004-03-17,0.27,0.28,0.27,0.28,0.28,56455.0
2004-03-18,0.28,0.29,0.27,0.28,0.28,126750.0
2004-03-21,0.28,0.28,0.27,0.27,0.27,35000.0
2004-03-22,0.28,0.28,0.27,0.28,0.28,32000.0
2004-03-23,0.275,0.275,0.27,0.27,0.27,20000.0
2004-03-24,0.27,0.27,0.27,0.27,0.27,0.0
2004-03-25,0.27,0.27,0.27,0.27,0.27,19191.0
2004-03-29,0.275,0.28,0.275,0.275,0.275,207703.0
2004-03-30,0.275,0.275,0.275,0.275,0.275,130000.0
2004-03-31,0.275,0.28,0.27,0.27,0.27,125000.0
2004-04-01,0.27,0.27,0.265,0.265,0.265,76620.0
2004-04-02,0.265,0.27,0.265,0.265,0.265,94180.0
2004-04-05,0.265,0.265,0.265,0.265,0.265,99117.0
2004-04-06,0.265,0.265,0.26,0.26,0.26,121180.0
2004-04-07,0.26,0.26,0.24,0.24,0.24,64500.0
2004-04-08,0.24,0.24,0.24,0.24,0.24,0.0
2004-04-09,0.24,0.24,0.24,0.24,0.24,0.0
2004-04-12,0.24,0.24,0.24,0.24,0.24,0.0
2004-04-13,0.26,0.26,0.26,0.26,0.26,32500.0
2004-04-14,0.255,0.26,0.255,0.255,0.255,85000.0
2004-04-15,0.255,0.255,0.22,0.22,0.22,255000.0
2004-04-16,0.23,0.23,0.23,0.23,0.23,30000.0
2004-04-19,0.23,0.23,0.23,0.23,0.23,16500.0
2004-04-20,0.23,0.25,0.23,0.25,0.25,26450.0
2004-04-21,0.25,0.25,0.25,0.25,0.25,0.0
2004-04-22,0.25,0.25,0.24,0.24,0.24,213500.0
2004-04-23,0.24,0.245,0.24,0.245,0.245,84000.0
2004-04-26,0.245,0.245,0.245,0.245,0.245,0.0
2004-04-27,0.24,0.24,0.24,0.24,0.24,12843.0
2004-04-28,0.24,0.24,0.23,0.23,0.23,70000.0
2004-04-29,0.225,0.225,0.215,0.215,0.215,84000.0
2004-04-30,0.225,0.225,0.21,0.21,0.21,9000.0
2004-05-03,0.21,0.21,0.19,0.19,0.19,106664.0
2004-05-04,0.18,0.18,0.175,0.175,0.175,171692.0
2004-05-05,0.175,0.18,0.175,0.18,0.18,65000.0
