Date,Open,High,Low,Close,Adj Close,Volume
2015-04-07,20.26,20.26,20.26,20.26,19.730133,492.0
2015-04-08,,,,,,
2015-04-09,20.35,20.35,20.35,20.35,19.81778,70.0
2015-04-10,,,,,,
2015-04-13,,,,,,
2015-04-14,,,,,,
2015-04-15,,,,,,
2015-04-16,,,,,,
2015-04-17,,,,,,
2015-04-20,,,,,,
2015-04-21,20.059999,20.059999,20.059999,20.059999,19.535362,5906.0
2015-04-22,,,,,,
2015-04-23,20.0,20.0,19.889999,19.889999,19.369808,140.0
2015-04-24,20.209999,20.209999,20.209999,20.209999,19.681438,30000.0
2015-04-27,,,,,,
2015-04-28,,,,,,
2015-04-29,,,,,,
2015-04-30,,,,,,
2015-05-01,,,,,,
2015-05-04,,,,,,
2015-05-05,,,,,,
2015-05-06,,,,,,
2015-05-07,,,,,,
2015-05-08,,,,,,
2015-05-11,,,,,,
2015-05-12,,,,,,
2015-05-13,,,,,,
2015-05-14,,,,,,
2015-05-15,,,,,,
2015-05-18,,,,,,
2015-05-19,19.299999,19.299999,19.290001,19.290001,18.785501,577.0
2015-05-20,,,,,,
2015-05-21,,,,,,
2015-05-22,,,,,,
2015-05-25,,,,,,
2015-05-26,,,,,,
2015-05-27,,,,,,
2015-05-28,,,,,,
2015-05-29,19.82,19.82,19.82,19.82,19.30164,1034.0
2015-06-01,,,,,,
2015-06-02,,,,,,
2015-06-03,,,,,,
2015-06-04,,,,,,
2015-06-05,,,,,,
2015-06-09,,,,,,
2015-06-10,,,,,,
2015-06-11,,,,,,
2015-06-12,,,,,,
2015-06-15,,,,,,
2015-06-16,,,,,,
2015-06-17,19.209999,19.209999,19.190001,19.190001,18.688118,5982.0
2015-06-18,,,,,,
2015-06-19,,,,,,
2015-06-22,,,,,,
2015-06-23,,,,,,
2015-06-24,,,,,,
2015-06-25,,,,,,
2015-06-26,,,,,,
2015-06-29,,,,,,
2015-06-30,,,,,,
2015-07-01,,,,,,
2015-07-02,,,,,,
2015-07-03,,,,,,
2015-07-06,,,,,,
2015-07-07,,,,,,
2015-07-08,,,,,,
2015-07-09,,,,,,
2015-07-10,,,,,,
2015-07-13,,,,,,
2015-07-14,,,,,,
2015-07-15,19.110001,19.110001,19.110001,19.110001,18.610209,1831.0
2015-07-16,,,,,,
2015-07-17,,,,,,
2015-07-20,,,,,,
2015-07-21,,,,,,
2015-07-22,,,,,,
2015-07-23,,,,,,
2015-07-24,,,,,,
2015-07-27,,,,,,
2015-07-28,,,,,,
2015-07-29,,,,,,
2015-07-30,,,,,,
2015-07-31,,,,,,
2015-08-03,,,,,,
2015-08-04,,,,,,
2015-08-05,,,,,,
2015-08-06,,,,,,
2015-08-07,,,,,,
2015-08-10,,,,,,
2015-08-11,,,,,,
2015-08-12,18.4,18.4,18.16,18.16,17.685055,2181.0
2015-08-13,,,,,,
2015-08-14,,,,,,
2015-08-17,,,,,,
2015-08-18,18.25,18.25,18.25,18.25,17.772701,270.0
2015-08-19,,,,,,
2015-08-20,18.0,18.0,18.0,18.0,17.529239999999998,270.0
2015-08-21,17.549999,17.549999,17.549999,17.549999,17.091007,150.0
2015-08-24,16.98,16.98,16.98,16.98,16.535915,5.0
2015-08-25,17.15,17.469998999999998,17.15,17.440001000000002,16.983885,1705.0
2015-08-26,,,,,,
2015-08-27,,,,,,
2015-08-28,,,,,,
2015-08-31,,,,,,
2015-09-01,17.639999,17.639999,17.639999,17.639999,17.178654,780.0
2015-09-02,,,,,,
2015-09-03,,,,,,
2015-09-04,,,,,,
2015-09-07,17.0,17.059998999999998,17.0,17.059998999999998,16.613823,458.0
2015-09-08,,,,,,
2015-09-09,,,,,,
2015-09-10,,,,,,
2015-09-11,,,,,,
2015-09-14,,,,,,
2015-09-15,,,,,,
2015-09-16,17.41,17.41,17.41,17.41,16.95467,2.0
2015-09-17,17.790001,17.790001,17.790001,17.790001,17.324732,4.0
2015-09-18,,,,,,
2015-09-21,,,,,,
2015-09-22,17.43,17.43,17.42,17.42,16.964409,113.0
2015-09-23,17.26,17.26,17.1,17.1,16.652777,252.0
2015-09-24,,,,,,
2015-09-25,,,,,,
2015-09-28,,,,,,
2015-09-29,16.950001,16.950001,16.879998999999998,16.879998999999998,16.43853,2668.0
2015-09-30,,,,,,
2015-10-01,,,,,,
2015-10-02,17.440001000000002,17.440001000000002,17.440001000000002,17.440001000000002,16.983885,18.0
2015-10-04,,,,,,
2015-10-05,,,,,,
2015-10-06,,,,,,
2015-10-07,,,,,,
2015-10-08,,,,,,
2015-10-11,17.950001,17.950001,17.950001,17.950001,17.480547,111.0
2015-10-12,17.82,17.82,17.82,17.82,17.353947,5600.0
2015-10-13,17.73,17.73,17.73,17.73,17.2663,558.0
2015-10-14,,,,,,
2015-10-15,,,,,,
2015-10-18,,,,,,
2015-10-19,,,,,,
2015-10-20,,,,,,
2015-10-21,,,,,,
2015-10-22,,,,,,
2015-10-25,,,,,,
2015-10-26,,,,,,
2015-10-27,,,,,,
2015-10-28,18.129999,18.129999,18.129999,18.129999,17.655838,187.0
2015-10-29,,,,,,
2015-11-01,17.91,17.91,17.58,17.58,17.120224,386.0
2015-11-02,,,,,,
2015-11-03,,,,,,
2015-11-04,,,,,,
2015-11-05,,,,,,
2015-11-08,17.59,17.59,17.5,17.5,17.042316,583.0
2015-11-09,,,,,,
2015-11-10,,,,,,
2015-11-11,,,,,,
2015-11-12,17.309998999999998,17.309998999999998,17.309998999999998,17.309998999999998,16.857285,170.0
2015-11-15,17.18,17.18,17.18,17.18,16.730684,10.0
2015-11-16,,,,,,
2015-11-17,,,,,,
2015-11-18,,,,,,
2015-11-19,,,,,,
2015-11-22,,,,,,
2015-11-23,,,,,,
2015-11-24,,,,,,
2015-11-25,,,,,,
2015-11-26,17.950001,17.950001,17.950001,17.950001,17.480547,40.0
2015-11-29,17.75,17.75,17.75,17.75,17.285778,62.0
2015-11-30,,,,,,
2015-12-01,,,,,,
2015-12-02,17.950001,17.950001,17.950001,17.950001,17.480547,1120.0
2015-12-03,,,,,,
2015-12-06,17.950001,17.950001,17.91,17.91,17.441593,1035.0
2015-12-07,,,,,,
2015-12-08,,,,,,
2015-12-09,,,,,,
2015-12-10,,,,,,
2015-12-13,,,,,,
2015-12-14,16.879998999999998,16.879998999999998,16.879998999999998,16.879998999999998,16.43853,52.0
2015-12-15,,,,,,
2015-12-16,,,,,,
2015-12-17,,,,,,
2015-12-20,,,,,,
2015-12-21,,,,,,
2015-12-22,17.629998999999994,17.629998999999994,17.629998999999994,17.629998999999994,17.168915,146.0
2015-12-23,,,,,,
2015-12-27,,,,,,
2015-12-28,,,,,,
2015-12-29,,,,,,
2015-12-30,,,,,,
2016-01-03,,,,,,
2016-01-04,,,,,,
2016-01-05,,,,,,
2016-01-06,17.35,17.35,17.35,17.35,16.896238,7.0
2016-01-07,16.57,16.57,16.57,16.57,16.136639000000002,53.0
2016-01-10,16.26,16.26,16.26,16.26,15.834746,2581.0
2016-01-11,,,,,,
2016-01-12,,,,,,
2016-01-13,,,,,,
2016-01-14,,,,,,
2016-01-17,16.129998999999998,16.129998999999998,16.059998999999998,16.110001,15.688669,1406.0
2016-01-18,16.190001000000002,16.190001000000002,16.190001000000002,16.190001000000002,15.766576999999998,13.0
2016-01-19,,,,,,
2016-01-20,16.16,16.16,16.16,16.16,15.737360999999998,200.0
2016-01-21,,,,,,
2016-01-24,,,,,,
2016-01-26,16.48,16.48,16.48,16.48,16.048992000000002,12.0
