Date,Open,High,Low,Close,Adj Close,Volume
2015-12-06,0.36,0.38,0.315,0.345,0.345,9116032.0
2015-12-07,0.345,0.35,0.32,0.335,0.335,7229211.0
2015-12-08,0.345,0.36,0.34,0.34,0.34,3385863.0
2015-12-09,0.34,0.34,0.3,0.3,0.3,1300719.0
2015-12-10,0.295,0.3,0.27,0.29,0.29,1134684.0
2015-12-13,0.29,0.29,0.27,0.27,0.27,679591.0
2015-12-14,0.26,0.27,0.255,0.26,0.26,824631.0
2015-12-15,0.27,0.27,0.25,0.26,0.26,986666.0
2015-12-16,0.25,0.27,0.25,0.27,0.27,765000.0
2015-12-17,0.27,0.27,0.24,0.25,0.25,553650.0
2015-12-20,0.255,0.26,0.245,0.255,0.255,277461.0
2015-12-21,0.265,0.275,0.26,0.275,0.275,322400.0
2015-12-22,0.275,0.275,0.255,0.265,0.265,525145.0
2015-12-23,0.27,0.28,0.27,0.28,0.28,50000.0
2015-12-27,0.28,0.28,0.28,0.28,0.28,0.0
2015-12-28,0.28,0.28,0.26,0.26,0.26,127800.0
2015-12-29,0.265,0.265,0.26,0.26,0.26,178000.0
2015-12-30,0.26,0.26,0.26,0.26,0.26,112175.0
2016-01-03,0.26,0.27,0.25,0.26,0.26,620711.0
2016-01-04,0.26,0.26,0.25,0.255,0.255,211176.0
2016-01-05,0.255,0.255,0.255,0.255,0.255,0.0
2016-01-06,0.245,0.26,0.245,0.26,0.26,275000.0
2016-01-07,0.26,0.26,0.245,0.25,0.25,301812.0
2016-01-10,0.25,0.26,0.245,0.26,0.26,149178.0
2016-01-11,0.26,0.27,0.25,0.26,0.26,394010.0
2016-01-12,0.26,0.26,0.245,0.26,0.26,349375.0
2016-01-13,0.25,0.26,0.25,0.26,0.26,105500.0
2016-01-14,0.26,0.3,0.26,0.29,0.29,88012.0
2016-01-17,0.285,0.285,0.28,0.28,0.28,4755.0
2016-01-18,0.28,0.28,0.255,0.265,0.265,441311.0
2016-01-19,0.265,0.285,0.265,0.28,0.28,599943.0
2016-01-20,0.28,0.3,0.28,0.29,0.29,1020216.0
2016-01-21,0.29,0.3,0.29,0.295,0.295,129309.0
2016-01-24,0.295,0.295,0.28,0.28,0.28,47250.0
2016-01-26,0.28,0.295,0.28,0.295,0.295,630400.0
2016-01-27,0.295,0.3,0.295,0.3,0.3,10000.0
2016-01-28,0.3,0.335,0.3,0.335,0.335,827409.0
2016-01-31,0.35,0.35,0.32,0.32,0.32,145273.0
2016-02-01,0.32,0.33,0.315,0.315,0.315,303590.0
2016-02-02,0.315,0.33,0.305,0.305,0.305,334413.0
2016-02-03,0.31,0.31,0.285,0.285,0.285,423517.0
2016-02-04,0.29,0.3,0.285,0.295,0.295,228704.0
2016-02-07,0.295,0.3,0.285,0.3,0.3,253519.0
2016-02-08,0.295,0.3,0.285,0.29,0.29,974938.0
2016-02-09,0.295,0.295,0.28,0.28,0.28,126509.0
2016-02-10,0.275,0.275,0.255,0.26,0.26,1491336.0
2016-02-11,0.26,0.26,0.23,0.245,0.245,652604.0
2016-02-14,0.25,0.25,0.24,0.24,0.24,216545.0
2016-02-15,0.25,0.25,0.24,0.24,0.24,529228.0
2016-02-16,0.245,0.245,0.23,0.23,0.23,412100.0
2016-02-17,0.23,0.24,0.23,0.23,0.23,703772.0
2016-02-18,0.225,0.23,0.225,0.23,0.23,202000.0
2016-02-21,0.21,0.23,0.21,0.23,0.23,131928.0
2016-02-22,0.23,0.23,0.23,0.23,0.23,324025.0
2016-02-23,0.22,0.23,0.22,0.22,0.22,464730.0
2016-02-24,0.23,0.23,0.22,0.22,0.22,310000.0
2016-02-25,0.22,0.22,0.22,0.22,0.22,350000.0
2016-02-28,0.22,0.22,0.21,0.21,0.21,516367.0
2016-02-29,0.21,0.21,0.21,0.21,0.21,789098.0
2016-03-01,0.21,0.225,0.19,0.2,0.2,4179952.0
2016-03-02,0.195,0.2,0.19,0.2,0.2,700263.0
2016-03-03,0.195,0.2,0.195,0.2,0.2,807767.0
2016-03-06,0.2,0.2,0.19,0.19,0.19,649483.0
2016-03-07,0.2,0.22,0.2,0.22,0.22,1094067.0
2016-03-08,0.22,0.225,0.215,0.22,0.22,8339780.0
2016-03-09,0.22,0.235,0.215,0.235,0.235,5611818.0
2016-03-10,0.24,0.24,0.225,0.23,0.23,1043171.0
2016-03-13,0.23,0.23,0.22,0.22,0.22,1478468.0
2016-03-14,0.22,0.22,0.215,0.215,0.215,54584.0
2016-03-15,0.22,0.225,0.22,0.22,0.22,840372.0
2016-03-16,0.225,0.225,0.215,0.22,0.22,1095512.0
2016-03-17,0.22,0.22,0.21,0.21,0.21,494301.0
2016-03-20,0.22,0.22,0.22,0.22,0.22,150000.0
2016-03-21,0.21,0.21,0.2,0.2,0.2,1002400.0
2016-03-22,0.2,0.21,0.2,0.2,0.2,358531.0
2016-03-23,0.205,0.21,0.2,0.21,0.21,376000.0
2016-03-28,0.21,0.21,0.195,0.2,0.2,341751.0
2016-03-29,0.2,0.2,0.19,0.195,0.195,61994.0
2016-03-30,0.2,0.21,0.195,0.195,0.195,256695.0
2016-03-31,0.19,0.19,0.18,0.18,0.18,318255.0
2016-04-04,0.185,0.185,0.18,0.18,0.18,59194.0
2016-04-05,0.19,0.2,0.19,0.2,0.2,37657.0
2016-04-06,0.19,0.19,0.19,0.19,0.19,87403.0
2016-04-07,0.19,0.19,0.175,0.18,0.18,44747.0
2016-04-08,0.177,0.18,0.177,0.18,0.18,70385.0
2016-04-11,0.18,0.18,0.165,0.18,0.18,214930.0
2016-04-12,0.18,0.18,0.18,0.18,0.18,3714.0
2016-04-13,0.175,0.18,0.175,0.175,0.175,314146.0
2016-04-14,0.175,0.175,0.175,0.175,0.175,351874.0
2016-04-15,0.175,0.18,0.17,0.17,0.17,54082.0
2016-04-18,0.18,0.185,0.175,0.185,0.185,507435.0
2016-04-19,0.185,0.215,0.18,0.205,0.205,823724.0
2016-04-20,0.205,0.21,0.205,0.205,0.205,413341.0
2016-04-21,0.195,0.195,0.195,0.195,0.195,183662.0
2016-04-22,0.205,0.205,0.2,0.2,0.2,57057.0
2016-04-26,0.2,0.205,0.2,0.2,0.2,582564.0
2016-04-27,0.205,0.205,0.19,0.19,0.19,470510.0
2016-04-28,0.19,0.2,0.19,0.19,0.19,285831.0
2016-04-29,0.2,0.205,0.2,0.205,0.205,974435.0
2016-05-02,0.2,0.2,0.195,0.195,0.195,365000.0
2016-05-03,0.19,0.19,0.19,0.19,0.19,85200.0
2016-05-04,0.195,0.205,0.195,0.2,0.2,521076.0
2016-05-05,0.205,0.205,0.2,0.205,0.205,378828.0
2016-05-06,0.215,0.225,0.215,0.215,0.215,258581.0
2016-05-09,0.205,0.215,0.205,0.215,0.215,125586.0
2016-05-10,0.215,0.215,0.215,0.215,0.215,0.0
2016-05-11,0.215,0.215,0.215,0.215,0.215,0.0
2016-05-12,0.2,0.2,0.195,0.195,0.195,100000.0
2016-05-13,0.205,0.205,0.195,0.205,0.205,155240.0
2016-05-16,0.2,0.205,0.2,0.205,0.205,270140.0
2016-05-17,0.21,0.21,0.205,0.205,0.205,54740.0
2016-05-18,0.205,0.205,0.205,0.205,0.205,0.0
2016-05-19,0.205,0.215,0.205,0.205,0.205,302682.0
2016-05-20,0.22,0.22,0.2,0.2,0.2,703318.0
2016-05-23,0.225,0.24,0.225,0.23,0.23,522765.0
2016-05-24,0.235,0.26,0.235,0.245,0.245,936286.0
2016-05-25,0.25,0.25,0.23,0.24,0.24,557790.0
2016-05-26,0.24,0.24,0.23,0.24,0.24,410340.0
2016-05-27,0.24,0.24,0.235,0.235,0.235,338144.0
2016-05-30,0.235,0.24,0.235,0.235,0.235,289948.0
2016-05-31,0.235,0.235,0.23,0.23,0.23,148250.0
2016-06-01,0.225,0.23,0.22,0.225,0.225,411615.0
2016-06-02,0.225,0.23,0.225,0.23,0.23,126802.0
2016-06-03,0.24,0.24,0.225,0.225,0.225,156321.0
2016-06-06,0.22,0.225,0.22,0.225,0.225,190265.0
2016-06-07,0.225,0.225,0.225,0.225,0.225,159819.0
2016-06-08,0.225,0.23,0.225,0.23,0.23,321825.0
2016-06-09,0.23,0.23,0.23,0.23,0.23,1324164.0
2016-06-10,0.23,0.23,0.23,0.23,0.23,942227.0
2016-06-14,0.23,0.235,0.23,0.235,0.235,155500.0
2016-06-15,0.235,0.235,0.23,0.23,0.23,297500.0
2016-06-16,0.23,0.23,0.23,0.23,0.23,660152.0
2016-06-17,0.23,0.23,0.23,0.23,0.23,309042.0
2016-06-20,0.23,0.23,0.215,0.225,0.225,460986.0
2016-06-21,0.225,0.235,0.225,0.23,0.23,908900.0
2016-06-22,0.23,0.235,0.23,0.235,0.235,87000.0
2016-06-23,0.235,0.235,0.235,0.235,0.235,223425.0
2016-06-24,0.235,0.235,0.22,0.225,0.225,275558.0
2016-06-27,0.235,0.245,0.235,0.24,0.24,483613.0
2016-06-28,0.24,0.26,0.24,0.245,0.245,683075.0
2016-06-29,0.25,0.25,0.245,0.25,0.25,142983.0
2016-06-30,0.26,0.27,0.26,0.26,0.26,812129.0
2016-07-01,0.26,0.26,0.26,0.26,0.26,289021.0
2016-07-04,0.26,0.28,0.26,0.28,0.28,413758.0
2016-07-05,0.285,0.305,0.285,0.29,0.29,1081934.0
2016-07-06,0.295,0.295,0.27,0.27,0.27,246469.0
2016-07-07,0.27,0.27,0.26,0.27,0.27,284782.0
2016-07-08,0.27,0.27,0.27,0.27,0.27,128222.0
2016-07-11,0.28,0.29,0.28,0.29,0.29,1403345.0
2016-07-12,0.315,0.33,0.3,0.3,0.3,1045128.0
2016-07-13,0.3,0.305,0.29,0.295,0.295,422274.0
2016-07-14,0.3,0.3,0.295,0.3,0.3,285073.0
2016-07-15,0.31,0.32,0.3,0.315,0.315,692071.0
2016-07-18,0.32,0.335,0.3,0.335,0.335,617460.0
2016-07-19,0.335,0.345,0.33,0.345,0.345,553736.0
2016-07-20,0.35,0.375,0.35,0.37,0.37,1018403.0
2016-07-21,0.375,0.38,0.35,0.35,0.35,386571.0
2016-07-22,0.37,0.38,0.365,0.375,0.375,694929.0
2016-07-25,0.375,0.38,0.37,0.375,0.375,405595.0
2016-07-26,0.375,0.375,0.36,0.365,0.365,440435.0
2016-07-27,0.37,0.39,0.37,0.39,0.39,647254.0
2016-07-28,0.39,0.42,0.39,0.405,0.405,338851.0
2016-07-29,0.405,0.43,0.4,0.41,0.41,1890480.0
2016-08-01,0.43,0.45,0.43,0.45,0.45,900909.0
2016-08-02,0.45,0.45,0.43,0.445,0.445,1374567.0
2016-08-03,0.47,0.5,0.45,0.47,0.47,1088870.0
2016-08-04,0.48,0.53,0.48,0.515,0.515,919053.0
2016-08-05,0.52,0.55,0.52,0.54,0.54,1293508.0
2016-08-08,0.55,0.56,0.54,0.55,0.55,984339.0
2016-08-09,0.55,0.55,0.54,0.55,0.55,351263.0
2016-08-10,0.55,0.55,0.49,0.51,0.51,692718.0
2016-08-11,0.52,0.55,0.515,0.545,0.545,438380.0
2016-08-12,0.545,0.56,0.535,0.535,0.535,280952.0
2016-08-15,0.55,0.56,0.55,0.55,0.55,336458.0
2016-08-16,0.56,0.615,0.56,0.59,0.59,442258.0
2016-08-17,0.59,0.595,0.555,0.555,0.555,658597.0
2016-08-18,0.59,0.59,0.55,0.55,0.55,612254.0
2016-08-19,0.57,0.59,0.57,0.585,0.585,194586.0
2016-08-22,0.585,0.595,0.56,0.56,0.56,422670.0
2016-08-23,0.58,0.58,0.53,0.55,0.55,543926.0
2016-08-24,0.54,0.545,0.525,0.54,0.54,296971.0
2016-08-25,0.525,0.56,0.515,0.55,0.55,711883.0
2016-08-26,0.515,0.545,0.49,0.5,0.5,674884.0
2016-08-29,0.49,0.495,0.455,0.47,0.47,471419.0
2016-08-30,0.47,0.48,0.455,0.455,0.455,818862.0
2016-08-31,0.46,0.475,0.445,0.455,0.455,288076.0
2016-09-01,0.45,0.46,0.445,0.46,0.46,396417.0
2016-09-02,0.46,0.5,0.445,0.5,0.5,392219.0
2016-09-05,0.495,0.5,0.495,0.5,0.5,267104.0
2016-09-06,0.505,0.525,0.49,0.51,0.51,363092.0
2016-09-07,0.515,0.54,0.515,0.53,0.53,218444.0
2016-09-08,0.535,0.54,0.53,0.53,0.53,280278.0
2016-09-09,0.53,0.565,0.53,0.54,0.54,297346.0
2016-09-12,0.53,0.53,0.5,0.51,0.51,483281.0
2016-09-13,0.51,0.54,0.51,0.53,0.53,147487.0
2016-09-14,0.52,0.52,0.495,0.51,0.51,45930.0
2016-09-15,0.51,0.52,0.5,0.515,0.515,254333.0
2016-09-16,0.515,0.515,0.495,0.505,0.505,111856.0
2016-09-19,0.515,0.52,0.5,0.505,0.505,174202.0
2016-09-20,0.5,0.5,0.48,0.48,0.48,455056.0
2016-09-21,0.485,0.485,0.48,0.485,0.485,1522.0
2016-09-22,0.49,0.495,0.485,0.485,0.485,203960.0
2016-09-23,0.5,0.53,0.5,0.525,0.525,146452.0
2016-09-26,0.525,0.525,0.525,0.525,0.525,0.0
2016-09-27,0.525,0.525,0.525,0.525,0.525,0.0
2016-09-28,0.555,0.59,0.555,0.59,0.59,661143.0
2016-09-29,0.6,0.65,0.59,0.595,0.595,1040223.0
2016-09-30,0.62,0.62,0.595,0.6,0.6,180350.0
2016-10-02,0.605,0.61,0.59,0.61,0.61,111134.0
2016-10-03,0.61,0.61,0.595,0.6,0.6,83309.0
2016-10-04,0.6,0.605,0.58,0.58,0.58,152494.0
2016-10-05,0.595,0.61,0.595,0.61,0.61,527791.0
2016-10-06,0.61,0.61,0.58,0.595,0.595,95979.0
2016-10-09,0.59,0.595,0.585,0.59,0.59,80265.0
2016-10-10,0.59,0.59,0.575,0.59,0.59,220390.0
2016-10-11,0.585,0.585,0.57,0.57,0.57,126365.0
2016-10-12,0.56,0.56,0.55,0.55,0.55,64010.0
2016-10-13,0.55,0.58,0.535,0.58,0.58,118150.0
2016-10-16,0.58,0.585,0.565,0.565,0.565,230264.0
2016-10-17,0.56,0.57,0.55,0.57,0.57,124302.0
2016-10-18,0.58,0.62,0.57,0.585,0.585,196570.0
2016-10-19,0.57,0.58,0.57,0.57,0.57,36757.0
2016-10-20,0.58,0.58,0.57,0.57,0.57,68450.0
2016-10-23,0.575,0.575,0.565,0.565,0.565,210106.0
2016-10-24,0.565,0.57,0.555,0.56,0.56,232430.0
2016-10-25,0.565,0.565,0.54,0.55,0.55,456081.0
2016-10-26,0.545,0.55,0.52,0.55,0.55,180336.0
2016-10-27,0.55,0.55,0.535,0.54,0.54,76797.0
2016-10-30,0.525,0.54,0.525,0.535,0.535,15000.0
2016-10-31,0.52,0.53,0.515,0.515,0.515,71500.0
2016-11-01,0.51,0.51,0.5,0.5,0.5,415172.0
2016-11-02,0.51,0.51,0.49,0.5,0.5,715489.0
2016-11-03,0.5,0.5,0.48,0.485,0.485,307765.0
2016-11-06,0.495,0.495,0.49,0.495,0.495,54719.0
2016-11-07,0.49,0.51,0.49,0.5,0.5,131580.0
2016-11-08,0.51,0.51,0.475,0.48,0.48,197429.0
2016-11-09,0.515,0.53,0.515,0.52,0.52,46000.0
2016-11-10,0.53,0.53,0.515,0.515,0.515,118561.0
