Date,Open,High,Low,Close,Adj Close,Volume
2013-06-11,6.07,6.22,6.06,6.2,4.906632,15767366
2013-06-12,6.2,6.27,6.2,6.22,4.922461,5475758
2013-06-13,6.25,6.28,6.24,6.25,4.9462019999999995,2178333
2013-06-14,6.27,6.29,6.24,6.28,4.969944,1077987
2013-06-17,6.3,6.68,6.3,6.47,5.120309,2718886
2013-06-18,6.51,6.56,6.385,6.42,5.080739,976203
2013-06-19,6.5,6.65,6.48,6.55,5.1836199999999995,845812
2013-06-20,6.5,6.65,6.48,6.6,5.22319,346021
2013-06-21,6.49,6.54,6.41,6.49,5.1361360000000005,394241
2013-06-24,6.5,6.5,6.25,6.35,5.025342,338583
2013-06-25,6.26,6.35,6.25,6.33,5.009514,416789
2013-06-26,6.34,6.46,6.33,6.45,5.1044800000000015,1006249
2013-06-27,6.49,6.64,6.45,6.52,5.159878,367531
2013-06-28,6.51,6.52,6.38,6.45,5.1044800000000015,149682
2013-07-01,6.41,6.57,6.4,6.5,5.144051,299289
2013-07-02,6.54,6.9,6.54,6.9,5.4606080000000015,483553
2013-07-03,6.9,6.91,6.725,6.9,5.4606080000000015,474645
2013-07-04,6.92,7.3,6.92,7.1,5.618886,409372
2013-07-05,7.12,7.18,7.01,7.06,5.58723,890576
2013-07-08,7.07,7.21,7.07,7.13,5.642627,216907
2013-07-09,7.13,7.22,7.1,7.15,5.658455,326510
2013-07-10,7.19,7.39,7.17,7.26,5.7455089999999975,329476
2013-07-11,7.35,7.41,7.25,7.35,5.816733999999999,510433
2013-07-12,7.4,7.46,7.36,7.42,5.8721309999999995,364696
2013-07-15,7.39,7.43,7.3,7.3,5.777164,729360
2013-07-16,7.31,7.33,7.15,7.26,5.7455089999999975,75651
2013-07-17,7.29,7.3,7.26,7.27,5.7534230000000015,555273
2013-07-18,7.27,7.27,7.1,7.15,5.658455,171323
2013-07-19,7.15,7.18,6.75,6.85,5.421037,489241
2013-07-22,6.85,7.2,6.82,7.0,5.539747,295534
2013-07-23,7.15,7.27,7.09,7.14,5.6505410000000005,650914
2013-07-24,7.12,7.18,7.0,7.1,5.618886,109442
2013-07-25,7.05,7.05,6.95,7.02,5.555574,150266
2013-07-26,7.03,7.16,7.03,7.16,5.666369,68887
2013-07-29,7.16,7.16,7.05,7.16,5.666369,24909
2013-07-30,7.16,7.16,7.06,7.1,5.618886,92906
2013-07-31,7.14,7.14,7.05,7.11,5.6268,82540
2013-08-01,7.11,7.11,7.0,7.04,5.571402,238848
2013-08-02,7.04,7.1,6.93,7.05,5.579316,89544
2013-08-05,6.93,7.02,6.93,7.0,5.539747,89095
2013-08-06,7.01,7.02,6.99,7.02,5.555574,69666
2013-08-07,7.0,7.01,6.9,6.9,5.4606080000000015,320814
2013-08-08,6.9,7.0,6.85,6.88,5.4447800000000015,462364
2013-08-09,6.85,7.0,6.82,6.94,5.4922629999999995,128565
2013-08-12,6.99,7.0,6.85,6.94,5.4922629999999995,119776
2013-08-13,7.0,7.0,6.94,6.98,5.523919,151322
2013-08-14,6.95,7.0,6.84,6.89,5.452693,171192
2013-08-15,7.01,7.12,6.9,7.0,5.539747,79326
2013-08-16,7.0,7.08,6.85,7.07,5.595144,97786
2013-08-19,7.08,7.2,6.96,7.05,5.579316,199233
2013-08-20,7.11,7.2,7.05,7.1,5.618886,141005
2013-08-21,7.15,7.2,7.09,7.11,5.6268,46640
2013-08-22,7.24,7.24,7.07,7.1,5.618886,90860
2013-08-23,7.18,7.18,7.05,7.11,5.6268,64116
2013-08-26,7.2,7.2,7.03,7.09,5.610972,86156
2013-08-27,7.1,7.15,7.0,7.07,5.595144,43077
2013-08-28,7.1,7.49,7.09,7.48,5.919615,213591
2013-08-29,7.48,7.48,7.33,7.39,5.84839,100307
2013-08-30,7.39,7.5,7.34,7.45,5.895874,147337
2013-09-02,7.5,7.65,7.3,7.5,5.935442,977143
2013-09-03,7.55,7.69,7.31,7.55,5.975013,111890
2013-09-04,7.59,7.59,7.47,7.49,5.927529,173676
2013-09-05,7.48,7.89,7.43,7.54,5.967098,293904
2013-09-06,7.51,7.56,7.33,7.47,5.911701,95574
2013-09-09,7.5,7.55,7.33,7.5,5.935442,45893
2013-09-10,7.47,7.48,7.35,7.48,5.919615,526747
2013-09-11,7.48,7.79,7.4,7.6,6.014582,141952
2013-09-12,7.66,7.73,7.5,7.6,6.014582,232757
2013-09-13,7.7,7.8,7.7,7.71,6.101635,497091
2013-09-16,7.78,8.0,7.75,8.0,6.331139,121821
2013-09-17,7.95,7.95,7.66,7.88,6.236172,117424
2013-09-18,7.89,7.94,7.55,7.94,6.283656,256562
2013-09-19,7.99,7.99,7.92,7.97,6.307397,219516
2013-09-20,7.97,8.2,7.93,8.03,6.354881,1526219
2013-09-23,8.0,8.0,7.73,7.94,6.283656,111471
2013-09-24,8.0,8.0,7.82,7.82,6.188689,62747
2013-09-25,7.92,8.05,7.92,8.05,6.3707080000000005,255223
2013-09-26,8.01,8.1,7.99,8.04,6.3627949999999975,242233
2013-09-27,8.09,8.09,8.0,8.01,6.339054,67327
2013-09-30,8.14,8.54,8.0,8.24,6.521073,149423
2013-10-01,8.22,8.22,8.03,8.14,6.441934,136228
2013-10-02,8.2,8.54,8.07,8.1,6.410279,188110
2013-10-03,8.24,8.27,8.07,8.1,6.410279,242272
2013-10-04,8.07,8.15,8.06,8.09,6.4023639999999995,84382
2013-10-06,8.25,8.25,8.07,8.1,6.410279,167282
2013-10-07,8.05,8.29,8.05,8.1,6.410279,69017
2013-10-08,8.08,8.2,8.08,8.16,6.457761,69724
2013-10-09,8.18,8.19,8.06,8.19,6.481503,82760
2013-10-10,8.23,8.6,8.19,8.6,6.805975,169201
2013-10-13,8.6,8.67,8.58,8.65,6.8455449999999995,41501
2013-10-14,8.68,8.86,8.68,8.8,6.964252,171134
2013-10-15,8.75,8.8,8.6,8.64,6.83763,123024
2013-10-16,8.8,9.0,8.77,8.94,7.0750470000000005,342252
2013-10-17,8.94,8.95,8.83,8.85,7.003822,267398
2013-10-20,9.0,9.01,8.92,8.93,7.067135,280285
2013-10-21,8.93,9.05,8.88,8.91,7.051305999999999,108463
2013-10-22,9.0,9.03,8.75,8.8,6.964252,208215
2013-10-23,8.85,8.89,8.8,8.82,6.98008,85245
2013-10-24,8.83,8.88,8.72,8.74,6.916769,92149
2013-10-27,8.7,8.7,8.32,8.51,6.734749000000001,151682
2013-10-28,8.4,8.4,8.2,8.4,6.6476960000000025,181707
2013-10-29,8.13,8.48,8.13,8.4,6.6476960000000025,321568
2013-10-30,8.36,8.39,8.2,8.3,6.568557000000001,79183
2013-10-31,8.3,8.55,8.3,8.41,6.65561,528746
2013-11-03,8.54,8.54,8.34,8.38,6.631867999999999,67713
2013-11-04,8.48,8.51,8.38,8.38,6.631867999999999,143206
2013-11-05,8.4,8.5,8.37,8.47,6.703094,99696
2013-11-06,8.5,8.5,8.35,8.4,6.6476960000000025,84764
2013-11-07,8.49,8.88,8.39,8.64,6.83763,300700
2013-11-10,8.64,8.65,8.49,8.56,6.774319,151396
2013-11-11,8.56,8.58,8.38,8.52,6.7426639999999995,117718
2013-11-12,8.5,8.65,8.48,8.57,6.7822320000000005,246515
2013-11-13,8.64,8.65,8.54,8.65,6.8455449999999995,154211
2013-11-14,8.64,8.75,8.6,8.64,6.83763,134959
2013-11-17,8.66,8.96,8.66,8.88,7.027564999999999,133913
2013-11-18,8.75,8.99,8.7,8.9,7.043392,122498
2013-11-19,8.9,8.9,8.67,8.67,6.861372,85451
2013-11-20,8.66,8.95,8.64,8.94,7.0750470000000005,196981
2013-11-21,8.9,8.95,8.8,8.89,7.035479,541246
2013-11-24,8.91,9.0,8.91,8.94,7.0750470000000005,181949
2013-11-25,8.97,9.2,8.85,9.03,7.146273,2429065
2013-11-26,9.0,9.02,8.86,8.96,7.090875,87516
2013-11-27,8.99,8.99,8.76,8.79,6.956339,441105
2013-11-28,8.79,8.87,8.75,8.8,6.964252,130457
2013-12-01,8.88,9.14,8.79,8.85,7.003822,122852
2013-12-02,8.82,9.0,8.8,8.85,7.003822,143206
2013-12-03,8.78,8.78,8.62,8.65,6.8455449999999995,163719
2013-12-04,8.6,9.03,8.6,8.69,6.8772009999999995,453593
2013-12-05,8.7,8.75,8.61,8.75,6.924683,172362
2013-12-08,8.73,8.9,8.66,8.77,6.940511,99105
2013-12-09,8.94,8.94,8.5,8.59,6.798061,244945
2013-12-10,8.6,8.7,8.57,8.62,6.821803,107421
2013-12-11,8.5,8.56,8.36,8.51,6.734749000000001,151177
2013-12-12,8.46,8.46,8.12,8.35,6.6081270000000005,119289
2013-12-15,8.34,8.39,8.25,8.32,6.584385,104223
2013-12-16,8.41,8.53,8.41,8.5,6.726835,62680
2013-12-17,8.59,8.76,8.57,8.76,6.932597,406440
2013-12-18,8.76,8.94,8.76,8.87,7.01965,269488
2013-12-19,8.74,8.99,8.7,8.89,7.035479,3291024
2013-12-22,8.8,8.88,8.54,8.67,6.861372,100957
2013-12-23,8.7,8.88,8.64,8.86,7.011736,70831
2013-12-26,8.86,8.86,8.68,8.82,6.98008,67032
2013-12-29,8.82,8.82,8.7,8.78,6.948425,27527
2013-12-30,8.53,8.85,8.53,8.74,6.916769,107859
2014-01-01,8.74,8.82,8.61,8.74,6.916769,36138
2014-01-02,8.74,8.84,8.5,8.51,6.734749000000001,105894
2014-01-05,8.51,8.73,8.46,8.49,6.718921000000001,107755
2014-01-06,8.6,8.68,8.51,8.62,6.821803,63495
2014-01-07,8.58,8.71,8.54,8.7,6.8851130000000005,144073
2014-01-08,8.6,8.8,8.55,8.64,6.83763,96588
2014-01-09,8.7,8.7,8.55,8.7,6.8851130000000005,165188
2014-01-12,8.6,8.665,8.54,8.62,6.821803,124035
2014-01-13,8.5,8.55,8.45,8.51,6.734749000000001,219501
2014-01-14,8.53,8.68,8.52,8.68,6.869286,84165
2014-01-15,8.69,8.7,8.65,8.69,6.8772009999999995,92180
2014-01-16,8.6,8.7,8.57,8.7,6.8851130000000005,61399
2014-01-19,8.68,8.7,8.53,8.58,6.790147,88318
2014-01-20,8.57,8.72,8.53,8.69,6.8772009999999995,82972
2014-01-21,8.69,8.69,8.53,8.64,6.83763,70696
2014-01-22,8.6,8.65,8.5,8.6,6.805975,137713
2014-01-23,8.56,8.56,8.33,8.35,6.6081270000000005,116975
2014-01-27,8.35,8.45,8.25,8.38,6.631867999999999,169099
