Date,Open,High,Low,Close,Adj Close,Volume
2016-12-19,,,,,,
2016-12-20,1.09,1.09,1.06,1.075,1.075,79103.0
2016-12-21,1.07,1.07,1.065,1.065,1.065,95178.0
2016-12-22,1.065,1.07,1.06,1.07,1.07,33845.0
2016-12-27,1.07,1.07,1.06,1.06,1.06,26875.0
2016-12-28,1.06,1.06,1.055,1.055,1.055,53704.0
2016-12-29,1.055,1.055,1.055,1.055,1.055,0.0
2017-01-02,1.055,1.07,1.05,1.05,1.05,99546.0
2017-01-03,1.06,1.06,1.06,1.06,1.06,6363.0
2017-01-04,1.06,1.065,1.06,1.065,1.065,39045.0
2017-01-05,1.055,1.065,1.055,1.065,1.065,43817.0
2017-01-08,1.06,1.06,1.06,1.06,1.06,24150.0
2017-01-09,1.055,1.055,1.03,1.03,1.03,239546.0
2017-01-10,1.035,1.045,1.035,1.045,1.045,55500.0
2017-01-11,1.045,1.045,1.035,1.04,1.04,59172.0
2017-01-12,1.035,1.04,1.03,1.04,1.04,41043.0
2017-01-15,1.03,1.035,1.03,1.035,1.035,45941.0
2017-01-16,1.035,1.04,1.035,1.035,1.035,59522.0
2017-01-17,1.035,1.04,1.035,1.04,1.04,32000.0
2017-01-18,1.035,1.04,1.035,1.04,1.04,23653.0
2017-01-19,1.035,1.04,1.035,1.04,1.04,36150.0
2017-01-22,1.04,1.04,1.04,1.04,1.04,26938.0
2017-01-23,1.04,1.045,1.04,1.04,1.04,17393.0
2017-01-24,1.04,1.045,1.04,1.045,1.045,71093.0
2017-01-26,1.045,1.05,1.045,1.045,1.045,142835.0
2017-01-29,1.05,1.05,1.045,1.05,1.05,51766.0
2017-01-30,1.04,1.04,1.04,1.04,1.04,30000.0
2017-01-31,1.045,1.05,1.045,1.05,1.05,93811.0
2017-02-01,1.05,1.05,1.045,1.045,1.045,26296.0
2017-02-02,1.045,1.045,1.045,1.045,1.045,0.0
2017-02-05,1.045,1.045,1.045,1.045,1.045,0.0
2017-02-06,1.045,1.045,1.04,1.04,1.04,50363.0
2017-02-07,1.04,1.04,1.04,1.04,1.04,0.0
2017-02-08,1.04,1.045,1.04,1.045,1.045,66529.0
2017-02-09,1.04,1.05,1.04,1.05,1.05,194090.0
2017-02-12,1.045,1.05,1.045,1.05,1.05,7672.0
2017-02-13,1.05,1.05,1.04,1.05,1.05,97286.0
2017-02-14,1.05,1.05,1.04,1.04,1.04,117005.0
2017-02-15,1.05,1.05,1.04,1.04,1.04,90192.0
2017-02-16,1.045,1.05,1.035,1.035,1.035,257223.0
2017-02-19,1.04,1.04,1.04,1.04,1.04,7300.0
2017-02-20,1.05,1.055,1.05,1.055,1.055,58349.0
2017-02-21,1.05,1.05,1.045,1.045,1.045,65726.0
2017-02-22,1.045,1.045,1.04,1.045,1.045,128353.0
2017-02-23,1.045,1.045,1.035,1.035,1.035,353114.0
2017-02-26,1.035,1.04,1.025,1.04,1.04,104342.0
2017-02-27,1.04,1.04,1.04,1.04,1.04,18340.0
2017-02-28,1.03,1.04,1.03,1.035,1.035,37726.0
2017-03-01,1.035,1.04,1.03,1.03,1.03,135983.0
2017-03-02,1.03,1.04,1.03,1.04,1.04,36900.0
2017-03-05,1.03,1.04,1.03,1.04,1.04,68912.0
2017-03-06,1.04,1.04,1.04,1.04,1.04,4694.0
2017-03-07,1.035,1.04,1.025,1.025,1.025,97963.0
2017-03-08,1.025,1.03,1.025,1.03,1.03,22400.0
2017-03-09,1.035,1.04,1.025,1.025,1.025,86651.0
2017-03-12,1.03,1.035,1.025,1.025,1.025,57036.0
2017-03-13,1.025,1.04,1.025,1.025,1.025,67726.0
2017-03-14,1.025,1.025,1.02,1.02,1.02,43000.0
2017-03-15,1.02,1.035,1.02,1.035,1.035,3000.0
2017-03-16,1.035,1.035,1.03,1.03,1.03,52300.0
2017-03-19,1.025,1.03,1.025,1.03,1.03,53403.0
2017-03-20,1.035,1.035,1.035,1.035,1.035,6500.0
2017-03-21,1.03,1.035,1.025,1.025,1.025,65687.0
2017-03-22,1.03,1.03,1.025,1.03,1.03,29000.0
2017-03-23,1.03,1.035,1.02,1.03,1.03,207000.0
2017-03-26,1.025,1.035,1.025,1.035,1.035,40983.0
2017-03-27,1.03,1.035,1.02,1.025,1.025,135000.0
2017-03-28,1.025,1.035,1.025,1.025,1.025,89536.0
2017-03-29,1.025,1.025,1.015,1.015,1.015,176828.0
2017-03-30,1.02,1.03,1.015,1.03,1.03,86659.0
2017-04-03,1.02,1.02,1.015,1.015,1.015,119050.0
2017-04-04,1.015,1.015,1.015,1.015,1.015,11000.0
2017-04-05,1.015,1.015,1.0,1.01,1.01,194843.0
2017-04-06,1.0,1.005,0.99,1.0,1.0,133196.0
2018-02-27,0.905,0.91,0.905,0.91,0.91,132961.0
2018-02-28,,,,,,
2018-03-01,,,,,,
2018-03-04,,,,,,
2018-03-05,,,,,,
2018-03-06,,,,,,
2018-03-07,,,,,,
