Date,Open,High,Low,Close,Adj Close,Volume
2016-05-30,1.09,1.09,1.06,1.07,1.07,3394926.0
2016-05-31,1.075,1.08,1.07,1.075,1.075,1372869.0
2016-06-01,1.075,1.075,1.07,1.07,1.07,748522.0
2016-06-02,1.075,1.08,1.07,1.075,1.075,769929.0
2016-06-03,1.075,1.075,1.075,1.075,1.075,403787.0
2016-06-06,1.075,1.08,1.07,1.08,1.08,554897.0
2016-06-07,1.08,1.08,1.075,1.075,1.075,1319860.0
2016-06-08,1.08,1.08,1.075,1.08,1.08,1120432.0
2016-06-09,1.08,1.08,1.075,1.075,1.075,406873.0
2016-06-10,1.08,1.08,1.075,1.08,1.08,644288.0
2016-06-14,1.08,1.08,1.075,1.075,1.075,768107.0
2016-06-15,1.075,1.08,1.07,1.075,1.075,646980.0
2016-06-16,1.075,1.08,1.075,1.08,1.08,313064.0
2016-06-17,1.075,1.08,1.07,1.08,1.08,458866.0
2016-06-20,1.08,1.085,1.08,1.085,1.085,757626.0
2016-06-21,1.085,1.1,1.085,1.1,1.1,1120132.0
2016-06-22,1.095,1.1,1.095,1.1,1.1,1659934.0
2016-06-23,1.1,1.1,1.095,1.095,1.095,783259.0
2016-06-24,1.1,1.1,1.075,1.085,1.085,1834318.0
2016-06-27,1.085,1.1,1.085,1.1,1.1,1383082.0
2016-06-28,1.09,1.1,1.085,1.085,1.085,997000.0
2016-06-29,1.085,1.095,1.085,1.095,1.095,978513.0
2016-06-30,1.095,1.1,1.09,1.1,1.1,1374232.0
2016-07-01,1.095,1.1,1.095,1.1,1.1,1136696.0
2016-07-04,1.1,1.1,1.095,1.1,1.1,501322.0
2016-07-05,1.1,1.105,1.095,1.1,1.1,1029997.0
2016-07-06,1.1,1.1,1.09,1.09,1.09,584811.0
2016-07-07,1.095,1.105,1.095,1.105,1.105,1175157.0
2016-07-08,1.105,1.11,1.1,1.11,1.11,498987.0
2016-07-11,1.11,1.115,1.105,1.11,1.11,916946.0
2016-07-12,1.115,1.125,1.115,1.125,1.125,908414.0
