Date,Open,High,Low,Close,Adj Close,Volume
2013-07-18,0.98,1.0,0.98,0.99,0.7533880000000001,329100.0
2013-07-19,0.99,0.99,0.99,0.99,0.7533880000000001,78700.0
2013-07-22,0.99,0.995,0.99,0.99,0.7533880000000001,167200.0
2013-07-23,0.995,0.995,0.99,0.99,0.7533880000000001,79600.0
2013-07-24,0.99,0.995,0.99,0.995,0.757193,130400.0
2013-07-25,1.0,1.0,1.0,1.0,0.760998,152700.0
2013-07-26,1.0,1.0,0.99,0.99,0.7533880000000001,189000.0
2013-07-29,1.0,1.0,0.99,0.995,0.757193,204850.0
2013-07-30,0.995,0.995,0.995,0.995,0.757193,145000.0
2013-07-31,0.99,0.99,0.99,0.99,0.7533880000000001,0.0
2013-08-01,0.995,0.995,0.995,0.995,0.757193,88000.0
2013-08-02,0.99,0.995,0.99,0.99,0.7533880000000001,247700.0
2013-08-05,0.985,0.99,0.985,0.99,0.7533880000000001,91000.0
2013-08-06,0.99,0.995,0.99,0.995,0.757193,124500.0
2013-08-07,0.995,0.995,0.99,0.995,0.757193,105500.0
2013-08-08,0.995,0.995,0.99,0.995,0.757193,76000.0
2013-08-09,0.995,0.995,0.99,0.995,0.757193,32500.0
2013-08-12,0.995,0.995,0.995,0.995,0.757193,88000.0
2013-08-13,0.995,0.995,0.99,0.995,0.757193,25000.0
2013-08-14,0.995,1.0,0.995,1.0,0.760998,174050.0
2013-08-15,1.0,1.0,0.995,0.995,0.757193,150000.0
2013-08-16,0.995,1.0,0.995,1.0,0.760998,66700.0
2013-08-19,0.995,1.0,0.995,0.995,0.757193,212000.0
2013-08-20,0.995,0.995,0.99,0.99,0.7533880000000001,150000.0
2013-08-21,0.995,0.995,0.995,0.995,0.757193,100380.0
2013-08-22,0.995,1.0,0.99,1.0,0.760998,122620.0
2013-08-23,1.0,1.0,0.995,1.0,0.760998,266051.0
2013-08-26,0.995,1.0,0.995,1.0,0.760998,98680.0
2013-08-27,1.0,1.0,0.995,0.995,0.757193,176000.0
2013-08-28,0.995,0.995,0.995,0.995,0.757193,140200.0
2013-08-29,0.995,0.995,0.995,0.995,0.757193,4800.0
2013-08-30,1.0,1.0,0.995,0.995,0.757193,52500.0
2013-09-02,1.01,1.01,1.0,1.0,0.760998,100000.0
2013-09-03,1.0,1.005,0.995,1.0,0.760998,308754.0
2013-09-04,1.0,1.015,1.0,1.015,0.772413,321607.0
2013-09-05,1.015,1.02,1.005,1.01,0.768608,288884.0
2013-09-06,1.01,1.015,1.01,1.015,0.772413,58429.0
2013-09-09,1.015,1.015,1.01,1.01,0.768608,65685.0
2013-09-10,1.01,1.015,1.01,1.01,0.768608,103452.0
2013-09-11,1.015,1.015,1.01,1.01,0.768608,151700.0
2013-09-12,1.01,1.015,1.01,1.01,0.768608,135674.0
2013-09-13,1.015,1.015,1.01,1.015,0.772413,60700.0
2013-09-16,1.015,1.02,1.015,1.015,0.772413,236806.0
2013-09-17,1.02,1.025,1.02,1.02,0.7762180000000001,50069.0
2013-09-18,1.02,1.02,1.02,1.02,0.7762180000000001,75000.0
2013-09-19,1.03,1.035,1.025,1.025,0.7800229999999999,155000.0
2013-09-20,1.03,1.035,1.03,1.035,0.787633,25000.0
2013-09-23,1.025,1.03,1.015,1.025,0.7800229999999999,152972.0
2013-09-24,1.03,1.035,1.03,1.035,0.787633,62514.0
2013-09-25,1.05,1.06,1.04,1.06,0.806658,61000.0
2013-09-26,1.04,1.04,1.04,1.04,0.791438,25000.0
2013-09-27,1.04,1.06,1.04,1.045,0.795243,100943.0
2013-09-30,1.02,1.02,1.02,1.02,0.7762180000000001,0.0
2013-10-01,1.045,1.05,1.045,1.05,0.799048,50000.0
2013-10-02,1.05,1.05,1.04,1.04,0.791438,221937.0
2013-10-03,1.05,1.05,1.04,1.04,0.791438,174850.0
2013-10-04,1.045,1.05,1.045,1.05,0.799048,44000.0
2013-10-06,1.05,1.06,1.05,1.06,0.806658,29300.0
2013-10-07,1.06,1.075,1.05,1.075,0.8180729999999999,83969.0
2013-10-08,1.07,1.07,1.05,1.05,0.799048,74500.0
2013-10-09,1.065,1.065,1.05,1.055,0.8028529999999999,118212.0
2013-10-10,1.05,1.055,1.045,1.055,0.8028529999999999,92578.0
2013-10-13,1.055,1.055,1.045,1.045,0.795243,97960.0
2013-10-14,1.055,1.055,1.04,1.04,0.791438,159113.0
2013-10-15,1.04,1.04,1.03,1.035,0.787633,146607.0
2013-10-16,1.04,1.04,1.025,1.035,0.787633,374341.0
2013-10-17,1.035,1.04,1.02,1.025,0.7800229999999999,184100.0
2013-10-20,1.03,1.04,1.03,1.04,0.791438,52000.0
2013-10-21,1.04,1.05,1.04,1.05,0.799048,88548.0
2013-10-22,1.05,1.05,1.03,1.03,0.783828,117486.0
2013-10-23,1.03,1.03,1.025,1.03,0.783828,85000.0
2013-10-24,1.04,1.045,1.04,1.04,0.791438,186000.0
2013-10-27,1.04,1.05,1.03,1.03,0.783828,82000.0
2013-10-28,1.04,1.05,1.04,1.05,0.799048,36000.0
2013-10-29,1.045,1.05,1.045,1.045,0.795243,88335.0
2013-10-30,1.03,1.03,1.03,1.03,0.783828,0.0
2013-10-31,1.035,1.035,1.03,1.03,0.783828,104500.0
2013-11-03,1.035,1.05,1.035,1.05,0.799048,2400.0
2013-11-04,1.035,1.04,1.035,1.04,0.791438,35000.0
2013-11-05,1.04,1.05,1.04,1.05,0.799048,29355.0
2013-11-06,1.045,1.05,1.04,1.05,0.799048,64500.0
2013-11-07,1.05,1.05,1.05,1.05,0.799048,0.0
2013-11-10,1.05,1.05,1.035,1.05,0.799048,65200.0
2013-11-11,1.04,1.045,1.04,1.04,0.791438,97950.0
2013-11-12,1.03,1.035,1.03,1.035,0.787633,59600.0
2013-11-13,1.04,1.04,1.035,1.035,0.787633,31615.0
2013-11-14,1.035,1.045,1.03,1.035,0.787633,169800.0
2013-11-17,1.035,1.035,1.0,1.025,0.7800229999999999,200050.0
2013-11-18,1.03,1.03,1.03,1.03,0.783828,125585.0
2013-11-19,1.03,1.03,1.01,1.01,0.768608,117000.0
2013-11-20,1.02,1.025,1.015,1.025,0.7800229999999999,147500.0
2013-11-21,1.02,1.035,1.02,1.025,0.7800229999999999,267000.0
2013-11-24,1.025,1.025,1.02,1.025,0.7800229999999999,171260.0
2013-11-25,1.025,1.025,1.02,1.02,0.7762180000000001,125125.0
2013-11-26,1.02,1.02,1.0,1.015,0.772413,354915.0
2013-11-27,1.01,1.01,1.0,1.01,0.768608,283701.0
2013-11-28,1.02,1.035,1.02,1.035,0.787633,54000.0
2013-12-01,1.03,1.03,1.0,1.02,0.7762180000000001,44000.0
2013-12-02,1.01,1.01,1.01,1.01,0.768608,30000.0
2013-12-03,1.01,1.01,1.01,1.01,0.768608,225000.0
2013-12-04,1.01,1.02,1.0,1.02,0.7762180000000001,203860.0
2013-12-05,1.0,1.01,1.0,1.01,0.768608,60800.0
2013-12-08,0.99,0.99,0.98,0.98,0.7457779999999999,30000.0
2013-12-09,0.995,1.01,0.995,1.0,0.760998,109797.0
2013-12-10,0.995,1.0,0.995,1.0,0.760998,79841.0
2013-12-11,1.0,1.01,1.0,1.0,0.760998,64500.0
2013-12-12,1.0,1.005,1.0,1.005,0.764803,11000.0
2013-12-15,1.01,1.01,0.99,1.005,0.764803,268141.0
2013-12-16,1.01,1.01,0.985,0.985,0.749583,41500.0
2013-12-17,1.0,1.0,0.99,0.99,0.7533880000000001,60000.0
2013-12-18,1.005,1.01,1.0,1.005,0.764803,47735.0
2013-12-19,1.01,1.01,1.01,1.01,0.768608,45351.0
2013-12-22,1.01,1.02,1.01,1.02,0.7762180000000001,19724.0
2013-12-23,1.02,1.02,1.02,1.02,0.7762180000000001,0.0
2013-12-26,1.02,1.03,1.015,1.03,0.783828,19297.0
2013-12-29,1.02,1.02,1.015,1.015,0.772413,25000.0
2013-12-30,1.03,1.03,1.03,1.03,0.783828,0.0
2014-01-01,1.025,1.025,1.015,1.015,0.772413,20000.0
2014-01-02,1.015,1.015,1.01,1.01,0.768608,15000.0
2014-01-05,1.015,1.02,1.015,1.02,0.7762180000000001,100000.0
2014-01-06,1.02,1.02,1.02,1.02,0.7762180000000001,0.0
2014-01-07,1.01,1.01,1.005,1.01,0.768608,89431.0
2014-01-08,1.005,1.005,1.005,1.005,0.764803,10000.0
2014-01-09,1.005,1.005,1.005,1.005,0.764803,25000.0
2014-01-12,1.005,1.005,1.0,1.0,0.760998,71745.0
2014-01-13,1.0,1.0,0.995,0.995,0.757193,18000.0
2014-01-14,0.995,0.995,0.995,0.995,0.757193,45000.0
2014-01-15,1.0,1.0,1.0,1.0,0.760998,60255.0
2014-01-16,0.995,1.0,0.99,0.99,0.7533880000000001,152000.0
2014-01-19,1.0,1.0,1.0,1.0,0.760998,77500.0
2014-01-20,1.0,1.005,1.0,1.005,0.764803,95069.0
2014-01-21,1.0,1.0,0.99,0.99,0.7533880000000001,68831.0
2014-01-22,0.99,0.99,0.99,0.99,0.7533880000000001,0.0
2014-01-23,1.005,1.005,0.995,0.995,0.757193,61000.0
2014-01-27,0.995,1.0,0.995,1.0,0.760998,130585.0
2014-01-28,1.0,1.0,1.0,1.0,0.760998,50000.0
2014-01-29,1.0,1.0,1.0,1.0,0.760998,82415.0
2014-01-30,1.05,1.05,1.05,1.05,0.799048,0.0
2014-02-02,0.995,1.01,0.99,0.99,0.7533880000000001,150000.0
2014-02-03,1.0,1.0,0.99,1.0,0.760998,59872.0
2014-02-04,1.0,1.01,1.0,1.01,0.768608,31582.0
2014-02-05,1.01,1.02,1.0,1.02,0.7762180000000001,104000.0
2014-02-06,1.02,1.02,1.02,1.02,0.7762180000000001,15000.0
2014-02-09,1.02,1.04,1.02,1.035,0.787633,179134.0
2014-02-10,1.035,1.035,1.035,1.035,0.787633,46866.0
2014-02-11,1.035,1.04,1.03,1.035,0.787633,98334.0
2014-02-12,1.035,1.04,1.03,1.03,0.783828,110000.0
2014-02-13,1.035,1.045,1.035,1.045,0.795243,20500.0
2014-02-16,1.05,1.055,1.05,1.05,0.799048,119995.0
2014-02-17,1.05,1.055,1.045,1.05,0.799048,147199.0
2014-02-18,1.05,1.05,1.05,1.05,0.799048,20000.0
2014-02-19,1.055,1.055,1.05,1.05,0.799048,106729.0
2014-02-20,1.055,1.055,1.045,1.045,0.795243,113929.0
2014-02-23,1.055,1.06,1.055,1.06,0.806658,29342.0
2014-02-24,1.06,1.06,1.06,1.06,0.806658,38509.0
2014-02-25,1.055,1.055,1.04,1.05,0.799048,311659.0
2014-02-26,1.06,1.06,1.055,1.06,0.806658,14572.0
2014-02-27,1.06,1.06,1.06,1.06,0.806658,0.0
2014-03-02,1.08,1.08,1.065,1.065,0.810463,26857.0
2014-03-03,1.065,1.065,1.06,1.06,0.806658,69312.0
2014-03-04,1.06,1.06,1.06,1.06,0.806658,192499.0
2014-03-05,1.06,1.065,1.055,1.065,0.810463,114163.0
2014-03-06,1.06,1.065,1.05,1.05,0.799048,480439.0
2014-03-09,1.05,1.05,1.04,1.04,0.791438,62677.0
2014-03-10,1.045,1.06,1.045,1.06,0.806658,50000.0
2014-03-11,1.06,1.075,1.06,1.075,0.8180729999999999,125000.0
2014-03-12,1.06,1.065,1.06,1.065,0.810463,119111.0
2014-03-13,1.065,1.07,1.06,1.07,0.814268,258879.0
2014-03-16,1.04,1.055,1.04,1.04,0.818766,247061.0
2014-03-17,1.035,1.035,1.03,1.03,0.810894,325000.0
2014-03-18,1.03,1.035,1.027,1.035,0.81483,143600.0
2014-03-19,1.035,1.035,1.03,1.035,0.81483,174701.0
2014-03-20,1.04,1.04,1.04,1.04,0.818766,243518.0
2014-03-23,1.04,1.04,1.04,1.04,0.818766,0.0
2014-03-24,1.04,1.04,1.04,1.04,0.818766,0.0
2014-03-25,1.04,1.04,1.02,1.035,0.81483,588000.0
2014-03-26,1.035,1.035,1.035,1.035,0.81483,2901.0
2014-03-27,1.035,1.035,1.035,1.035,0.81483,0.0
2014-03-30,1.05,1.05,1.05,1.05,0.8266389999999999,0.0
2014-03-31,1.025,1.035,1.025,1.025,0.8069569999999999,120000.0
2014-04-01,1.03,1.035,1.03,1.035,0.81483,66800.0
2014-04-02,1.03,1.03,1.03,1.03,0.810894,38950.0
2014-04-03,1.025,1.025,1.025,1.025,0.8069569999999999,138499.0
2014-04-07,1.025,1.025,1.025,1.025,0.8069569999999999,61000.0
2014-04-08,1.03,1.03,1.025,1.025,0.8069569999999999,178681.0
2014-04-09,1.025,1.025,1.025,1.025,0.8069569999999999,50000.0
2014-04-10,1.025,1.025,1.02,1.02,0.803021,191000.0
2014-04-11,1.02,1.025,1.02,1.025,0.8069569999999999,273000.0
2014-04-14,1.025,1.03,1.02,1.02,0.803021,127180.0
2014-04-15,1.02,1.03,1.02,1.02,0.803021,46122.0
2014-04-16,1.02,1.02,1.02,1.02,0.803021,20000.0
2014-04-17,1.02,1.03,1.02,1.03,0.810894,62529.0
2014-04-22,1.03,1.03,1.02,1.02,0.803021,66014.0
2014-04-23,1.015,1.015,0.99,1.015,0.799084,199911.0
2014-04-24,1.02,1.02,1.02,1.02,0.803021,2000.0
2014-04-28,1.02,1.02,1.015,1.015,0.799084,29541.0
2014-04-29,1.02,1.02,1.005,1.01,0.795148,187499.0
2014-04-30,1.04,1.04,1.04,1.04,0.818766,0.0
2014-05-01,1.0,1.0,0.985,0.985,0.775466,128279.0
2014-05-02,0.995,0.995,0.995,0.995,0.783339,29970.0
2014-05-05,1.0,1.025,1.0,1.025,0.8069569999999999,358930.0
2014-05-06,1.025,1.03,1.01,1.02,0.803021,180750.0
2014-05-07,1.01,1.02,1.01,1.02,0.803021,8500.0
2014-05-08,1.02,1.03,1.02,1.03,0.810894,23956.0
2014-05-09,1.025,1.025,1.015,1.015,0.799084,20028.0
2014-05-12,1.015,1.02,1.005,1.01,0.795148,199143.0
2014-05-13,1.01,1.01,1.01,1.01,0.795148,198357.0
2014-05-14,1.015,1.015,1.01,1.015,0.799084,46403.0
2014-05-15,1.015,1.025,1.015,1.02,0.803021,38705.0
2014-05-16,1.025,1.025,1.02,1.02,0.803021,63168.0
2014-05-19,1.025,1.025,1.015,1.02,0.803021,110470.0
2014-05-20,1.02,1.02,1.015,1.015,0.799084,135000.0
2014-05-21,1.025,1.025,1.015,1.015,0.799084,22460.0
2014-05-22,1.015,1.025,1.015,1.02,0.803021,71625.0
2014-05-23,1.02,1.03,1.02,1.02,0.803021,50214.0
2014-05-26,1.025,1.03,1.025,1.03,0.810894,74000.0
2014-05-27,1.03,1.03,1.03,1.03,0.810894,59880.0
2014-05-28,1.03,1.03,1.02,1.02,0.803021,76473.0
2014-05-29,1.03,1.03,1.03,1.03,0.810894,215000.0
2014-05-30,1.03,1.03,1.03,1.03,0.810894,50000.0
2014-06-02,1.05,1.05,1.035,1.035,0.81483,34162.0
2014-06-03,1.035,1.035,1.03,1.03,0.810894,75840.0
2014-06-04,1.03,1.04,1.03,1.035,0.81483,101400.0
2014-06-05,1.035,1.045,1.035,1.045,0.8227030000000001,63043.0
2014-06-06,1.045,1.045,1.04,1.04,0.818766,222500.0
2014-06-10,1.04,1.045,1.04,1.045,0.8227030000000001,70909.0
2014-06-11,1.045,1.05,1.04,1.045,0.8227030000000001,116141.0
2014-06-12,1.045,1.045,1.045,1.045,0.8227030000000001,135518.0
2014-06-13,1.04,1.045,1.04,1.045,0.8227030000000001,186372.0
2014-06-16,1.045,1.05,1.045,1.05,0.8266389999999999,163480.0
2014-06-17,1.05,1.05,1.04,1.05,0.8266389999999999,80626.0
2014-06-18,1.05,1.05,1.045,1.045,0.8227030000000001,220476.0
2014-06-19,1.05,1.05,1.05,1.05,0.8266389999999999,10000.0
2014-06-20,1.05,1.05,1.045,1.05,0.8266389999999999,101023.0
2014-06-23,1.05,1.055,1.045,1.045,0.8227030000000001,295199.0
2014-06-24,1.045,1.045,1.045,1.045,0.8227030000000001,86058.0
2014-06-25,1.045,1.045,1.045,1.045,0.8227030000000001,63942.0
2014-06-26,1.05,1.05,1.045,1.05,0.8266389999999999,91295.0
2014-06-27,1.05,1.05,1.045,1.045,0.8227030000000001,91300.0
2014-06-30,1.06,1.06,1.06,1.06,0.834512,0.0
2014-07-01,1.04,1.055,1.04,1.055,0.830575,75500.0
2014-07-02,1.055,1.055,1.05,1.05,0.8266389999999999,15186.0
2014-07-03,1.045,1.045,1.04,1.04,0.818766,100000.0
2014-07-04,1.05,1.05,1.05,1.05,0.8266389999999999,21300.0
2014-07-07,1.045,1.05,1.04,1.05,0.8266389999999999,184859.0
2014-07-08,1.05,1.055,1.05,1.055,0.830575,69900.0
2014-07-09,1.055,1.06,1.05,1.055,0.830575,256113.0
2014-07-10,1.055,1.055,1.045,1.045,0.8227030000000001,152110.0
2014-07-11,1.05,1.05,1.045,1.045,0.8227030000000001,161000.0
2014-07-14,1.045,1.045,1.04,1.045,0.8227030000000001,99603.0
2014-07-15,1.045,1.055,1.045,1.055,0.830575,60850.0
2014-07-16,1.055,1.06,1.05,1.05,0.8266389999999999,77300.0
2014-07-17,1.045,1.05,1.045,1.05,0.8266389999999999,30050.0
2014-07-18,1.05,1.05,1.05,1.05,0.8266389999999999,52917.0
2014-07-21,1.05,1.055,1.05,1.055,0.830575,63533.0
2014-07-22,1.055,1.055,1.05,1.05,0.8266389999999999,41967.0
2014-07-23,1.05,1.055,1.05,1.055,0.830575,130532.0
2014-07-24,1.055,1.055,1.055,1.055,0.830575,28800.0
2014-07-25,1.055,1.055,1.055,1.055,0.830575,4000.0
2014-07-28,1.055,1.057,1.055,1.055,0.830575,138200.0
2014-07-29,1.06,1.06,1.05,1.05,0.8266389999999999,228271.0
2014-07-30,1.055,1.055,1.05,1.05,0.8266389999999999,78478.0
2014-07-31,1.01,1.01,1.01,1.01,0.795148,0.0
2014-08-01,1.055,1.055,1.055,1.055,0.830575,53000.0
2014-08-04,1.05,1.055,1.045,1.055,0.830575,99000.0
2014-08-05,1.05,1.05,1.05,1.05,0.8266389999999999,361039.0
2014-08-06,1.04,1.04,1.015,1.02,0.803021,281419.0
2014-08-07,1.025,1.03,1.02,1.025,0.8069569999999999,239904.0
2014-08-08,1.025,1.025,1.025,1.025,0.8069569999999999,156677.0
2014-08-11,1.03,1.03,1.03,1.03,0.810894,14560.0
2014-08-12,1.03,1.03,1.03,1.03,0.810894,96103.0
2014-08-13,1.025,1.04,1.025,1.04,0.818766,103545.0
2014-08-14,1.04,1.04,1.025,1.03,0.810894,236554.0
2014-08-15,1.03,1.04,1.03,1.03,0.810894,115500.0
2014-08-18,1.03,1.03,1.03,1.03,0.810894,0.0
2014-08-19,1.03,1.03,1.025,1.03,0.810894,178000.0
2014-08-20,1.025,1.03,1.025,1.03,0.810894,310946.0
2014-08-21,1.03,1.03,1.025,1.025,0.8069569999999999,134332.0
2014-08-22,1.03,1.03,1.03,1.03,0.810894,97840.0
2014-08-25,1.03,1.03,1.03,1.03,0.810894,56330.0
2014-08-26,1.03,1.03,1.025,1.03,0.810894,70000.0
2014-08-27,1.03,1.03,1.025,1.025,0.8069569999999999,71250.0
2014-08-28,1.025,1.025,1.025,1.025,0.8069569999999999,134000.0
2014-08-29,1.025,1.03,1.025,1.03,0.810894,72120.0
2014-09-01,0.99,1.025,0.99,1.02,0.803021,136200.0
2014-09-02,1.02,1.02,1.015,1.015,0.799084,178136.0
2014-09-03,1.02,1.02,1.02,1.02,0.803021,80800.0
2014-09-04,1.015,1.015,1.0,1.0,0.787275,140307.0
2014-09-05,1.01,1.015,1.01,1.015,0.799084,84293.0
2014-09-08,1.015,1.015,1.015,1.015,0.799084,25235.0
2014-09-09,1.015,1.015,1.0,1.0,0.787275,72300.0
2014-09-10,1.0,1.01,1.0,1.01,0.795148,270000.0
2014-09-11,1.01,1.01,1.01,1.01,0.795148,0.0
2014-09-12,1.01,1.01,1.01,1.01,0.795148,110000.0
2014-09-15,1.0,1.005,1.0,1.0,0.787275,347450.0
2014-09-16,1.005,1.01,1.005,1.005,0.791212,84567.0
2014-09-17,1.005,1.015,1.0,1.0,0.787275,253490.0
2014-09-18,0.995,1.0,0.99,0.995,0.783339,251550.0
2014-09-19,0.995,1.0,0.99,0.995,0.783339,129280.0
2014-09-22,1.0,1.0,0.99,0.995,0.783339,128900.0
2014-09-23,0.99,0.99,0.985,0.985,0.775466,166415.0
2014-09-24,0.99,0.99,0.975,0.98,0.77153,224863.0
2014-09-25,0.98,0.99,0.98,0.99,0.779403,79999.0
2014-09-26,0.98,0.99,0.975,0.98,0.77153,181649.0
2014-09-29,0.98,0.98,0.975,0.975,0.7675930000000001,138250.0
2014-09-30,1.02,1.02,1.02,1.02,0.803021,0.0
2014-10-01,0.97,0.975,0.965,0.965,0.759721,330002.0
2014-10-02,0.97,0.975,0.97,0.97,0.7636569999999999,194305.0
2014-10-03,0.95,0.97,0.95,0.96,0.784675,166590.0
2014-10-05,0.97,0.97,0.97,0.97,0.792849,30499.0
2014-10-06,0.965,0.965,0.95,0.96,0.784675,58700.0
2014-10-07,0.96,0.96,0.955,0.955,0.7805880000000001,65201.0
