Date,Open,High,Low,Close,Adj Close,Volume
2011-05-09,3.46666,3.99999,3.33333,3.9333199999999997,3.9333199999999997,38615.0
2011-05-10,3.99999,4.53332,3.86666,3.99999,3.99999,31465.0
2011-05-11,4.133319999999999,4.93332,4.133319999999999,4.93332,4.93332,80982.0
2011-05-12,4.73332,4.93332,4.06666,4.26666,4.26666,106000.0
2011-05-13,4.26666,4.39999,4.26666,4.33332,4.33332,41064.0
2011-05-16,4.39999,5.06665,4.39999,4.93332,4.93332,79535.0
2011-05-17,4.93332,5.79999,4.93332,5.33332,5.33332,57516.0
2011-05-18,5.59999,5.59999,4.53332,4.59999,4.59999,35307.0
2011-05-19,4.66666,4.66666,4.66666,4.66666,4.66666,19875.0
2011-05-20,4.53332,4.59999,4.26666,4.33332,4.33332,13125.0
2011-05-23,,,,,,
2011-05-24,,,,,,
2011-05-25,,,,,,
2011-05-26,,,,,,
2011-05-27,4.46666,4.79999,3.59999,3.66666,3.66666,53144.0
2011-05-30,3.79999,3.9333199999999997,3.66666,3.9333199999999997,3.9333199999999997,12720.0
2011-05-31,3.9333199999999997,4.46666,3.9333199999999997,3.99999,3.99999,37616.0
2011-06-01,4.26666,4.33332,4.1999900000000014,4.33332,4.33332,6750.0
2011-06-02,4.39999,4.66666,4.39999,4.66666,4.66666,30448.0
2011-06-03,4.59999,5.06665,4.59999,4.66666,4.66666,43818.0
2011-06-06,,,,,,
2011-06-07,,,,,,
2011-06-08,,,,,,
2011-06-09,,,,,,
2011-06-10,,,,,,
2011-06-14,,,,,,
2011-06-15,,,,,,
2011-06-16,,,,,,
2011-06-17,,,,,,
2011-06-20,,,,,,
2011-06-21,,,,,,
2011-06-22,,,,,,
2011-06-23,,,,,,
2011-06-24,,,,,,
2011-06-27,,,,,,
2011-06-28,,,,,,
2011-06-29,,,,,,
2011-06-30,,,,,,
2011-07-01,,,,,,
2011-07-04,,,,,,
2011-07-05,,,,,,
2011-07-06,,,,,,
2011-07-07,,,,,,
2011-07-08,,,,,,
2011-07-11,,,,,,
2011-07-12,,,,,,
2011-07-13,,,,,,
2011-07-14,,,,,,
2011-07-15,,,,,,
2011-07-18,,,,,,
2011-07-19,,,,,,
2011-07-20,,,,,,
2011-07-21,,,,,,
2011-07-22,,,,,,
2011-07-25,,,,,,
2011-07-26,,,,,,
2011-07-27,,,,,,
2011-07-28,,,,,,
2011-07-29,,,,,,
2011-08-02,,,,,,
2011-08-03,,,,,,
2011-08-04,,,,,,
2011-08-05,,,,,,
2011-08-08,,,,,,
2011-08-09,,,,,,
2011-08-10,,,,,,
2011-08-11,,,,,,
2011-08-12,,,,,,
2011-08-15,,,,,,
2011-08-16,,,,,,
2011-08-17,,,,,,
2011-08-18,,,,,,
2011-08-19,,,,,,
2011-08-22,,,,,,
2011-08-23,,,,,,
2011-08-24,,,,,,
2011-08-25,,,,,,
2011-08-26,,,,,,
2011-08-29,,,,,,
2011-08-30,,,,,,
2011-08-31,,,,,,
2011-09-01,,,,,,
2011-09-02,,,,,,
2011-09-05,,,,,,
2011-09-06,,,,,,
2011-09-07,,,,,,
2011-09-08,,,,,,
2011-09-09,,,,,,
2011-09-12,,,,,,
2011-09-13,,,,,,
2011-09-14,,,,,,
2011-09-15,,,,,,
2011-09-16,,,,,,
2011-09-19,,,,,,
2011-09-20,,,,,,
2011-09-21,,,,,,
2011-09-22,,,,,,
2011-09-23,,,,,,
2011-09-26,,,,,,
2011-09-27,,,,,,
2011-09-28,,,,,,
2011-09-29,,,,,,
2011-09-30,,,,,,
2011-10-03,,,,,,
2011-10-04,,,,,,
2011-10-05,,,,,,
2011-10-06,,,,,,
2011-10-09,,,,,,
2011-10-10,,,,,,
2011-10-11,,,,,,
2011-10-12,,,,,,
2011-10-13,,,,,,
2011-10-16,,,,,,
2011-10-17,,,,,,
2011-10-18,,,,,,
2011-10-19,,,,,,
2011-10-20,,,,,,
2011-10-23,,,,,,
2011-10-24,,,,,,
2011-10-25,,,,,,
2011-10-26,,,,,,
2011-10-27,,,,,,
2011-10-30,,,,,,
2011-11-01,,,,,,
2011-11-02,,,,,,
2011-11-03,,,,,,
2011-11-06,,,,,,
2011-11-07,,,,,,
2011-11-08,,,,,,
2011-11-09,,,,,,
2011-11-10,,,,,,
2011-11-13,,,,,,
2011-11-14,,,,,,
2011-11-15,,,,,,
2011-11-16,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2011-11-17,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2011-11-20,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2011-11-21,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2011-11-22,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2011-11-23,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2011-11-24,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2011-11-27,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2011-11-28,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2011-11-29,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2011-11-30,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2011-12-01,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2011-12-04,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2011-12-05,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2011-12-06,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2011-12-07,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2011-12-08,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2011-12-11,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2011-12-12,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2011-12-13,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2011-12-14,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2011-12-15,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2011-12-18,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2011-12-19,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2011-12-20,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2011-12-21,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2011-12-22,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2011-12-27,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2011-12-28,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2011-12-29,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-01-02,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-01-03,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-01-04,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-01-05,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-01-08,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-01-09,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-01-10,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-01-11,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-01-12,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-01-15,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-01-16,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-01-17,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-01-18,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-01-19,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-01-22,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-01-23,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-01-24,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-01-26,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-01-29,,,,,,
2012-01-30,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-01-31,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-02-01,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-02-02,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-02-05,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-02-06,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-02-07,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-02-08,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-02-09,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-02-12,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-02-13,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-02-14,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-02-15,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-02-16,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-02-19,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-02-20,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-02-21,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-02-22,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-02-23,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-02-26,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-02-27,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-02-28,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
2012-02-29,4.66666,4.66666,4.66666,4.66666,4.66666,0.0
