Date,Open,High,Low,Close,Adj Close,Volume
2017-05-08,,,,,,
2017-05-09,0.6,0.6,0.55,0.55,0.55,435612.0
2017-05-10,0.56,0.56,0.545,0.55,0.55,173728.0
2017-05-11,0.53,0.54,0.53,0.53,0.53,68000.0
2017-05-12,0.53,0.55,0.53,0.54,0.54,98529.0
2017-05-15,0.54,0.55,0.53,0.54,0.54,61000.0
2017-05-16,0.53,0.53,0.52,0.52,0.52,116190.0
2017-05-17,0.52,0.52,0.5,0.5,0.5,182060.0
2017-05-18,0.5,0.52,0.5,0.52,0.52,185000.0
2017-05-19,0.515,0.515,0.515,0.515,0.515,442500.0
2017-05-22,0.51,0.515,0.5,0.515,0.515,96931.0
2017-05-23,0.5,0.5,0.5,0.5,0.5,682940.0
2017-05-24,0.52,0.52,0.52,0.52,0.52,1500.0
2017-05-25,0.52,0.52,0.52,0.52,0.52,0.0
2017-05-26,0.52,0.52,0.52,0.52,0.52,10000.0
2017-05-29,0.5,0.5,0.49,0.49,0.49,561000.0
2017-05-30,0.49,0.49,0.49,0.49,0.49,0.0
2017-05-31,0.5,0.5,0.5,0.5,0.5,191000.0
2017-06-01,0.5,0.5,0.5,0.5,0.5,115000.0
2017-06-02,0.5,0.5,0.5,0.5,0.5,10000.0
2017-06-05,0.51,0.51,0.51,0.51,0.51,1500.0
2017-06-06,0.51,0.51,0.51,0.51,0.51,0.0
2017-06-07,0.51,0.51,0.495,0.5,0.5,172450.0
2017-06-08,0.5,0.5,0.5,0.5,0.5,0.0
2017-06-09,0.5,0.5,0.5,0.5,0.5,206285.0
2017-06-13,0.5,0.5,0.5,0.5,0.5,27000.0
2017-06-14,0.495,0.495,0.495,0.495,0.495,14000.0
2017-06-15,0.49,0.49,0.49,0.49,0.49,10500.0
2017-06-16,0.5,0.5,0.5,0.5,0.5,4000.0
2017-06-19,0.5,0.5,0.5,0.5,0.5,0.0
2017-06-20,0.49,0.5,0.49,0.5,0.5,11722.0
2017-06-21,0.5,0.5,0.5,0.5,0.5,10000.0
2017-06-22,0.5,0.5,0.5,0.5,0.5,3000.0
2017-06-23,0.5,0.5,0.5,0.5,0.5,14715.0
2017-06-26,0.5,0.5,0.5,0.5,0.5,22245.0
2017-06-27,0.5,0.5,0.49,0.495,0.495,103978.0
2017-06-28,0.5,0.5,0.5,0.5,0.5,76927.0
2017-06-29,0.5,0.505,0.5,0.505,0.505,11500.0
2017-06-30,0.5,0.505,0.5,0.505,0.505,3600.0
2017-07-03,0.505,0.505,0.505,0.505,0.505,0.0
2017-07-04,0.505,0.505,0.505,0.505,0.505,0.0
2017-07-05,0.505,0.505,0.505,0.505,0.505,0.0
2017-07-06,0.5,0.5,0.485,0.485,0.485,3573.0
2017-07-07,0.5,0.505,0.5,0.505,0.505,26000.0
2017-07-10,0.505,0.505,0.505,0.505,0.505,17000.0
2017-07-11,0.5,0.5,0.5,0.5,0.5,10000.0
2017-07-12,0.5,0.5,0.5,0.5,0.5,50000.0
2017-07-13,0.5,0.5,0.5,0.5,0.5,7500.0
2017-07-14,0.5,0.5,0.49,0.49,0.49,13000.0
2017-07-17,0.49,0.49,0.49,0.49,0.49,19000.0
2017-07-18,0.49,0.49,0.49,0.49,0.49,21021.0
2017-07-19,0.49,0.49,0.49,0.49,0.49,19979.0
2017-07-20,0.49,0.49,0.49,0.49,0.49,0.0
2017-07-21,0.5,0.5,0.5,0.5,0.5,21.0
2017-07-24,0.495,0.5,0.495,0.5,0.5,20021.0
2017-07-25,0.5,0.5,0.48,0.48,0.48,20000.0
2017-07-26,0.48,0.48,0.48,0.48,0.48,100000.0
2017-07-27,0.48,0.48,0.48,0.48,0.48,73021.0
2017-07-28,0.47,0.48,0.47,0.48,0.48,35000.0
2017-07-31,0.48,0.48,0.48,0.48,0.48,15000.0
2017-08-01,0.48,0.48,0.48,0.48,0.48,16500.0
2017-08-02,0.46,0.485,0.46,0.485,0.485,63079.0
2017-08-03,0.5,0.5,0.5,0.5,0.5,110000.0
2017-08-04,0.5,0.5,0.5,0.5,0.5,20000.0
2017-08-07,0.495,0.495,0.495,0.495,0.495,5000.0
2017-08-08,0.48,0.495,0.48,0.495,0.495,39521.0
2017-08-09,0.495,0.495,0.49,0.495,0.495,70000.0
2017-08-10,0.495,0.495,0.495,0.495,0.495,0.0
2017-08-11,0.495,0.495,0.495,0.495,0.495,0.0
2017-08-14,0.49,0.49,0.48,0.48,0.48,52000.0
2017-08-15,0.47,0.47,0.47,0.47,0.47,14000.0
2017-08-16,0.49,0.49,0.49,0.49,0.49,14900.0
2017-08-17,0.49,0.49,0.49,0.49,0.49,0.0
2017-08-18,0.49,0.49,0.485,0.485,0.485,10000.0
2017-08-21,0.495,0.495,0.485,0.485,0.485,14000.0
2017-08-22,0.485,0.485,0.485,0.485,0.485,0.0
2017-08-23,0.485,0.495,0.46,0.495,0.495,19262.0
2017-08-24,0.495,0.495,0.495,0.495,0.495,0.0
2017-08-25,0.495,0.495,0.495,0.495,0.495,0.0
2017-08-28,0.49,0.5,0.49,0.5,0.5,36000.0
2017-08-29,0.5,0.505,0.5,0.505,0.505,1948372.0
2017-08-30,0.505,0.51,0.5,0.51,0.51,510643.0
2017-08-31,0.52,0.535,0.52,0.52,0.52,251979.0
2017-09-01,0.535,0.54,0.535,0.535,0.535,273478.0
2017-09-04,0.535,0.535,0.53,0.53,0.53,82000.0
2017-09-05,0.53,0.53,0.53,0.53,0.53,158000.0
2017-09-06,0.54,0.565,0.54,0.56,0.56,587183.0
2017-09-07,0.57,0.58,0.57,0.58,0.58,6531367.0
2017-09-08,0.57,0.57,0.57,0.57,0.57,138000.0
2017-09-11,0.6,0.6,0.58,0.58,0.58,80733.0
2017-09-12,0.58,0.58,0.57,0.57,0.57,511723.0
